,s,t,o,h,l,c,v
0,ok,2000-01-02,230.0,230.76,230.0,230.76,249030
1,ok,2000-01-03,238.1,238.1,225.0,228.11,585140
2,ok,2000-01-04,220.0,225.0,210.5,219.99,802960
3,ok,2000-01-05,222.49,236.0,221.0,228.82,1900320
4,ok,2000-01-06,230.0,245.2,228.23,241.3,1925820
5,ok,2000-01-09,244.5,249.9,241.0,243.13,865910
6,ok,2000-01-10,245.0,252.9,239.0,248.58,1344110
7,ok,2000-01-11,250.0,268.47,249.0,264.78,1770570
8,ok,2000-01-12,269.9,285.97,265.0,278.67,2545080
9,ok,2000-01-13,275.0,277.7,265.0,270.21,1202400
10,ok,2000-01-16,274.89,275.0,254.51,259.83,965390
11,ok,2000-01-17,259.7,260.8,254.6,256.15,894390
12,ok,2000-01-18,257.5,260.0,250.1,252.9,1186660
13,ok,2000-01-19,252.5,253.5,251.5,252.44,1215590
14,ok,2000-01-20,254.0,259.5,253.66,254.81,750120
15,ok,2000-01-23,255.0,264.9,254.1,257.85,711990
16,ok,2000-01-24,259.77,259.77,254.6,255.21,540930
17,ok,2000-01-26,262.0,268.0,253.9,255.97,926470
18,ok,2000-01-27,252.5,256.48,249.0,252.38,464210
19,ok,2000-01-30,244.5,249.4,240.1,244.0,690790
20,ok,2000-01-31,241.5,241.5,228.5,232.67,1174420
21,ok,2000-02-01,240.0,249.9,237.5,240.7,983250
22,ok,2000-02-02,242.8,245.1,235.9,243.79,583650
23,ok,2000-02-03,243.98,243.98,232.5,234.68,333800
24,ok,2000-02-06,234.5,235.5,227.5,230.9,367640
25,ok,2000-02-07,230.0,233.45,230.0,230.7,417900
26,ok,2000-02-08,244.0,248.0,236.5,241.81,675040
27,ok,2000-02-09,238.13,244.5,232.0,233.11,878920
28,ok,2000-02-10,239.5,244.99,230.7,237.65,1568670
29,ok,2000-02-13,237.0,241.5,229.7,230.03,578030
30,ok,2000-02-14,231.0,235.99,228.0,230.2,715130
31,ok,2000-02-15,240.0,241.0,230.0,231.11,907290
32,ok,2000-02-16,234.7,234.7,231.0,232.71,620800
33,ok,2000-02-17,232.79,251.33,231.5,251.3,2380600
34,ok,2000-02-20,266.4,271.41,260.1,271.41,3437360
35,ok,2000-02-21,292.0,293.12,292.0,293.12,1153490
36,ok,2000-02-22,316.57,316.57,276.5,287.59,5542040
37,ok,2000-02-23,299.8,310.6,292.5,308.68,2852320
38,ok,2000-02-24,311.01,323.4,305.0,314.13,2247400
39,ok,2000-02-27,313.0,314.5,300.0,305.56,1525020
40,ok,2000-02-28,310.0,310.0,281.41,286.42,2935240
41,ok,2000-02-29,284.9,306.4,267.51,299.07,2619520
42,ok,2000-03-01,304.0,305.3,278.0,281.78,1631440
43,ok,2000-03-02,273.54,273.54,259.24,259.36,1927460
44,ok,2000-03-05,250.4,267.0,241.2,247.32,1511230
45,ok,2000-03-06,247.0,259.99,238.0,248.25,1968500
46,ok,2000-03-07,262.6,265.0,244.2,249.23,1734020
47,ok,2000-03-08,250.5,254.0,230.1,240.21,1395840
48,ok,2000-03-09,240.0,250.0,232.6,236.27,1363200
49,ok,2000-03-12,241.01,254.93,240.1,251.92,1408900
50,ok,2000-03-13,254.0,272.0,251.0,266.82,2478930
51,ok,2000-03-14,270.0,288.16,265.0,288.16,1129810
52,ok,2000-03-15,290.01,304.0,285.0,291.63,2166470
53,ok,2000-03-20,295.0,298.0,279.0,282.86,1575880
54,ok,2000-03-21,281.7,284.4,260.24,271.4,1557710
55,ok,2000-03-22,270.0,270.0,260.2,264.08,744470
