,s,t,o,h,l,c,v
0,ok,2003-05-14,24.6,24.6,24.6,24.6,400
1,ok,2003-05-19,25.84,25.84,25.84,25.84,800
2,ok,2003-05-22,27.14,27.14,27.14,27.14,2000
3,ok,2003-06-03,29.9,29.93,29.9,29.93,208
4,ok,2003-06-04,31.43,31.43,31.25,31.25,600
5,ok,2003-06-05,31.84,31.84,30.0,30.02,1540
6,ok,2003-06-08,31.22,31.49,31.13,31.48,720
7,ok,2003-06-09,31.25,31.25,30.0,30.17,1528
8,ok,2003-06-10,31.19,31.25,30.32,30.32,2472
9,ok,2003-06-23,32.0,32.0,30.17,31.1,68
10,ok,2003-06-24,31.75,32.5,31.75,32.47,4200
11,ok,2003-06-25,33.0,33.15,31.38,32.0,1916
12,ok,2003-06-26,32.8,33.0,32.28,32.98,1100
13,ok,2003-06-29,33.45,33.45,32.98,32.98,480
14,ok,2003-06-30,34.25,34.25,32.5,32.5,244
15,ok,2003-07-01,33.25,33.25,32.45,32.49,1644
16,ok,2003-07-02,32.02,32.02,32.02,32.02,200
17,ok,2003-07-03,32.0,32.9,32.0,32.9,808
18,ok,2003-07-06,33.63,34.5,33.5,33.52,3260
19,ok,2003-07-07,34.28,34.48,34.25,34.25,1100
20,ok,2003-07-08,35.0,35.97,35.0,35.34,17620
21,ok,2003-07-10,35.03,35.63,34.5,34.5,15300
22,ok,2003-07-14,34.0,34.0,34.0,34.0,200
23,ok,2003-07-16,32.84,32.84,32.84,32.84,36
24,ok,2003-07-23,34.0,34.0,31.78,31.87,1648
25,ok,2003-07-24,32.75,32.75,31.75,32.27,1200
26,ok,2003-07-27,32.75,33.88,32.75,33.88,12192
27,ok,2003-07-29,33.88,35.58,33.75,35.55,3940
28,ok,2003-07-30,36.25,37.34,36.25,37.34,5860
29,ok,2003-07-31,39.19,39.22,39.19,39.22,1680
30,ok,2003-08-03,40.75,41.18,37.64,40.44,1984
31,ok,2003-08-04,38.5,39.89,38.44,38.44,340
32,ok,2003-08-05,39.88,40.0,38.0,38.03,1500
33,ok,2003-08-06,37.93,38.73,36.38,37.88,808
34,ok,2003-08-07,38.75,39.74,38.74,39.74,3384
35,ok,2003-08-10,38.07,40.0,38.07,40.0,200
36,ok,2003-08-11,39.98,40.5,39.5,40.09,960
37,ok,2003-08-13,40.0,40.0,37.82,37.82,184
38,ok,2003-08-17,37.82,40.7,37.82,38.22,604
39,ok,2003-08-18,37.99,40.0,37.98,40.0,800
40,ok,2003-08-19,37.75,37.75,37.75,37.75,100
41,ok,2003-08-21,36.88,36.88,36.88,36.88,400
42,ok,2003-08-24,37.25,37.25,35.75,35.75,6600
43,ok,2003-08-26,35.75,35.75,34.88,34.88,600
44,ok,2003-08-28,35.25,35.25,35.25,35.25,4000
45,ok,2003-08-31,36.63,36.75,36.57,36.59,1000
46,ok,2003-09-01,37.5,37.5,35.0,35.0,2400
47,ok,2003-09-02,34.74,34.74,33.75,33.89,2800
48,ok,2003-09-03,33.25,36.25,33.03,34.63,58040
49,ok,2003-09-04,35.0,35.0,35.0,35.0,800
50,ok,2003-09-07,33.77,33.77,33.75,33.75,800
51,ok,2003-09-08,32.99,32.99,32.5,32.5,416
52,ok,2003-09-11,31.78,33.0,31.75,33.0,3100
53,ok,2003-09-15,29.75,29.75,29.7,29.7,1600
54,ok,2003-09-16,30.5,31.25,30.5,31.25,480
55,ok,2003-09-17,29.55,29.55,29.5,29.53,400
56,ok,2003-09-18,29.5,29.5,28.75,28.88,400
