,s,t,o,h,l,c,v
0,ok,2021-02-23,419.8,424.0,365.11,385.51,16940
1,ok,2021-02-24,370.53,400.0,370.53,396.8,31405
2,ok,2021-02-25,382.2,401.01,382.2,398.6,48785
3,ok,2021-02-28,398.2,438.04,396.2,437.09,105390
4,ok,2021-03-01,447.2,453.93,426.41,441.96,55135
5,ok,2021-03-02,440.0,486.15,434.0,480.66,141895
6,ok,2021-03-03,485.6,504.0,452.63,484.98,105975
7,ok,2021-03-04,487.4,502.0,480.1,487.98,91290
8,ok,2021-03-07,501.0,536.77,501.0,536.77,113400
9,ok,2021-03-08,569.78,590.44,551.2,567.19,197860
10,ok,2021-03-09,579.8,590.04,550.01,560.76,85040
11,ok,2021-03-11,577.0,582.04,558.12,568.05,50940
12,ok,2021-03-14,586.0,586.05,539.65,539.65,41140
13,ok,2021-03-15,524.2,537.99,512.67,512.67,58630
14,ok,2021-03-16,502.42,538.3,487.04,487.04,139760
15,ok,2021-03-17,504.0,504.0,462.69,462.69,93410
16,ok,2021-03-18,452.01,485.82,439.56,485.82,118580
17,ok,2021-03-21,498.0,502.0,465.82,486.64,65690
18,ok,2021-03-22,486.64,510.97,467.02,509.74,50185
19,ok,2021-03-23,509.74,514.01,484.26,484.56,44795
20,ok,2021-03-24,477.0,484.63,460.34,460.81,45390
21,ok,2021-03-25,460.81,476.17,442.4,445.46,40565
22,ok,2021-03-29,463.99,463.99,443.05,452.03,16690
23,ok,2021-03-30,450.0,464.0,443.0,457.33,22875
24,ok,2021-03-31,468.0,480.19,462.0,480.19,38590
25,ok,2021-04-04,483.8,492.0,456.2,465.7,42440
26,ok,2021-04-05,472.59,474.37,451.99,452.6,41750
27,ok,2021-04-06,464.38,472.0,442.2,468.91,27845
28,ok,2021-04-07,469.0,492.35,469.0,485.8,44985
29,ok,2021-04-08,489.9,502.0,473.51,490.14,51825
30,ok,2021-04-11,484.98,484.98,465.64,465.64,55530
31,ok,2021-04-12,450.02,488.92,444.04,478.37,67240
32,ok,2021-04-14,488.98,488.98,454.46,459.98,38410
33,ok,2021-04-15,459.8,479.8,456.0,474.84,28900
34,ok,2021-04-18,471.0,471.0,453.26,457.41,20405
35,ok,2021-04-19,461.47,476.0,456.0,458.52,22890
36,ok,2021-04-21,454.2,469.4,447.0,449.37,35180
37,ok,2021-04-22,453.0,464.6,445.0,447.82,35650
38,ok,2021-04-25,448.4,459.8,433.15,446.27,34675
39,ok,2021-04-26,450.2,463.6,449.0,457.56,33930
40,ok,2021-04-27,466.0,480.43,459.06,480.43,50695
41,ok,2021-04-28,497.6,504.45,482.6,504.45,96540
42,ok,2021-04-29,504.45,529.67,504.44,522.66,103090
43,ok,2021-05-02,524.0,548.79,504.0,546.13,115035
44,ok,2021-05-03,551.4,573.43,550.0,565.44,159670
45,ok,2021-05-04,574.52,593.71,574.52,590.45,123745
46,ok,2021-05-05,595.6,595.74,560.93,560.93,26085
47,ok,2021-05-06,534.2,583.8,532.89,567.78,135090
48,ok,2021-05-09,575.01,596.16,569.15,596.16,117415
49,ok,2021-05-10,600.0,625.96,566.36,569.72,210470
50,ok,2021-05-11,559.78,597.0,545.01,584.77,214465
51,ok,2021-05-13,597.8,601.8,575.24,592.4,98470
52,ok,2021-05-16,605.8,605.8,588.0,597.72,60575
53,ok,2021-05-17,602.4,610.0,592.0,606.92,81960
54,ok,2021-05-18,593.01,637.26,593.01,626.91,134630
55,ok,2021-05-19,639.0,652.0,631.12,643.41,72500
56,ok,2021-05-20,657.8,675.58,650.34,675.22,191280
57,ok,2021-05-23,680.25,690.0,641.46,652.23,150105
58,ok,2021-05-24,662.0,680.0,649.03,677.04,92930
59,ok,2021-05-25,689.79,700.21,680.0,686.39,58555
60,ok,2021-05-26,695.0,696.4,675.23,684.79,60495
61,ok,2021-05-27,685.0,704.0,672.2,678.25,64320
62,ok,2021-05-30,668.01,685.0,648.0,652.05,67085
63,ok,2021-05-31,674.8,674.8,648.0,659.53,66965
64,ok,2021-06-01,668.98,683.98,660.71,679.14,45165
65,ok,2021-06-02,685.6,695.0,674.12,679.41,48550
66,ok,2021-06-03,684.0,688.96,670.0,676.18,25770
67,ok,2021-06-06,689.8,703.0,632.01,674.2,111090
68,ok,2021-06-07,675.0,689.0,670.0,682.29,29110
69,ok,2021-06-08,695.98,704.0,676.21,688.13,80245
70,ok,2021-06-09,700.0,732.0,695.21,725.74,144225
71,ok,2021-06-10,736.0,758.19,730.41,740.24,136770
72,ok,2021-06-13,744.01,758.39,700.0,739.69,90060
73,ok,2021-06-14,754.49,754.49,730.0,733.13,33090
74,ok,2021-06-15,739.97,739.97,712.0,723.42,35510
75,ok,2021-06-16,708.0,739.8,708.0,728.14,31615
76,ok,2021-06-17,735.6,737.99,697.91,720.06,45835
77,ok,2021-06-20,719.99,726.0,693.12,705.43,33020
78,ok,2021-06-21,708.96,714.4,690.0,696.36,30730
79,ok,2021-06-22,706.0,708.42,682.44,691.52,25310
80,ok,2021-06-23,691.52,706.4,685.01,688.79,16365
81,ok,2021-06-24,692.8,699.29,683.0,688.35,17890
82,ok,2021-06-27,699.4,699.4,682.27,685.08,14395
83,ok,2021-06-28,685.0,687.04,666.6,674.75,28750
84,ok,2021-06-29,674.75,699.8,665.65,697.22,38630
85,ok,2021-06-30,702.98,702.98,682.99,684.6,12260
86,ok,2021-07-01,690.0,720.01,686.32,715.8,86455
87,ok,2021-07-04,720.0,724.99,715.6,721.84,34185
88,ok,2021-07-05,724.8,733.0,720.0,729.19,44485
89,ok,2021-07-06,734.4,734.4,708.0,711.14,35020
90,ok,2021-07-07,715.99,721.8,704.31,706.05,14425
91,ok,2021-07-08,702.2,726.0,702.2,717.37,20885
92,ok,2021-07-11,727.96,727.96,709.41,712.71,16520
93,ok,2021-07-12,721.44,721.49,700.0,705.99,19635
94,ok,2021-07-13,705.99,711.19,699.0,700.59,15275
95,ok,2021-07-14,707.8,713.91,686.89,694.2,23840
96,ok,2021-07-15,709.8,709.8,688.0,692.9,17095
97,ok,2021-07-18,695.85,703.1,686.21,690.48,17665
98,ok,2021-07-19,693.2,695.63,672.2,684.38,28885
99,ok,2021-07-21,696.0,714.88,686.79,710.19,30155
100,ok,2021-07-22,710.19,710.63,697.26,704.01,15435
101,ok,2021-07-25,712.0,712.0,688.0,692.96,20820
102,ok,2021-07-26,689.0,694.83,682.0,687.56,20150
103,ok,2021-07-27,683.02,709.49,673.23,704.14,21980
104,ok,2021-07-28,709.0,709.0,680.0,687.83,20780
105,ok,2021-07-29,687.83,702.0,684.42,688.47,32785
106,ok,2021-08-01,697.8,697.8,682.4,685.96,18900
107,ok,2021-08-02,689.8,689.8,674.6,676.23,28195
108,ok,2021-08-03,682.0,682.0,653.44,663.84,33685
109,ok,2021-08-04,663.86,667.65,632.46,650.34,41270
110,ok,2021-08-05,659.8,670.54,649.19,657.78,24575
111,ok,2021-08-08,662.72,662.72,638.0,639.98,27000
112,ok,2021-08-09,643.6,643.6,613.0,617.95,51070
113,ok,2021-08-10,617.95,635.8,590.0,633.13,53210
114,ok,2021-08-11,634.0,647.01,634.0,644.03,22395
115,ok,2021-08-12,649.76,649.76,622.6,629.48,27410
116,ok,2021-08-15,628.0,656.95,617.81,654.08,29840
117,ok,2021-08-16,667.8,674.0,657.2,667.57,48435
118,ok,2021-08-17,667.04,692.0,648.01,680.78,56500
119,ok,2021-08-19,680.8,700.0,666.53,686.06,106330
120,ok,2021-08-22,716.0,716.0,682.0,698.09,98930
121,ok,2021-08-23,708.0,709.75,700.0,702.24,58775
122,ok,2021-08-24,702.6,710.0,702.0,707.96,51940
123,ok,2021-08-25,702.0,828.0,702.0,799.27,631315
124,ok,2021-08-26,813.0,873.8,803.54,842.35,559975
125,ok,2021-08-29,859.2,865.96,829.98,844.16,162425
126,ok,2021-08-30,844.0,898.9,840.0,886.99,231345
127,ok,2021-08-31,886.96,950.0,851.03,936.2,345135
128,ok,2021-09-01,939.6,984.0,934.21,973.93,278305
129,ok,2021-09-02,977.4,998.0,920.53,961.18,247270
130,ok,2021-09-05,986.0,986.0,933.0,937.62,76815
131,ok,2021-09-06,940.0,941.79,885.0,894.78,96015
132,ok,2021-09-07,900.0,930.0,890.21,901.67,77975
133,ok,2021-09-08,904.3,947.8,882.0,942.05,165745
134,ok,2021-09-12,957.8,957.8,918.01,923.28,54940
