,s,t,o,h,l,c,v
0,ok,2021-02-02,618.8,640.0,522.0,527.55,24532661
1,ok,2021-02-03,517.8,593.65,515.0,560.55,7574165
2,ok,2021-02-04,570.0,576.0,545.0,547.9,1179817
3,ok,2021-02-07,552.05,555.4,534.0,536.7,828561
4,ok,2021-02-08,537.7,555.9,533.35,541.15,739612
5,ok,2021-02-09,545.1,555.0,542.25,553.05,676897
6,ok,2021-02-10,552.4,558.35,547.0,548.95,292700
7,ok,2021-02-11,549.95,570.0,543.05,550.65,763879
8,ok,2021-02-14,501.35,547.75,501.35,517.95,859299
9,ok,2021-02-15,523.5,527.75,505.45,507.35,570066
10,ok,2021-02-16,508.0,535.0,508.0,528.65,807258
11,ok,2021-02-17,535.0,548.0,530.0,543.4,534485
12,ok,2021-02-18,542.2,570.85,536.25,554.4,1057354
13,ok,2021-02-21,555.0,571.0,534.05,538.1,536525
14,ok,2021-02-22,539.9,549.7,530.7,534.4,155268
15,ok,2021-02-23,538.0,543.95,511.0,530.85,77095
16,ok,2021-02-24,535.9,563.35,532.35,558.0,399541
17,ok,2021-02-25,545.1,553.9,535.0,537.65,254453
18,ok,2021-02-28,538.1,548.65,527.5,530.5,327207
19,ok,2021-03-01,533.95,539.05,524.0,536.15,298815
20,ok,2021-03-02,537.05,548.0,534.0,538.95,383507
21,ok,2021-03-03,534.0,547.55,532.2,543.8,303360
22,ok,2021-03-04,544.0,546.0,527.5,530.1,224014
23,ok,2021-03-07,534.75,540.0,523.0,523.85,213512
24,ok,2021-03-08,527.2,529.9,517.0,518.65,173801
25,ok,2021-03-09,522.0,530.45,517.75,520.05,243978
26,ok,2021-03-11,522.9,523.5,513.0,515.1,314517
27,ok,2021-03-14,517.4,517.4,496.55,501.85,202377
28,ok,2021-03-15,504.1,515.0,496.0,497.9,174018
29,ok,2021-03-16,497.9,499.75,475.55,478.65,211420
30,ok,2021-03-17,480.95,486.8,466.6,469.2,471459
31,ok,2021-03-18,467.9,479.5,458.8,467.95,454857
32,ok,2021-03-21,465.0,479.8,459.75,469.8,293107
33,ok,2021-03-22,470.7,474.7,451.0,453.45,243069
34,ok,2021-03-23,453.1,465.35,453.1,456.0,227214
35,ok,2021-03-24,459.7,467.2,456.05,465.7,323493
36,ok,2021-03-25,466.35,475.6,455.05,458.8,143941
37,ok,2021-03-29,457.5,462.0,446.25,447.7,111325
38,ok,2021-03-30,445.0,458.95,445.0,448.4,96033
39,ok,2021-03-31,448.1,464.85,448.1,462.35,142753
