,s,t,o,h,l,c,v
0,ok,2021-12-26,315.0,330.75,315.0,330.75,731311
1,ok,2021-12-27,347.25,347.25,347.25,347.25,8931
2,ok,2021-12-28,364.6,364.6,354.2,364.6,392464
3,ok,2021-12-29,346.4,382.8,346.4,382.8,448442
4,ok,2021-12-30,388.0,401.9,387.0,401.9,164699
5,ok,2022-01-02,421.95,421.95,416.0,421.95,67048
6,ok,2022-01-03,443.0,443.0,415.0,443.0,275464
7,ok,2022-01-04,434.0,434.0,420.85,420.85,84451
8,ok,2022-01-05,400.05,441.85,400.05,441.85,257091
9,ok,2022-01-06,463.9,463.9,463.9,463.9,27686
10,ok,2022-01-09,484.8,505.0,442.2,476.7,1636335
11,ok,2022-01-10,473.0,474.45,455.2,461.45,314857
12,ok,2022-01-11,466.8,473.0,434.35,439.7,458656
13,ok,2022-01-12,440.0,444.75,423.3,426.9,148098
14,ok,2022-01-13,425.0,452.8,420.85,442.35,253628
15,ok,2022-01-16,445.0,453.0,440.0,442.75,166975
16,ok,2022-01-17,445.0,447.45,422.0,424.45,114586
17,ok,2022-01-18,431.0,435.85,416.1,431.6,164603
18,ok,2022-01-19,429.0,432.6,421.0,422.15,55438
19,ok,2022-01-20,422.0,433.5,416.1,420.2,68400
20,ok,2022-01-23,420.0,432.0,385.5,401.35,215981
21,ok,2022-01-24,392.0,416.5,385.0,398.45,276652
22,ok,2022-01-26,397.5,404.2,384.7,390.15,386090
23,ok,2022-01-27,396.8,401.0,390.0,393.0,179107
24,ok,2022-01-30,399.0,400.0,382.55,388.45,340247
25,ok,2022-01-31,390.25,393.4,385.0,387.95,73705
26,ok,2022-02-01,388.0,423.7,383.0,411.85,576923
27,ok,2022-02-02,410.0,414.65,399.5,402.15,91795
28,ok,2022-02-03,402.8,405.7,391.35,393.75,376697
29,ok,2022-02-06,394.0,404.95,392.0,394.05,117271
30,ok,2022-02-07,398.0,403.15,381.0,385.1,87588
31,ok,2022-02-08,389.9,409.4,386.1,395.5,149758
32,ok,2022-02-09,397.8,409.25,396.0,399.95,199484
33,ok,2022-02-10,390.0,401.4,380.05,389.45,113824
34,ok,2022-02-13,382.05,388.8,361.15,368.05,128054
35,ok,2022-02-14,376.8,397.65,362.9,381.75,157063
36,ok,2022-02-15,381.0,387.5,376.0,379.25,81593
37,ok,2022-02-16,382.0,385.8,375.25,378.35,59943
38,ok,2022-02-17,375.05,380.35,370.0,371.95,36906
39,ok,2022-02-20,367.1,392.0,361.0,366.9,319913
40,ok,2022-02-21,355.05,366.75,355.0,357.45,133352
41,ok,2022-02-22,362.0,384.65,360.0,366.4,190262
42,ok,2022-02-23,349.0,358.05,335.0,338.1,164313
43,ok,2022-02-24,346.0,390.0,346.0,378.55,599381
44,ok,2022-02-27,373.0,390.55,372.0,377.2,208751
45,ok,2022-03-01,374.8,382.9,365.0,378.8,127998
46,ok,2022-03-02,385.0,386.0,375.0,375.9,113684
47,ok,2022-03-03,370.0,375.85,362.5,367.1,71108
48,ok,2022-03-06,360.0,374.0,354.25,360.15,113086
49,ok,2022-03-07,361.0,380.0,361.0,367.8,94579
50,ok,2022-03-08,373.7,382.7,369.7,378.0,194728
51,ok,2022-03-09,387.8,389.8,380.05,383.2,71510
52,ok,2022-03-10,392.0,400.0,389.2,391.25,146743
53,ok,2022-03-13,390.3,394.7,379.0,381.8,64721
54,ok,2022-03-14,387.5,387.5,374.0,380.2,36581
55,ok,2022-03-15,385.0,386.4,380.0,384.35,27530
56,ok,2022-03-16,388.0,389.0,381.05,383.55,37012
57,ok,2022-03-20,385.0,393.35,382.05,383.85,39325
58,ok,2022-03-21,382.55,388.0,378.6,382.4,26122
59,ok,2022-03-22,384.95,388.0,378.0,383.6,37962
60,ok,2022-03-23,377.1,386.95,377.1,381.6,37609
61,ok,2022-03-24,382.0,384.0,376.0,378.55,36506
62,ok,2022-03-27,379.85,380.2,369.4,371.5,112455
63,ok,2022-03-28,380.0,382.15,373.05,378.3,62535
64,ok,2022-03-29,382.15,398.8,378.35,383.55,164583
65,ok,2022-03-30,389.0,403.1,385.15,391.4,107716
66,ok,2022-03-31,395.0,438.0,393.0,422.6,477359
67,ok,2022-04-03,428.0,436.8,415.0,418.35,113275
68,ok,2022-04-04,418.9,430.9,416.0,418.7,101508
69,ok,2022-04-05,416.1,425.0,413.0,414.75,54872
70,ok,2022-04-06,416.5,418.05,402.05,406.2,37177
71,ok,2022-04-07,406.2,448.9,406.0,440.55,319214
72,ok,2022-04-10,445.05,456.15,436.5,446.15,179277
73,ok,2022-04-11,445.0,445.0,427.05,432.2,95819
74,ok,2022-04-12,432.0,456.8,432.0,434.35,130036
75,ok,2022-04-17,439.15,439.15,419.25,428.7,49837
76,ok,2022-04-18,435.0,435.9,406.3,412.2,51590
77,ok,2022-04-19,413.25,427.0,405.0,416.85,129466
78,ok,2022-04-20,424.0,424.85,410.0,412.6,47430
79,ok,2022-04-21,408.05,423.75,407.0,408.75,74574
80,ok,2022-04-24,405.1,411.1,400.0,402.8,37439
81,ok,2022-04-25,412.9,423.0,405.0,411.25,70447
82,ok,2022-04-26,406.0,412.0,404.0,406.5,26895
