,s,t,o,h,l,c,v
0,ok,2016-10-03,190.0,198.0,184.25,189.3,14845911
1,ok,2016-10-04,190.05,192.9,185.4,186.5,929832
2,ok,2016-10-05,186.45,188.75,182.0,182.6,586004
3,ok,2016-10-06,182.95,184.85,177.05,177.7,480833
4,ok,2016-10-09,178.25,182.8,176.6,177.9,609522
5,ok,2016-10-12,176.95,178.0,171.0,171.6,476526
6,ok,2016-10-13,172.0,175.5,171.8,174.0,278303
7,ok,2016-10-16,175.0,175.75,168.15,168.8,326628
8,ok,2016-10-17,170.0,172.0,168.1,168.95,275205
9,ok,2016-10-18,169.15,190.45,169.1,188.55,1969180
10,ok,2016-10-19,187.4,193.75,183.55,184.45,821709
11,ok,2016-10-20,185.0,191.5,183.15,185.8,549295
12,ok,2016-10-23,186.85,190.0,184.15,184.95,245708
13,ok,2016-10-24,185.2,186.95,182.4,183.15,132849
14,ok,2016-10-25,183.0,183.35,178.55,178.9,120965
15,ok,2016-10-26,178.0,180.4,173.95,175.45,183254
16,ok,2016-10-27,174.8,178.75,174.2,175.6,85345
17,ok,2016-10-29,175.1,177.75,175.0,177.25,31791
18,ok,2016-10-31,177.35,177.85,173.0,173.85,121323
19,ok,2016-11-01,173.0,174.6,172.0,172.2,81506
20,ok,2016-11-02,172.05,175.0,167.3,168.8,113619
21,ok,2016-11-03,168.25,170.7,162.6,163.55,223553
22,ok,2016-11-06,165.35,168.5,164.75,165.05,76148
23,ok,2016-11-07,165.25,167.3,157.55,159.35,191672
24,ok,2016-11-08,157.0,157.0,128.1,149.4,209889
25,ok,2016-11-09,152.35,163.7,152.35,158.85,216203
26,ok,2016-11-10,154.8,159.7,151.0,154.5,91671
27,ok,2016-11-14,155.05,155.05,140.0,143.0,109486
28,ok,2016-11-15,147.0,147.1,129.0,132.5,268247
29,ok,2016-11-16,132.5,134.95,124.6,125.9,217072
30,ok,2016-11-17,128.0,129.5,100.75,100.75,1011861
31,ok,2016-11-20,96.1,98.0,90.7,90.7,747881
32,ok,2016-11-21,81.65,81.65,81.65,81.65,209488
33,ok,2016-11-22,76.8,89.8,74.0,89.6,7431915
34,ok,2016-11-23,88.55,92.95,86.1,87.2,2082873
35,ok,2016-11-24,87.8,91.2,87.55,88.25,1057701
36,ok,2016-11-27,89.0,91.8,88.0,89.95,453228
37,ok,2016-11-28,93.4,97.25,90.5,94.95,1130890
38,ok,2016-11-29,95.95,96.75,93.75,95.6,683508
39,ok,2016-11-30,96.0,104.1,95.8,100.0,1384536
40,ok,2016-12-01,99.7,109.95,99.1,108.0,2186302
41,ok,2016-12-04,110.2,115.0,110.0,110.95,1349234
42,ok,2016-12-05,111.7,112.5,103.35,106.8,526334
43,ok,2016-12-06,108.7,110.15,104.1,105.35,264177
44,ok,2016-12-07,106.1,107.9,105.15,105.45,186957
45,ok,2016-12-08,107.35,107.35,104.0,104.4,167736
46,ok,2016-12-11,104.75,104.75,100.6,101.15,144457
47,ok,2016-12-12,101.0,105.9,98.65,100.55,266473
48,ok,2016-12-13,102.25,102.25,99.2,99.8,128578
49,ok,2016-12-14,99.0,102.6,98.5,99.55,131303
50,ok,2016-12-15,100.5,101.5,98.5,99.55,175860
51,ok,2016-12-18,99.95,101.5,99.0,100.4,195828
52,ok,2016-12-19,100.4,106.9,100.4,101.75,536899
53,ok,2016-12-20,104.0,104.5,101.75,102.1,775269
54,ok,2016-12-21,103.0,104.0,100.1,100.5,202880
55,ok,2016-12-22,99.9,100.35,98.9,99.05,113634
56,ok,2016-12-25,99.45,99.45,95.2,95.5,99308
57,ok,2016-12-26,96.5,98.9,93.55,95.4,165564
58,ok,2016-12-27,95.5,98.0,94.4,94.95,127049
59,ok,2016-12-28,95.0,99.2,95.0,96.35,300827
60,ok,2016-12-29,96.6,100.0,96.6,98.15,198795
61,ok,2017-01-01,98.0,100.6,97.5,98.6,140691
62,ok,2017-01-02,99.0,101.9,98.6,100.5,239466
63,ok,2017-01-03,100.85,101.9,100.0,100.45,101172
64,ok,2017-01-04,101.7,104.25,100.5,101.6,240184
65,ok,2017-01-05,102.0,103.95,101.5,102.2,180349
66,ok,2017-01-08,101.5,108.3,101.5,106.7,652615
67,ok,2017-01-09,108.0,110.8,107.4,109.55,494733
68,ok,2017-01-10,110.4,112.2,110.1,110.75,253769
69,ok,2017-01-11,109.65,115.0,109.65,114.4,599973
70,ok,2017-01-12,115.0,119.7,115.0,118.8,660771
71,ok,2017-01-15,119.4,122.8,118.7,119.65,224542
72,ok,2017-01-16,120.8,121.0,116.05,116.65,143843
73,ok,2017-01-17,115.6,119.2,115.5,118.2,146577
74,ok,2017-01-18,118.0,119.5,116.25,116.9,121385
75,ok,2017-01-19,116.6,117.5,113.15,113.55,134804
76,ok,2017-01-22,114.4,118.75,110.6,118.05,284012
77,ok,2017-01-23,118.3,119.25,115.75,116.6,102671
78,ok,2017-01-24,117.15,119.0,116.3,116.55,81026
79,ok,2017-01-26,116.95,118.8,115.0,115.25,135433
80,ok,2017-01-29,115.2,115.8,113.25,114.35,56317
81,ok,2017-01-30,114.8,115.2,112.05,112.25,54917
82,ok,2017-01-31,112.75,115.0,111.8,114.05,92014
83,ok,2017-02-01,114.0,117.5,113.25,115.5,95332
84,ok,2017-02-02,115.85,116.5,110.55,114.6,55473
85,ok,2017-02-05,116.95,117.4,115.0,116.8,136975
86,ok,2017-02-06,118.5,120.8,116.05,116.75,312068
87,ok,2017-02-07,116.85,118.45,115.25,116.0,76358
