,s,t,o,h,l,c,v
0,ok,2005-08-31,140.0,150.0,108.25,111.36,72278515
1,ok,2005-09-01,108.0,111.4,106.6,107.36,21464115
2,ok,2005-09-04,108.8,109.0,99.2,100.79,12781925
3,ok,2005-09-05,101.6,104.74,101.0,101.88,12794610
4,ok,2005-09-07,102.6,103.34,100.25,100.66,3575585
5,ok,2005-09-08,101.2,101.8,97.0,97.67,3671165
6,ok,2005-09-11,97.6,98.98,95.6,96.45,2426010
7,ok,2005-09-12,96.8,99.34,95.0,96.88,5024230
8,ok,2005-09-13,97.0,97.2,94.02,94.62,2156705
9,ok,2005-09-14,94.6,96.42,94.27,94.96,1650695
10,ok,2005-09-15,94.8,95.4,94.06,94.69,974860
11,ok,2005-09-18,94.9,95.94,92.46,93.07,762710
12,ok,2005-09-19,93.1,93.1,90.41,90.79,1229040
13,ok,2005-09-20,91.2,91.2,85.6,88.32,1498175
14,ok,2005-09-21,88.0,88.0,80.6,83.09,1201730
15,ok,2005-09-22,82.0,83.97,79.41,81.81,2104515
16,ok,2005-09-25,82.66,84.49,82.4,83.41,961535
17,ok,2005-09-26,83.81,84.98,83.0,83.38,716935
18,ok,2005-09-27,83.8,84.2,83.02,83.69,443310
19,ok,2005-09-28,85.0,95.2,83.4,85.0,1624130
20,ok,2005-09-29,85.2,86.4,83.6,85.09,858075
21,ok,2005-10-02,85.21,85.8,84.2,84.77,268250
22,ok,2005-10-03,84.8,89.8,84.58,89.25,1886885
23,ok,2005-10-04,90.4,90.4,88.1,88.3,747555
24,ok,2005-10-05,88.68,88.68,86.2,87.21,323120
25,ok,2005-10-06,88.4,92.8,87.2,92.15,2197425
26,ok,2005-10-09,92.41,93.8,91.67,92.3,922145
27,ok,2005-10-10,92.78,95.2,91.8,94.34,1233900
28,ok,2005-10-12,94.2,96.4,92.4,95.24,2111460
29,ok,2005-10-13,95.0,96.6,92.43,93.19,743265
30,ok,2005-10-16,93.39,94.0,92.0,92.18,455160
31,ok,2005-10-17,92.0,93.2,91.44,91.83,496855
32,ok,2005-10-18,92.0,92.0,88.2,89.19,315150
33,ok,2005-10-19,89.19,92.0,86.8,87.72,382200
34,ok,2005-10-20,86.63,88.4,86.63,87.71,216945
35,ok,2005-10-23,88.4,88.8,87.22,87.99,180135
36,ok,2005-10-24,88.69,88.69,87.21,87.54,122430
37,ok,2005-10-25,87.8,88.48,87.6,87.73,126395
38,ok,2005-10-26,87.8,87.9,84.23,85.47,79805
39,ok,2005-10-27,85.4,87.9,84.01,86.03,462975
40,ok,2005-10-30,86.22,88.0,86.21,87.59,867500
41,ok,2005-10-31,88.01,88.01,86.6,86.78,33615
42,ok,2005-11-01,86.62,87.6,86.23,87.45,78080
43,ok,2005-11-06,88.0,90.0,87.6,89.73,169100
44,ok,2005-11-07,89.4,91.8,89.4,91.26,158280
45,ok,2005-11-08,91.94,91.94,90.0,90.29,161100
46,ok,2005-11-09,91.4,91.99,90.2,91.65,114935
47,ok,2005-11-10,90.4,92.99,90.4,91.88,256740
48,ok,2005-11-13,90.2,92.6,90.2,92.35,413275
49,ok,2005-11-15,92.2,92.78,91.71,91.8,92905
50,ok,2005-11-16,91.4,92.41,91.3,91.8,96420
51,ok,2005-11-17,92.0,95.16,90.33,91.42,1054920
52,ok,2005-11-20,92.0,92.0,90.23,91.01,204705
53,ok,2005-11-21,90.2,90.8,89.02,90.05,132075
54,ok,2005-11-22,89.05,91.4,89.05,91.19,180290
55,ok,2005-11-23,91.98,91.98,91.2,91.55,120535
56,ok,2005-11-24,91.96,91.96,90.4,91.36,100540
57,ok,2005-11-25,91.6,92.4,90.42,91.84,96610
58,ok,2005-11-27,91.8,92.0,91.0,91.18,179095
59,ok,2005-11-28,90.4,91.6,90.4,91.36,117805
60,ok,2005-11-29,91.6,93.0,91.24,92.09,208800
61,ok,2005-11-30,91.0,93.53,91.0,93.12,210400
62,ok,2005-12-01,93.4,94.6,93.04,94.18,263090
63,ok,2005-12-04,94.0,96.86,94.0,96.02,435415
64,ok,2005-12-05,95.96,96.4,95.45,96.03,256490
65,ok,2005-12-06,96.0,97.96,96.0,97.13,282020
66,ok,2005-12-07,97.2,97.4,94.4,95.13,215415
67,ok,2005-12-08,95.78,95.85,95.01,95.53,606590
68,ok,2005-12-11,96.18,96.18,94.05,94.18,187250
69,ok,2005-12-12,93.7,94.98,93.7,94.63,88950
70,ok,2005-12-13,95.3,95.33,91.98,93.06,637600
71,ok,2005-12-14,94.46,99.58,92.8,93.95,182050
72,ok,2005-12-15,94.77,96.0,94.0,95.69,144415
73,ok,2005-12-18,94.21,95.1,93.82,94.68,307035
74,ok,2005-12-19,93.51,94.79,93.51,94.02,59650
75,ok,2005-12-20,94.01,94.4,92.6,92.9,47820
76,ok,2005-12-21,94.79,94.79,91.0,91.54,72145
77,ok,2005-12-22,91.43,92.78,90.1,90.53,60350
78,ok,2005-12-25,90.4,92.19,88.2,88.57,69665
79,ok,2005-12-26,88.41,89.52,88.41,89.14,54555
80,ok,2005-12-27,89.0,89.78,88.2,88.36,56525
81,ok,2005-12-28,88.6,89.6,88.25,88.57,42980
82,ok,2005-12-29,87.61,89.16,87.01,88.1,222510
83,ok,2006-01-01,88.8,89.89,88.2,89.35,92275
84,ok,2006-01-02,89.02,89.94,89.02,89.7,102275
85,ok,2006-01-03,89.4,91.4,89.4,91.18,167260
86,ok,2006-01-04,91.2,92.4,90.22,91.49,124145
87,ok,2006-01-05,91.98,92.54,91.6,92.23,167495
88,ok,2006-01-08,94.0,94.7,92.6,94.03,261475
89,ok,2006-01-09,94.0,95.0,93.8,94.77,191910
90,ok,2006-01-11,94.8,95.0,93.05,94.48,148920
91,ok,2006-01-12,94.9,94.98,93.0,93.3,133920
92,ok,2006-01-15,94.0,95.2,93.61,94.65,471185
93,ok,2006-01-16,95.0,96.2,94.56,94.79,328385
94,ok,2006-01-17,95.0,95.0,93.81,94.42,151545
95,ok,2006-01-18,94.42,97.0,94.0,96.33,200045
96,ok,2006-01-19,96.8,97.98,96.21,97.24,325780
97,ok,2006-01-22,97.4,97.67,96.26,96.75,168135
98,ok,2006-01-23,97.38,97.6,96.51,97.38,210740
99,ok,2006-01-24,97.4,97.59,96.23,96.45,131365
100,ok,2006-01-26,96.3,96.8,94.42,94.63,174460
101,ok,2006-01-29,97.0,97.0,92.24,92.48,58390
102,ok,2006-01-30,94.0,94.0,92.04,92.34,47400
103,ok,2006-01-31,92.2,93.13,92.2,93.01,98715
104,ok,2006-02-01,92.8,93.2,92.4,92.86,93825
105,ok,2006-02-02,91.31,96.8,91.21,92.83,350655
106,ok,2006-02-05,92.9,94.78,92.22,94.02,232180
107,ok,2006-02-06,92.75,96.0,92.75,95.52,130270
108,ok,2006-02-07,93.4,95.0,93.4,94.79,59410
109,ok,2006-02-09,93.01,96.0,93.01,94.64,143780
110,ok,2006-02-12,94.3,95.0,93.95,94.2,52555
111,ok,2006-02-13,93.05,94.36,93.05,94.07,73095
112,ok,2006-02-14,95.6,95.6,92.8,93.4,78115
113,ok,2006-02-15,94.4,94.4,93.31,94.18,78165
114,ok,2006-02-16,94.0,96.8,94.0,95.11,250825
115,ok,2006-02-19,94.26,95.0,92.81,94.63,98985
116,ok,2006-02-20,94.4,94.6,93.2,94.21,75040
117,ok,2006-02-21,94.0,94.54,93.6,93.97,78120
118,ok,2006-02-22,93.22,94.0,93.11,93.55,71225
119,ok,2006-02-23,92.82,94.32,92.81,94.08,81955
120,ok,2006-02-26,94.0,94.2,93.6,93.98,44905
121,ok,2006-02-27,92.6,94.5,92.6,94.28,94085
122,ok,2006-02-28,92.8,94.5,92.8,93.95,105855
123,ok,2006-03-01,86.66,94.1,86.66,94.0,85465
124,ok,2006-03-02,93.23,94.1,93.23,93.99,123565
125,ok,2006-03-05,93.6,94.3,93.1,93.9,111095
126,ok,2006-03-06,93.02,94.0,92.03,92.46,107375
127,ok,2006-03-07,92.05,92.9,91.61,91.98,91435
128,ok,2006-03-08,90.8,92.25,90.8,91.97,87180
129,ok,2006-03-09,92.0,92.6,91.22,92.01,85990
130,ok,2006-03-12,91.3,92.0,90.52,91.05,50235
131,ok,2006-03-13,91.1,92.56,91.0,91.68,89630
132,ok,2006-03-15,91.78,91.8,90.84,91.1,76325
133,ok,2006-03-16,91.02,91.05,90.03,90.61,56500
134,ok,2006-03-19,90.8,90.8,89.8,90.11,60425
135,ok,2006-03-20,90.4,90.7,89.12,89.91,47725
136,ok,2006-03-21,89.2,90.68,89.12,90.27,73805
137,ok,2006-03-22,90.02,92.0,89.82,91.29,145145
138,ok,2006-03-23,91.22,91.4,90.6,91.05,89185
139,ok,2006-03-26,89.61,91.55,89.6,91.08,99455
140,ok,2006-03-27,90.25,91.5,89.0,89.76,195805
141,ok,2006-03-28,89.4,94.78,89.4,93.24,145065
142,ok,2006-03-29,93.0,94.0,93.0,93.25,54140
143,ok,2006-03-30,93.25,93.6,93.2,93.23,46000
144,ok,2006-04-02,90.0,95.6,90.0,94.97,123800
145,ok,2006-04-03,94.0,95.8,94.0,95.6,93745
146,ok,2006-04-04,95.6,97.4,94.4,96.96,170750
147,ok,2006-04-06,97.6,97.94,95.2,96.97,159890
148,ok,2006-04-09,95.2,97.48,95.2,97.26,62850
149,ok,2006-04-11,97.88,97.88,94.0,96.66,77380
150,ok,2006-04-12,95.02,97.4,95.0,97.0,123825
151,ok,2006-04-16,96.98,97.36,95.22,97.09,149715
152,ok,2006-04-17,97.09,103.88,97.09,103.43,528315
153,ok,2006-04-18,105.0,109.54,103.6,106.25,691300
154,ok,2006-04-19,100.47,107.0,100.47,106.51,251280
155,ok,2006-04-20,106.0,106.4,102.2,104.12,104580
156,ok,2006-04-23,102.0,104.6,102.0,103.56,55170
157,ok,2006-04-24,102.4,105.0,102.0,103.6,84965
158,ok,2006-04-25,102.2,104.7,102.08,103.69,67600
159,ok,2006-04-26,107.98,108.0,102.0,104.91,94240
160,ok,2006-04-27,103.6,103.6,96.0,103.27,62345
161,ok,2006-04-28,104.0,104.4,102.42,103.65,21975
162,ok,2006-05-01,103.4,105.4,103.28,104.64,117735
