,s,t,o,h,l,c,v
0,ok,2001-06-20,16.0,16.0,16.0,16.0,125
1,ok,2001-06-21,12.3,15.35,12.25,15.35,200
2,ok,2001-06-28,19.0,19.0,19.0,19.0,50
3,ok,2001-07-05,23.5,23.5,23.5,23.5,1
4,ok,2001-07-10,23.1,24.95,23.1,24.95,2
5,ok,2001-07-11,24.7,24.7,24.7,24.7,10
6,ok,2001-08-05,22.75,22.75,22.75,22.75,5000
7,ok,2001-08-06,20.95,20.95,20.95,20.95,5000
8,ok,2001-08-07,19.3,19.3,19.3,19.3,5000
9,ok,2001-08-08,14.5,22.85,14.5,16.0,110002
10,ok,2001-08-29,20.0,20.0,20.0,20.0,20
11,ok,2001-11-04,19.0,19.0,19.0,19.0,30
12,ok,2002-02-25,18.25,18.25,18.25,18.25,1
13,ok,2002-02-28,17.55,17.55,17.55,17.55,1
14,ok,2002-03-03,17.55,18.25,16.85,18.25,127
15,ok,2002-03-05,18.95,18.95,17.75,17.75,11
16,ok,2002-03-07,17.75,17.75,17.75,17.75,10
17,ok,2002-03-14,17.5,17.5,17.5,17.5,1
18,ok,2002-03-18,17.0,17.0,17.0,17.0,17844
19,ok,2002-04-04,17.5,17.5,16.5,16.5,180
20,ok,2002-04-14,15.0,19.5,15.0,19.5,103
21,ok,2002-04-17,19.15,19.25,19.15,19.25,2
22,ok,2002-04-29,18.0,18.0,15.95,15.95,4
23,ok,2002-05-27,13.5,13.5,13.5,13.5,1
24,ok,2002-05-28,11.05,11.05,11.05,11.05,1
25,ok,2002-05-29,9.15,9.15,9.15,9.15,1
26,ok,2002-05-30,7.35,11.0,7.35,11.0,2
27,ok,2002-06-03,11.5,11.5,11.5,11.5,150
28,ok,2002-06-12,13.5,13.5,13.5,13.5,50
29,ok,2002-06-13,13.5,13.5,12.0,12.0,601
30,ok,2002-06-16,10.1,10.1,10.1,10.1,100
31,ok,2002-06-17,10.5,10.5,10.5,10.5,22
32,ok,2002-06-18,10.8,12.4,10.5,12.0,997
33,ok,2002-06-19,13.9,13.9,10.55,12.45,362
34,ok,2002-06-20,10.6,12.7,10.6,11.25,157
35,ok,2002-06-23,10.6,10.65,10.6,10.65,320
36,ok,2002-06-24,10.6,10.6,9.9,9.9,1308
37,ok,2002-06-25,10.05,10.05,9.7,9.7,520
38,ok,2021-07-05,17.25,17.25,17.25,17.25,123
39,ok,2021-07-06,18.1,18.1,18.1,18.1,4357
40,ok,2021-07-07,19.0,19.0,19.0,19.0,916
41,ok,2021-07-08,19.95,19.95,19.95,19.95,697
42,ok,2021-07-11,20.9,20.9,20.9,20.9,72
43,ok,2021-07-12,21.9,21.9,21.9,21.9,73
44,ok,2021-07-13,22.95,22.95,22.95,22.95,676
45,ok,2021-07-14,24.05,24.05,24.05,24.05,108
46,ok,2021-07-15,25.25,25.25,25.25,25.25,1016
47,ok,2021-07-18,26.5,26.5,26.5,26.5,80
48,ok,2021-07-19,27.8,27.8,27.8,27.8,12980
49,ok,2021-07-21,29.15,29.15,29.15,29.15,200
50,ok,2021-07-22,30.6,30.6,30.6,30.6,3
51,ok,2021-07-25,32.1,32.1,32.1,32.1,2052
52,ok,2021-07-26,33.7,33.7,33.7,33.7,1190
53,ok,2021-07-27,35.35,35.35,35.35,35.35,815
54,ok,2021-07-28,37.1,37.1,37.1,37.1,932
55,ok,2021-07-29,38.95,38.95,38.95,38.95,984
56,ok,2021-08-01,40.85,40.85,40.85,40.85,190
57,ok,2021-08-02,42.85,42.85,42.85,42.85,495
58,ok,2021-08-03,44.95,44.95,44.95,44.95,513
59,ok,2021-08-04,47.15,47.15,44.95,46.95,43709
60,ok,2021-08-05,49.25,49.25,47.9,49.25,13950
61,ok,2021-08-08,51.7,51.7,51.7,51.7,841
62,ok,2021-08-09,54.25,54.25,49.15,52.75,46572
63,ok,2021-08-10,55.35,55.35,54.0,55.35,6146
64,ok,2021-08-11,58.1,58.1,58.1,58.1,5270
65,ok,2021-08-12,61.0,61.0,61.0,61.0,5849
66,ok,2021-08-15,64.05,64.05,61.5,64.05,9450
67,ok,2021-08-16,67.25,67.25,67.25,67.25,8179
68,ok,2021-08-17,70.6,70.6,70.6,70.6,4531
69,ok,2021-08-19,74.1,74.1,74.1,74.1,5334
70,ok,2021-08-22,77.8,77.8,77.8,77.8,10736
71,ok,2021-08-23,81.65,81.65,81.65,81.65,16974
72,ok,2021-08-24,85.7,85.7,85.7,85.7,9752
73,ok,2021-08-25,89.95,89.95,89.95,89.95,11879
74,ok,2021-08-26,94.4,94.4,94.4,94.4,13127
75,ok,2021-08-29,99.1,99.1,96.3,99.1,15993
76,ok,2021-08-30,104.05,104.05,104.05,104.05,14472
77,ok,2021-08-31,109.25,109.25,109.25,109.25,17920
78,ok,2021-09-01,114.7,114.7,114.7,114.7,16177
79,ok,2021-09-02,120.4,120.4,120.4,120.4,21742
80,ok,2021-09-05,126.4,126.4,126.4,126.4,19759
81,ok,2021-09-06,132.7,132.7,132.7,132.7,20842
82,ok,2021-09-07,139.3,139.3,139.3,139.3,19281
83,ok,2021-09-08,146.25,146.25,146.25,146.25,21009
84,ok,2021-09-12,153.55,153.55,153.55,153.55,25594
85,ok,2021-09-13,161.2,161.2,145.9,145.9,30204
86,ok,2021-09-14,138.65,138.65,138.65,138.65,1039
87,ok,2021-09-15,131.75,131.75,131.75,131.75,1783
88,ok,2021-09-16,125.2,125.2,125.2,125.2,652
89,ok,2021-09-19,118.95,118.95,118.95,118.95,1673
90,ok,2021-09-20,113.05,113.05,113.05,113.05,552
91,ok,2021-09-21,107.4,107.4,107.4,107.4,2301
92,ok,2021-09-22,102.05,102.05,102.05,102.05,1506
93,ok,2021-09-23,96.95,96.95,96.95,96.95,955
94,ok,2021-09-26,92.15,92.15,92.15,92.15,1998
95,ok,2021-09-27,87.55,87.55,87.55,87.55,1696
96,ok,2021-09-28,83.2,83.2,83.2,83.2,972
97,ok,2021-09-29,79.05,79.05,79.05,79.05,2226
98,ok,2021-09-30,75.1,83.0,75.1,83.0,88980
