,s,t,o,h,l,c,v
0,ok,2017-12-07,68.4,68.4,68.4,68.4,6000
1,ok,2017-12-10,82.05,82.05,82.05,82.05,34000
2,ok,2017-12-11,97.4,98.45,82.05,97.35,5116000
3,ok,2017-12-12,100.0,106.8,95.15,97.1,2360000
4,ok,2017-12-13,98.0,101.0,94.1,94.75,454000
5,ok,2017-12-14,98.0,99.8,94.25,95.3,386000
6,ok,2017-12-17,90.0,97.0,88.45,94.85,256000
7,ok,2017-12-18,95.0,96.8,94.1,94.45,134000
8,ok,2017-12-19,94.5,94.9,92.0,92.55,154000
9,ok,2017-12-20,93.55,93.85,91.8,92.85,148000
10,ok,2017-12-21,96.5,97.0,90.3,96.25,310000
11,ok,2017-12-25,98.0,105.85,98.0,105.85,624000
12,ok,2017-12-26,112.7,116.4,110.25,115.7,878000
13,ok,2017-12-27,118.9,121.0,111.5,113.65,496000
14,ok,2017-12-28,116.85,116.85,111.75,113.25,160000
15,ok,2017-12-31,115.1,124.0,114.0,121.75,628000
16,ok,2018-01-01,123.5,124.95,118.1,120.1,224000
17,ok,2018-01-02,123.0,123.0,118.5,120.95,146000
18,ok,2018-01-03,121.0,122.7,120.0,121.3,148000
19,ok,2018-01-04,122.5,122.8,117.35,118.55,134000
20,ok,2018-01-07,118.0,118.35,114.2,114.95,180000
21,ok,2018-01-08,115.0,115.8,109.3,111.0,150000
22,ok,2018-01-09,109.9,110.0,107.05,108.1,126000
23,ok,2018-01-10,108.25,113.5,108.25,113.5,24000
24,ok,2018-01-11,119.15,119.15,114.0,116.3,120000
25,ok,2018-01-14,119.5,119.7,112.6,113.05,68000
26,ok,2018-01-15,114.25,114.25,108.0,108.7,58000
27,ok,2018-01-16,110.5,111.5,107.0,109.6,48000
28,ok,2018-01-17,112.0,112.0,104.15,106.65,98000
29,ok,2018-01-18,104.75,106.95,102.5,103.35,88000
30,ok,2018-01-21,104.0,107.9,101.4,106.35,128000
31,ok,2018-01-22,105.15,107.0,105.1,105.5,46000
32,ok,2018-01-23,105.1,105.5,103.7,104.75,52000
33,ok,2018-01-24,105.0,105.5,102.15,102.8,36000
34,ok,2018-01-28,102.5,102.5,100.0,101.0,50000
35,ok,2018-01-29,101.9,101.9,97.35,98.25,94000
36,ok,2018-01-30,100.65,101.4,98.7,101.4,22000
37,ok,2018-01-31,101.0,101.5,99.0,100.0,16000
38,ok,2018-02-01,97.0,98.45,95.0,95.0,90000
39,ok,2018-02-04,90.25,94.75,90.25,93.35,64000
40,ok,2018-02-05,89.3,96.5,89.3,96.25,64000
41,ok,2018-02-06,99.8,99.8,97.1,98.55,34000
42,ok,2018-02-07,99.1,103.0,99.1,102.0,36000
43,ok,2018-02-08,103.0,103.0,99.5,99.5,18000
44,ok,2018-02-11,102.8,103.6,102.15,103.0,28000
45,ok,2018-02-13,103.7,107.5,103.7,106.55,32000
46,ok,2018-02-14,108.7,110.0,103.55,103.75,60000
47,ok,2018-02-15,104.0,104.9,101.0,101.55,28000
48,ok,2018-02-18,103.2,103.2,97.0,97.0,42000
49,ok,2018-02-19,100.0,100.9,99.0,100.05,24000
50,ok,2018-02-20,100.5,102.4,97.5,100.15,24000
51,ok,2018-02-21,98.0,98.25,96.9,97.5,18000
52,ok,2018-02-22,99.5,99.5,97.0,98.0,16000
53,ok,2018-02-25,99.4,99.4,97.55,98.25,14000
54,ok,2018-02-26,97.65,97.65,95.05,95.4,44000
55,ok,2018-02-27,95.55,97.55,95.5,97.45,18000
56,ok,2018-02-28,98.7,99.0,97.0,98.85,12000
57,ok,2018-03-04,95.0,96.85,95.0,95.35,10000
58,ok,2018-03-05,96.0,97.0,92.5,93.85,34000
59,ok,2018-03-06,93.0,93.0,90.95,91.2,34000
60,ok,2018-03-07,90.5,93.0,87.0,90.05,228000
61,ok,2018-03-08,88.15,89.3,88.1,88.6,24000
62,ok,2018-03-11,86.5,90.0,86.5,89.95,22000
63,ok,2018-03-12,90.0,90.7,88.8,90.5,16000
64,ok,2018-03-13,89.5,90.8,89.0,90.45,26000
65,ok,2018-03-14,89.2,93.0,89.2,92.0,14000
66,ok,2018-03-15,93.0,93.0,90.5,92.0,14000
