,s,t,o,h,l,c,v
0,ok,2000-01-02,13.52,13.59,12.98,13.59,1574432
1,ok,2000-01-03,13.28,14.27,12.91,13.28,1629454
2,ok,2000-01-04,12.73,13.36,12.27,12.64,1251933
3,ok,2000-01-05,12.91,13.45,12.65,12.74,1513321
4,ok,2000-01-06,12.55,13.18,12.0,12.25,763450
5,ok,2000-01-09,12.18,12.91,12.18,12.71,1373109
6,ok,2000-01-10,12.57,12.81,12.02,12.61,1691807
7,ok,2000-01-11,12.55,13.62,12.55,13.62,486173
8,ok,2000-01-12,14.55,14.71,14.18,14.43,2720737
9,ok,2000-01-13,14.18,14.69,13.64,14.36,3866900
10,ok,2000-01-16,14.87,15.52,14.87,15.52,1331524
11,ok,2000-01-17,16.02,16.02,14.91,15.42,1828108
12,ok,2000-01-18,16.13,16.65,15.82,16.65,1757274
13,ok,2000-01-19,17.98,17.99,17.27,17.52,3094809
14,ok,2000-01-20,18.86,18.86,16.48,18.06,2737837
15,ok,2000-01-23,18.36,19.51,18.36,19.51,1314276
16,ok,2000-01-24,20.36,21.07,19.25,21.07,2078441
17,ok,2000-01-26,22.76,22.76,22.75,22.76,304816
18,ok,2000-01-27,23.64,24.59,22.76,24.59,773037
19,ok,2000-01-30,26.36,26.56,25.96,26.56,266657
20,ok,2000-01-31,28.69,28.69,28.02,28.69,1619466
21,ok,2000-02-01,30.98,30.99,30.98,30.99,423819
22,ok,2000-02-02,32.89,33.47,28.52,28.52,6031218
23,ok,2000-02-03,29.09,29.09,26.24,26.25,5042713
24,ok,2000-02-06,27.91,28.35,25.64,28.29,1908249
25,ok,2000-02-07,29.09,29.45,26.36,27.55,2853997
26,ok,2000-02-08,29.64,29.64,26.73,28.46,3159407
27,ok,2000-02-09,29.09,30.75,29.09,30.75,2626302
28,ok,2000-02-10,32.52,32.52,28.89,29.15,1969491
29,ok,2000-02-13,29.4,31.45,29.4,31.22,3740070
30,ok,2000-02-14,31.25,32.36,29.45,29.85,1836666
31,ok,2000-02-15,31.58,32.25,30.55,32.19,2012485
32,ok,2000-02-16,32.72,34.08,31.82,32.68,2882228
33,ok,2000-02-17,32.55,32.73,31.31,31.7,1133485
34,ok,2000-02-20,32.18,32.18,30.59,30.95,1192660
35,ok,2000-02-21,31.09,31.27,28.65,28.89,1663697
36,ok,2000-02-22,29.64,30.87,28.36,28.53,759430
37,ok,2000-02-23,29.64,29.64,26.27,27.05,871987
38,ok,2000-02-24,28.0,29.22,26.82,29.15,928500
39,ok,2000-02-27,30.36,31.48,28.18,31.48,1141207
40,ok,2000-02-28,33.85,34.0,30.12,31.15,2671309
41,ok,2000-02-29,30.91,33.64,30.91,33.64,740614
42,ok,2000-03-01,36.33,36.33,36.33,36.33,331892
43,ok,2000-03-02,39.24,39.24,39.24,39.24,299321
44,ok,2000-03-05,42.38,42.38,36.33,42.38,1394823
45,ok,2000-03-06,44.55,45.45,38.99,43.3,2781760
46,ok,2000-03-07,45.36,45.36,39.84,39.88,1036537
47,ok,2000-03-08,38.73,40.19,36.69,36.69,578551
48,ok,2000-03-09,36.35,39.63,33.76,38.48,2040194
49,ok,2000-03-12,39.27,39.78,35.41,36.56,1786429
50,ok,2000-03-13,36.36,37.27,33.82,36.58,1626033
