,s,t,o,h,l,c,v
0,ok,2007-04-12,540.0,870.0,540.0,803.25,19108425
1,ok,2007-04-15,857.5,963.9,843.0,963.9,5358978
2,ok,2007-04-16,1010.0,1135.0,880.0,904.75,12972741
3,ok,2007-04-17,938.7,938.7,851.0,886.45,6123620
4,ok,2007-04-18,869.0,888.9,832.0,872.7,2838417
5,ok,2007-04-19,881.45,913.8,875.0,882.8,1671727
6,ok,2007-04-22,886.0,904.85,861.2,868.35,976743
7,ok,2007-04-23,870.0,877.0,840.0,843.65,613113
8,ok,2007-04-24,859.8,887.5,835.0,866.2,1520037
9,ok,2007-04-25,870.0,879.6,838.0,845.35,691565
10,ok,2007-04-26,867.0,975.0,682.5,813.6,455643
11,ok,2007-04-29,826.0,834.85,792.0,821.55,973137
12,ok,2007-05-02,850.0,855.0,826.15,829.75,390112
13,ok,2007-05-03,834.0,840.0,805.0,818.05,256910
14,ok,2007-05-06,828.0,975.0,815.0,962.1,6075076
15,ok,2007-05-07,968.7,994.0,884.0,897.0,4336644
16,ok,2007-05-08,889.0,943.7,886.5,926.45,3461205
17,ok,2007-05-09,935.0,945.0,910.2,915.7,1442265
18,ok,2007-05-10,890.0,917.0,889.5,900.65,1141682
19,ok,2007-05-13,918.95,956.0,903.35,938.1,1749651
20,ok,2007-05-14,937.5,948.7,911.0,926.65,801739
21,ok,2007-05-15,930.0,942.0,921.1,926.1,536554
22,ok,2007-05-16,925.0,978.8,872.0,940.25,1800550
23,ok,2007-05-17,940.0,941.35,916.3,919.85,439007
24,ok,2007-05-20,920.5,942.0,913.35,918.5,329379
25,ok,2007-05-21,936.0,953.0,920.0,945.85,814550
26,ok,2007-05-22,955.8,983.0,922.6,931.35,1630184
27,ok,2007-05-23,934.8,964.95,920.6,944.95,1479795
28,ok,2007-05-24,924.9,955.95,924.9,937.3,648097
29,ok,2007-05-27,943.35,952.0,925.25,930.35,498404
30,ok,2007-05-28,936.0,941.9,920.1,923.95,322321
31,ok,2007-05-29,938.85,945.0,896.1,900.1,263793
32,ok,2007-05-30,919.95,927.0,900.35,909.9,189616
33,ok,2007-05-31,919.8,934.5,903.0,907.45,397334
34,ok,2007-06-03,914.8,933.0,897.6,901.85,327728
35,ok,2007-06-04,905.0,909.9,880.0,884.3,266567
36,ok,2007-06-05,900.0,909.0,860.1,866.65,195443
37,ok,2007-06-06,866.5,877.35,845.0,847.65,175655
38,ok,2007-06-07,825.1,842.8,711.55,832.25,138322
39,ok,2007-06-10,849.65,849.65,808.25,815.1,114750
40,ok,2007-06-11,819.0,822.95,796.3,804.55,141466
41,ok,2007-06-12,804.0,808.0,791.0,798.55,120463
42,ok,2007-06-13,806.05,922.9,806.05,907.55,2657629
43,ok,2007-06-14,914.45,938.8,885.25,893.5,1632696
44,ok,2007-06-17,899.0,902.0,856.15,863.8,387105
45,ok,2007-06-18,874.0,915.0,851.0,903.3,1510644
46,ok,2007-06-19,911.35,929.0,901.0,906.15,837703
47,ok,2007-06-20,909.5,909.5,876.3,888.7,311908
48,ok,2007-06-21,892.0,936.0,878.0,905.85,1127688
49,ok,2007-06-24,909.0,934.1,900.3,921.3,1232367
50,ok,2007-06-25,926.0,956.5,921.35,935.05,1496434
51,ok,2007-06-26,938.0,964.0,931.35,938.8,1447863
52,ok,2007-06-27,957.0,969.0,943.5,947.15,1014720
53,ok,2007-06-28,950.65,957.0,926.2,933.45,321489
54,ok,2007-07-01,940.05,944.7,926.2,934.5,317365
55,ok,2007-07-02,942.15,957.75,932.0,937.7,612083
56,ok,2007-07-03,940.0,944.95,916.3,921.0,264275
