,s,t,o,h,l,c,v
0,ok,2017-10-22,50.0,55.33,50.0,54.31,100373940
1,ok,2017-10-23,53.83,54.5,53.18,53.45,6492840
2,ok,2017-10-24,53.33,53.37,51.52,52.1,4222440
3,ok,2017-10-25,51.75,53.0,51.04,52.09,2614500
4,ok,2017-10-26,52.0,52.49,51.7,52.17,934440
5,ok,2017-10-29,52.17,52.71,51.95,52.24,1407270
6,ok,2017-10-30,52.03,52.43,51.37,51.81,707760
7,ok,2017-10-31,51.68,52.33,51.29,51.98,2795550
8,ok,2017-11-01,52.0,52.5,51.67,52.11,866490
9,ok,2017-11-02,51.77,54.0,51.77,53.08,2843490
10,ok,2017-11-05,52.67,53.97,52.67,53.42,1441230
11,ok,2017-11-06,53.67,53.95,53.0,53.57,1541490
12,ok,2017-11-07,53.4,53.95,50.37,52.87,742950
13,ok,2017-11-08,52.87,53.73,51.93,53.34,791370
14,ok,2017-11-09,52.73,53.67,52.73,53.22,511200
15,ok,2017-11-12,52.95,53.37,52.3,52.43,380340
16,ok,2017-11-13,52.5,52.79,51.35,51.43,327570
17,ok,2017-11-14,51.83,51.83,50.3,50.38,367980
18,ok,2017-11-15,51.1,51.1,49.67,50.28,3154470
19,ok,2017-11-16,50.5,50.83,50.17,50.46,310740
20,ok,2017-11-19,50.79,51.6,50.0,50.14,515640
21,ok,2017-11-20,50.17,50.73,50.17,50.52,249480
22,ok,2017-11-21,50.2,52.63,50.2,51.93,645750
23,ok,2017-11-22,52.22,52.43,51.24,51.89,1156170
24,ok,2017-11-23,51.54,52.13,51.38,51.65,716070
25,ok,2017-11-26,51.34,52.33,51.25,51.77,297600
26,ok,2017-11-27,52.16,52.16,51.27,51.56,184860
27,ok,2017-11-28,51.57,51.77,50.39,50.9,242070
28,ok,2017-11-29,50.83,51.73,50.7,51.14,198480
29,ok,2017-11-30,51.17,51.83,50.83,51.01,334560
30,ok,2017-12-03,51.01,51.28,50.13,50.23,273990
31,ok,2017-12-04,50.17,50.88,49.8,50.19,180420
32,ok,2017-12-05,50.33,50.75,50.13,50.46,156690
33,ok,2017-12-06,50.11,51.5,50.11,50.93,165750
34,ok,2017-12-07,50.67,51.77,50.67,51.67,448890
35,ok,2017-12-10,51.2,52.12,51.0,51.86,811050
36,ok,2017-12-11,53.23,53.95,52.37,53.58,10343550
37,ok,2017-12-12,54.5,55.0,53.17,53.45,1569210
38,ok,2017-12-13,53.5,54.33,52.51,52.9,387390
39,ok,2017-12-14,53.3,53.77,51.87,52.51,320940
40,ok,2017-12-17,51.67,53.47,51.23,53.0,536430
41,ok,2017-12-18,53.03,53.07,52.37,52.68,264960
42,ok,2017-12-19,52.37,54.3,51.64,52.96,487470
43,ok,2017-12-20,53.33,53.97,52.73,52.93,500640
44,ok,2017-12-21,53.0,54.13,52.87,53.45,3665130
45,ok,2017-12-25,53.2,54.16,52.87,53.38,580320
46,ok,2017-12-26,52.94,53.83,52.67,52.83,935130
47,ok,2017-12-27,52.67,54.67,52.67,54.0,5116140
48,ok,2017-12-28,54.76,54.83,53.52,53.67,588900
49,ok,2017-12-31,53.33,53.93,53.33,53.61,278100
50,ok,2018-01-01,53.61,54.03,52.77,53.57,523290
51,ok,2018-01-02,53.57,54.0,52.87,53.28,386610
52,ok,2018-01-03,53.3,54.03,53.26,53.74,351210
53,ok,2018-01-04,54.03,54.03,52.67,53.48,305220
54,ok,2018-01-07,52.72,53.97,52.72,53.51,237330
55,ok,2018-01-08,53.67,54.68,53.17,53.9,643650
56,ok,2018-01-09,54.0,55.9,53.37,54.32,7213260
57,ok,2018-01-10,55.0,55.0,53.33,53.52,610620
58,ok,2018-01-11,53.67,55.07,52.72,54.48,1608150
59,ok,2018-01-14,54.0,55.67,53.67,53.81,1785600
60,ok,2018-01-15,54.07,54.67,53.37,53.87,1289640
61,ok,2018-01-16,53.7,54.0,53.33,53.53,251250
62,ok,2018-01-17,53.57,54.3,53.17,53.82,1706190
63,ok,2018-01-18,53.67,54.17,53.6,54.03,883020
64,ok,2018-01-21,54.0,54.5,53.8,53.93,893610
65,ok,2018-01-22,54.0,54.33,52.5,53.38,761760
66,ok,2018-01-23,53.5,53.83,53.0,53.34,193170
67,ok,2018-01-24,52.83,53.72,52.83,53.49,260430
68,ok,2018-01-28,53.47,54.17,53.33,53.49,237720
69,ok,2018-01-29,53.44,53.53,53.0,53.21,426930
70,ok,2018-01-30,53.33,53.67,53.0,53.38,404640
71,ok,2018-01-31,53.0,54.0,53.0,53.56,299010
72,ok,2018-02-01,53.0,53.54,52.93,53.24,1708560
73,ok,2018-02-04,52.0,52.92,51.7,52.65,720240
74,ok,2018-02-05,50.5,52.2,50.5,51.36,326970
75,ok,2018-02-06,51.5,52.16,51.04,51.22,290040
76,ok,2018-02-07,51.33,52.57,51.33,52.04,943680
77,ok,2018-02-08,51.52,52.08,51.29,51.57,297870
78,ok,2018-02-11,51.67,52.5,51.57,52.09,309360
79,ok,2018-02-13,52.21,52.21,51.67,51.85,390090
80,ok,2018-02-14,52.05,52.17,51.38,51.52,293790
81,ok,2018-02-15,52.16,52.16,51.0,51.19,141660
82,ok,2018-02-18,51.33,51.5,50.11,50.69,461130
83,ok,2018-02-19,51.38,51.38,50.34,50.51,595410
84,ok,2018-02-20,50.83,50.87,50.01,50.33,192210
85,ok,2018-02-21,50.0,50.33,49.57,49.66,266340
86,ok,2018-02-22,50.0,50.0,48.0,48.41,355440
87,ok,2018-02-25,48.67,49.5,48.47,48.64,229080
88,ok,2018-02-26,49.33,49.33,48.15,48.23,304740
89,ok,2018-02-27,49.0,49.0,48.03,48.64,290490
90,ok,2018-02-28,48.03,49.0,48.03,48.54,2703330
91,ok,2018-03-04,48.67,48.89,48.23,48.41,162330
92,ok,2018-03-05,48.68,49.0,48.13,48.21,243420
93,ok,2018-03-06,48.17,48.45,46.73,46.94,209820
94,ok,2018-03-07,47.57,48.0,47.2,47.77,889200
95,ok,2018-03-08,48.33,48.33,47.5,48.01,123420
96,ok,2018-03-11,48.33,48.33,47.79,48.0,229140
97,ok,2018-03-12,47.7,49.38,47.7,48.95,728310
98,ok,2018-03-13,48.17,49.27,48.17,48.99,105360
99,ok,2018-03-14,49.61,49.8,48.58,49.27,449250
100,ok,2018-03-15,49.33,50.0,49.33,49.86,197460
101,ok,2018-03-18,50.17,50.34,48.04,48.81,220740
