,s,t,o,h,l,c,v
0,ok,2000-01-02,36.04,38.09,36.04,36.44,11013
1,ok,2000-01-03,37.37,37.37,33.55,33.9,12699
2,ok,2000-01-04,34.26,35.06,33.81,34.39,14159
3,ok,2000-01-05,34.7,37.15,33.81,35.19,11687
4,ok,2000-01-06,33.95,37.02,33.95,35.15,8541
5,ok,2000-01-09,36.44,36.44,34.53,35.19,11238
6,ok,2000-01-10,33.46,35.15,33.46,34.75,21351
7,ok,2000-01-11,34.7,35.82,34.7,35.42,9215
8,ok,2000-01-12,34.53,35.91,34.53,35.37,10001
9,ok,2000-01-13,34.7,36.04,34.7,35.15,7304
10,ok,2000-01-16,35.59,38.0,35.59,38.0,12249
11,ok,2000-01-17,40.93,40.93,35.33,37.55,21801
12,ok,2000-01-18,39.07,40.58,38.26,40.36,43714
13,ok,2000-01-19,42.58,43.6,40.09,41.02,38433
14,ok,2000-01-20,42.27,42.71,40.53,41.73,18992
15,ok,2000-01-23,41.82,42.71,39.24,42.09,32140
16,ok,2000-01-24,40.13,42.27,40.13,41.29,31690
17,ok,2000-01-26,42.27,42.67,40.76,41.69,12137
18,ok,2000-01-27,39.6,42.62,39.42,41.82,12024
19,ok,2000-01-30,41.73,43.6,40.04,41.65,17194
20,ok,2000-01-31,40.76,43.38,40.4,42.67,20340
21,ok,2000-02-01,41.02,45.47,41.02,44.49,27307
22,ok,2000-02-02,44.58,47.83,43.6,44.94,17980
23,ok,2000-02-03,47.16,48.54,43.83,48.5,21127
24,ok,2000-02-06,52.06,52.06,45.83,46.01,11575
25,ok,2000-02-07,46.1,47.21,43.78,44.8,20565
26,ok,2000-02-08,45.38,46.27,44.49,45.38,16519
27,ok,2000-02-09,44.49,44.49,41.82,42.85,7979
28,ok,2000-02-10,42.71,44.49,42.71,42.8,7979
29,ok,2000-02-13,42.8,42.8,40.93,40.98,8091
30,ok,2000-02-14,39.15,40.0,37.82,38.22,12699
31,ok,2000-02-15,38.26,40.4,37.91,39.51,8091
32,ok,2000-02-16,40.04,41.78,40.04,40.62,19553
33,ok,2000-02-17,39.15,40.93,38.8,38.89,3821
34,ok,2000-02-20,37.91,38.31,36.13,38.26,4607
35,ok,2000-02-21,39.15,39.15,36.04,36.84,7192
36,ok,2000-02-22,36.48,37.55,36.04,36.48,5619
37,ok,2000-02-23,35.15,37.37,35.15,37.02,4270
38,ok,2000-02-24,36.04,36.48,34.7,34.7,1798
39,ok,2000-02-27,32.97,36.31,32.26,33.77,6293
40,ok,2000-02-28,33.81,36.04,33.1,35.33,7642
41,ok,2000-02-29,35.51,35.51,32.93,33.9,2135
42,ok,2000-03-01,33.81,35.15,33.37,34.04,3484
43,ok,2000-03-02,32.26,33.59,32.26,33.59,1461
44,ok,2000-03-05,31.95,31.95,30.92,30.92,6967
45,ok,2000-03-06,28.92,31.1,28.92,29.99,5956
46,ok,2000-03-07,28.48,28.61,27.72,28.48,2472
47,ok,2000-03-08,26.47,27.59,26.47,27.36,2135
48,ok,2000-03-09,27.59,28.48,26.79,26.79,1910
49,ok,2000-03-12,27.59,28.92,27.59,28.92,1910
50,ok,2000-03-13,28.92,30.97,28.48,29.14,9777
51,ok,2000-03-14,31.06,31.06,27.59,31.06,1461
52,ok,2000-03-15,31.15,31.15,29.41,29.41,787
53,ok,2000-03-20,30.43,31.77,30.43,31.72,5956
54,ok,2000-03-21,34.26,34.26,33.37,34.26,4495
55,ok,2000-03-22,36.93,37.02,34.3,35.59,8203
56,ok,2000-03-23,34.79,35.59,32.97,35.37,2135
57,ok,2000-03-26,33.15,34.04,33.06,33.99,3708
58,ok,2000-03-27,33.77,33.77,31.59,32.66,4046
59,ok,2000-03-28,34.44,34.62,32.04,32.93,2922
60,ok,2000-03-29,33.81,33.81,31.59,32.88,1573
61,ok,2000-03-30,32.08,32.17,31.68,32.04,899
62,ok,2000-04-02,31.59,32.93,31.37,31.5,787
63,ok,2000-04-03,31.81,31.95,29.41,29.41,4720
64,ok,2000-04-04,28.7,30.3,28.56,30.08,2023
