,s,t,o,h,l,c,v
0,ok,2005-10-17,179.67,184.3,176.17,178.69,6542832
1,ok,2005-10-18,176.17,178.67,161.05,162.9,1877862
2,ok,2005-10-19,160.53,166.0,146.62,146.62,1629522
3,ok,2005-10-20,137.43,144.82,131.97,133.73,1102080
4,ok,2005-10-23,127.43,134.53,127.05,127.45,517161
5,ok,2005-10-24,122.0,126.67,121.09,121.09,289932
6,ok,2005-10-25,116.67,118.0,115.03,115.03,139068
7,ok,2005-10-26,109.42,110.05,109.29,109.29,24132
8,ok,2005-10-27,103.83,103.83,103.83,103.83,2082
9,ok,2005-10-30,98.65,98.65,98.65,98.65,1860
10,ok,2005-10-31,93.72,103.59,93.72,102.23,125460
11,ok,2005-11-01,103.83,106.0,98.02,99.33,392769
12,ok,2005-11-06,99.0,104.3,96.67,104.3,148797
13,ok,2005-11-07,106.67,109.0,100.0,105.77,165828
14,ok,2005-11-08,106.49,107.33,101.87,103.1,58749
15,ok,2005-11-09,104.32,106.63,102.67,105.85,75498
16,ok,2005-11-10,106.33,106.33,103.33,104.27,35988
17,ok,2005-11-13,106.3,106.32,102.53,103.23,22260
18,ok,2005-11-15,102.33,103.67,100.83,101.65,11976
19,ok,2005-11-16,101.03,102.0,99.37,99.83,13008
20,ok,2005-11-17,104.63,104.63,100.02,100.35,18339
21,ok,2005-11-20,100.0,101.0,98.03,98.37,15243
22,ok,2005-11-21,96.69,98.37,96.69,97.6,4755
23,ok,2005-11-22,97.5,99.0,96.7,97.57,7998
24,ok,2005-11-23,97.0,97.0,94.93,95.43,15765
25,ok,2005-11-24,96.67,96.67,94.0,94.45,10023
26,ok,2005-11-25,95.0,95.97,93.77,94.79,2127
27,ok,2005-11-27,98.82,98.82,94.07,96.55,6312
28,ok,2005-11-28,97.67,98.3,95.0,96.83,11688
29,ok,2005-11-29,96.67,101.69,96.33,99.42,36264
30,ok,2005-11-30,102.5,102.5,99.67,100.77,10293
31,ok,2005-12-01,99.7,103.93,99.7,101.85,19683
32,ok,2005-12-04,101.87,102.97,99.07,99.37,6447
33,ok,2005-12-05,100.0,101.27,97.6,98.73,10110
34,ok,2005-12-06,97.67,99.33,97.33,98.25,3510
35,ok,2005-12-07,98.33,99.0,97.0,97.43,3300
36,ok,2005-12-08,98.32,98.97,96.69,97.6,4905
37,ok,2005-12-11,98.7,98.7,96.0,98.05,5211
38,ok,2005-12-12,99.87,99.9,97.33,97.89,3525
39,ok,2005-12-13,98.33,98.33,96.67,96.97,2601
40,ok,2005-12-14,98.63,98.63,96.67,96.87,2967
41,ok,2005-12-15,98.33,101.99,94.5,96.93,2382
42,ok,2005-12-18,96.67,98.67,96.67,97.9,4371
43,ok,2005-12-19,97.02,98.33,95.67,96.1,3594
44,ok,2005-12-20,96.0,97.33,94.1,94.52,12090
45,ok,2005-12-21,103.33,103.33,93.5,94.85,10566
46,ok,2005-12-22,104.0,104.0,94.67,95.07,3456
47,ok,2005-12-25,92.43,96.0,92.4,94.05,5622
48,ok,2005-12-26,95.5,95.5,92.67,93.8,2370
49,ok,2005-12-27,94.37,94.67,93.0,93.15,3927
50,ok,2005-12-28,95.75,95.75,92.62,92.63,2994
51,ok,2005-12-29,93.3,93.33,90.0,91.02,6921
52,ok,2006-01-01,94.57,94.57,92.42,93.02,2853
53,ok,2006-01-02,93.39,93.83,92.75,93.15,5385
54,ok,2006-01-03,93.0,94.47,93.0,93.33,4089
55,ok,2006-01-04,93.33,94.33,92.47,93.72,5991
56,ok,2006-01-05,93.33,95.67,92.53,93.05,6318
57,ok,2006-01-08,95.33,97.33,92.0,95.77,8160
58,ok,2006-01-09,94.33,96.0,92.25,92.4,20964
59,ok,2006-01-11,95.3,95.3,90.37,91.19,8895
