,s,t,o,h,l,c,v
0,ok,2000-01-02,83.8,85.05,81.55,85.05,308604
1,ok,2000-01-03,89.0,89.5,83.1,84.9,481864
2,ok,2000-01-04,83.0,84.9,81.0,81.75,325346
3,ok,2000-01-05,82.9,85.5,82.15,83.8,236559
4,ok,2000-01-06,84.0,84.75,82.05,82.95,143529
5,ok,2000-01-09,83.75,84.0,79.0,81.9,549251
6,ok,2000-01-10,82.4,83.35,75.5,76.25,546256
7,ok,2000-01-11,79.0,82.35,78.0,82.35,252826
8,ok,2000-01-12,83.95,86.15,77.0,77.65,444794
9,ok,2000-01-13,79.4,79.4,72.0,73.0,354222
10,ok,2000-01-16,71.0,76.0,71.0,74.1,233873
11,ok,2000-01-17,74.8,74.8,71.0,71.6,260109
12,ok,2000-01-18,73.0,75.45,73.0,74.4,346238
13,ok,2000-01-19,74.0,74.85,72.4,72.55,109475
14,ok,2000-01-20,73.0,73.35,69.75,70.05,213934
15,ok,2000-01-23,69.25,72.5,67.75,72.05,545472
16,ok,2000-01-24,71.05,76.5,69.75,74.95,389514
17,ok,2000-01-26,70.0,79.5,70.0,78.1,453882
18,ok,2000-01-27,77.5,80.5,75.1,79.3,401779
19,ok,2000-01-30,78.5,81.45,76.2,79.95,413388
20,ok,2000-01-31,80.6,83.0,78.1,82.2,347098
21,ok,2000-02-01,84.0,85.5,81.5,84.45,434236
22,ok,2000-02-02,84.1,90.8,83.0,89.45,533096
23,ok,2000-02-03,89.5,90.5,87.0,89.7,472028
24,ok,2000-02-06,90.5,92.0,87.1,90.6,441779
25,ok,2000-02-07,89.0,92.85,87.15,90.4,464034
26,ok,2000-02-08,94.0,94.5,89.0,90.3,366234
27,ok,2000-02-09,89.0,92.4,88.1,91.85,259955
28,ok,2000-02-10,92.0,92.9,89.25,92.05,404765
29,ok,2000-02-13,91.9,91.9,88.0,89.0,436364
30,ok,2000-02-14,88.25,92.0,85.5,88.75,514510
31,ok,2000-02-15,91.9,91.9,87.1,88.3,176752
32,ok,2000-02-16,87.65,90.0,86.1,87.65,211379
33,ok,2000-02-17,87.0,87.0,80.75,82.1,160664
34,ok,2000-02-20,82.5,82.9,80.35,80.8,140843
35,ok,2000-02-21,79.55,83.0,77.05,81.75,254755
36,ok,2000-02-22,82.0,82.85,79.25,80.2,56140
37,ok,2000-02-23,80.0,80.0,75.5,78.1,124153
38,ok,2000-02-24,78.0,84.35,76.5,80.55,122059
39,ok,2000-02-27,82.0,83.9,79.5,83.25,103558
40,ok,2000-02-28,85.8,86.8,76.75,77.7,146270
41,ok,2000-02-29,77.0,82.25,77.0,81.0,64777
42,ok,2000-03-01,80.5,82.5,76.55,77.65,126540
43,ok,2000-03-02,76.8,76.8,71.5,72.3,117065
44,ok,2000-03-05,74.8,75.0,73.0,73.65,117026
45,ok,2000-03-06,73.5,74.9,71.0,73.65,162321
46,ok,2000-03-07,73.0,74.0,72.15,72.65,56871
47,ok,2000-03-08,71.5,73.6,68.0,68.7,36449
48,ok,2000-03-09,69.9,71.9,69.0,70.2,44326
49,ok,2000-03-12,72.0,72.0,70.0,70.5,51546
50,ok,2000-03-13,70.1,70.1,64.9,68.35,486289
51,ok,2000-03-14,68.0,73.85,68.0,73.3,68480
52,ok,2000-03-15,73.05,73.85,67.5,67.95,55209
53,ok,2000-03-20,69.4,70.0,64.15,65.7,280674
54,ok,2000-03-21,67.0,70.9,64.0,70.05,75303
55,ok,2000-03-22,70.5,72.75,69.55,72.3,61210
56,ok,2000-03-23,71.1,74.95,71.0,74.75,45901
57,ok,2000-03-26,73.65,77.0,73.5,76.55,45351
58,ok,2000-03-27,76.1,79.0,76.0,78.5,60987
59,ok,2000-03-28,77.5,78.5,76.0,76.3,25373
60,ok,2000-03-29,76.0,76.15,73.35,75.5,33400
61,ok,2000-03-30,76.5,81.55,74.55,80.3,185743
62,ok,2000-04-02,83.65,86.75,82.2,86.75,110372
63,ok,2000-04-03,85.5,89.75,79.85,79.85,198810
64,ok,2000-04-04,79.8,86.25,77.6,86.2,140252
65,ok,2000-04-05,87.0,89.45,79.6,82.0,115917
66,ok,2000-04-06,82.1,88.55,82.0,88.25,222913
67,ok,2000-04-09,89.0,89.9,85.5,86.35,291538
68,ok,2000-04-11,85.1,86.0,82.5,83.3,58712
69,ok,2000-04-12,80.1,81.85,77.0,77.95,79835
70,ok,2000-04-16,72.0,76.3,72.0,72.7,209439
71,ok,2000-04-17,74.0,74.0,68.2,69.0,219898
72,ok,2000-04-18,71.9,71.9,65.0,66.1,146017
73,ok,2000-04-19,64.75,64.75,60.95,63.3,295936
74,ok,2000-04-23,64.0,65.0,62.65,64.05,86510
75,ok,2000-04-24,62.7,62.7,58.95,59.55,161040
76,ok,2000-04-25,61.9,64.35,61.25,64.35,248463
77,ok,2000-04-26,65.8,65.8,59.5,59.95,119439
78,ok,2000-04-27,58.0,60.95,55.2,56.25,182191
