,s,t,o,h,l,c,v
0,ok,2007-02-28,93.9,100.25,75.0,98.35,54802922
1,ok,2007-03-01,105.0,105.0,95.05,97.95,8722279
2,ok,2007-03-04,95.0,95.3,90.0,92.6,2352089
3,ok,2007-03-05,94.75,97.0,92.0,93.7,1299154
4,ok,2007-03-06,94.85,94.85,85.5,86.7,768085
5,ok,2007-03-07,87.2,89.6,87.2,89.3,453539
6,ok,2007-03-08,89.9,92.0,88.0,91.2,573863
7,ok,2007-03-11,92.5,92.5,87.45,87.85,656800
8,ok,2007-03-12,88.0,89.5,86.0,87.65,429771
9,ok,2007-03-13,86.0,88.0,82.4,86.75,410183
10,ok,2007-03-14,87.0,89.8,87.0,88.0,937409
11,ok,2007-03-15,87.1,88.5,85.0,85.35,489834
12,ok,2007-03-18,86.0,86.5,84.05,84.45,263636
13,ok,2007-03-19,85.5,87.95,85.3,86.85,325721
14,ok,2007-03-20,86.05,88.7,85.05,87.05,410702
15,ok,2007-03-21,88.0,92.0,88.0,91.8,1126538
16,ok,2007-03-22,91.9,92.5,89.5,91.35,293855
17,ok,2007-03-25,90.0,92.5,89.05,92.1,302635
18,ok,2007-03-27,91.0,91.0,88.2,89.2,175129
19,ok,2007-03-28,88.5,94.15,85.5,87.0,1431559
20,ok,2007-03-29,87.7,90.8,86.7,90.2,509576
21,ok,2007-04-01,88.0,88.0,85.0,87.1,215016
22,ok,2007-04-02,87.2,90.25,87.2,90.0,264540
23,ok,2007-04-03,89.9,92.25,89.9,91.75,301207
24,ok,2007-04-04,91.0,91.25,89.5,90.8,98458
25,ok,2007-04-08,90.25,91.4,88.5,89.55,140905
26,ok,2007-04-09,90.0,96.1,89.5,93.6,1404080
27,ok,2007-04-10,95.0,95.0,93.0,94.05,614531
28,ok,2007-04-11,93.5,93.5,89.75,90.4,246066
29,ok,2007-04-12,91.85,94.6,91.25,93.5,727726
30,ok,2007-04-15,94.9,95.7,92.25,92.5,458641
31,ok,2007-04-16,93.0,94.8,91.3,93.65,631642
32,ok,2007-04-17,94.0,98.75,93.95,96.95,2087533
33,ok,2007-04-18,95.0,97.9,94.5,96.85,758443
34,ok,2007-04-19,97.8,98.95,95.6,96.8,933845
35,ok,2007-04-22,99.0,99.85,93.7,95.5,1775391
36,ok,2007-04-23,96.0,109.95,95.2,104.9,6133853
37,ok,2007-04-24,108.75,124.8,106.8,120.3,10876699
38,ok,2007-04-25,121.0,130.0,121.0,122.55,3618512
39,ok,2007-04-26,122.0,122.0,112.0,114.7,2075388
40,ok,2007-04-29,113.0,118.0,105.65,115.5,1149868
41,ok,2007-05-02,116.5,120.35,115.0,116.15,955879
42,ok,2007-05-03,117.2,120.6,115.0,116.0,1251131
43,ok,2007-05-06,116.9,118.8,115.1,115.75,523983
44,ok,2007-05-07,116.6,117.75,115.9,117.05,824891
45,ok,2007-05-08,118.0,127.5,116.15,126.1,1843893
46,ok,2007-05-09,127.7,129.75,120.85,122.55,1936720
47,ok,2007-05-10,120.0,128.0,118.1,125.85,1450405
48,ok,2007-05-13,129.65,132.4,127.0,128.7,2261351
49,ok,2007-05-14,129.0,129.7,125.1,126.15,714790
50,ok,2007-05-15,124.5,129.9,124.5,129.2,1017457
51,ok,2007-05-16,135.0,135.0,127.5,130.5,1408555
52,ok,2007-05-17,130.8,132.5,127.5,128.25,842089
53,ok,2007-05-20,129.0,130.5,126.8,128.95,492382
54,ok,2007-05-21,129.2,132.5,127.15,130.3,887502
55,ok,2007-05-22,131.8,131.8,128.0,128.8,586081
56,ok,2007-05-23,128.5,129.9,123.0,125.5,1226768
57,ok,2007-05-24,124.5,129.6,118.35,129.05,867541
58,ok,2007-05-27,129.25,129.25,125.5,125.95,317047
59,ok,2007-05-28,126.0,130.9,126.0,128.4,1447732
60,ok,2007-05-29,134.9,134.9,127.0,127.85,1100665
61,ok,2007-05-30,128.5,130.25,127.0,127.65,323902
62,ok,2007-05-31,129.05,130.0,127.55,128.45,202051
63,ok,2007-06-03,128.45,129.9,124.1,125.25,395405
64,ok,2007-06-04,125.0,128.0,123.25,126.25,654920
65,ok,2007-06-05,126.3,127.85,122.85,123.85,269679
66,ok,2007-06-06,123.85,126.0,119.4,120.75,573210
67,ok,2007-06-07,120.75,122.85,118.15,121.0,336855
68,ok,2007-06-10,122.0,124.9,121.0,121.0,130645
69,ok,2007-06-11,122.0,122.0,114.8,116.3,368623
70,ok,2007-06-12,116.3,118.85,116.0,116.55,77252
71,ok,2007-06-13,117.1,121.9,116.6,120.9,299012
72,ok,2007-06-14,118.9,124.0,117.0,119.85,409626
73,ok,2007-06-17,120.95,121.7,116.5,116.85,167885
74,ok,2007-06-18,117.0,122.5,116.15,121.65,208041
75,ok,2007-06-19,122.5,125.5,120.05,124.2,320063
76,ok,2007-06-20,126.7,127.0,122.1,123.4,250692
77,ok,2007-06-21,122.3,124.9,122.1,122.8,195360
78,ok,2007-06-24,122.9,122.9,120.55,121.65,79632
79,ok,2007-06-25,121.1,126.4,120.0,120.5,76682
80,ok,2007-06-26,122.4,125.6,121.35,123.0,353276
81,ok,2007-06-27,123.15,126.5,121.2,125.4,1028783
82,ok,2007-06-28,127.05,130.0,126.0,127.7,804515
83,ok,2007-07-01,127.95,129.7,127.05,128.4,322491
