,s,t,o,h,l,c,v
0,ok,2022-03-28,132.6,150.0,132.6,147.9,147455
1,ok,2022-03-29,150.0,159.0,147.0,149.15,98454
2,ok,2022-03-30,149.0,151.7,142.35,143.4,30879
3,ok,2022-03-31,144.0,158.05,144.0,153.9,140132
4,ok,2022-04-03,156.75,184.65,154.9,162.95,130435
5,ok,2022-04-04,164.8,177.0,163.0,174.0,165040
6,ok,2022-04-05,175.9,177.0,165.0,166.9,74485
7,ok,2022-04-06,166.6,171.2,162.0,164.75,72338
8,ok,2022-04-07,166.8,166.8,158.1,160.35,53370
9,ok,2022-04-10,164.0,166.75,160.35,162.4,43385
10,ok,2022-04-11,161.4,164.2,155.25,160.5,27422
11,ok,2022-04-12,164.95,165.9,155.3,160.8,30275
12,ok,2022-04-17,163.95,163.95,154.5,155.95,27763
13,ok,2022-04-18,160.0,160.0,153.7,155.3,44491
14,ok,2022-04-19,159.0,161.0,150.0,154.15,43091
15,ok,2022-04-20,151.3,158.4,151.0,154.95,23998
16,ok,2022-04-21,152.5,165.0,152.5,158.1,60231
17,ok,2022-04-24,158.4,158.4,152.0,152.65,22673
18,ok,2022-04-25,153.5,156.05,152.0,152.7,17036
19,ok,2022-04-26,155.75,155.75,142.3,144.05,29765
20,ok,2022-04-27,145.0,161.35,145.0,156.15,98241
21,ok,2022-04-28,158.7,158.75,150.85,153.4,24933
22,ok,2022-05-01,145.6,151.55,142.55,150.45,26649
23,ok,2022-05-03,154.0,160.0,140.1,142.3,36809
24,ok,2022-05-04,149.0,149.0,143.4,144.45,12425
25,ok,2022-05-05,143.5,144.5,122.3,136.1,34347
26,ok,2022-05-08,141.0,141.0,129.0,133.0,19132
27,ok,2022-05-09,130.15,139.9,115.7,125.05,42593
28,ok,2022-05-10,125.0,131.8,119.05,127.85,47473
29,ok,2022-05-11,126.9,134.7,122.85,131.2,28534
30,ok,2022-05-12,131.2,137.0,131.05,133.55,18873
31,ok,2022-05-15,135.4,135.4,130.05,133.35,12162
32,ok,2022-05-16,135.2,137.0,132.1,134.3,26944
33,ok,2022-05-17,136.9,144.65,128.5,135.35,27218
34,ok,2022-05-18,132.0,132.8,127.45,131.2,33078
35,ok,2022-05-19,136.0,136.0,130.6,131.65,11724
36,ok,2022-05-22,145.7,145.7,130.0,133.6,19233
37,ok,2022-05-23,137.9,142.05,132.8,139.2,33255
38,ok,2022-05-24,141.9,141.9,131.0,136.0,15911
39,ok,2022-05-25,139.0,139.0,127.85,132.6,11442
40,ok,2022-05-26,132.65,135.1,131.25,132.95,9134
41,ok,2022-05-29,139.9,139.9,131.0,132.6,21190
42,ok,2022-05-30,136.0,136.0,109.5,110.6,453044
43,ok,2022-05-31,112.75,114.55,109.0,109.95,169886
44,ok,2022-06-01,111.85,118.8,111.0,117.0,93898
45,ok,2022-06-02,118.25,118.45,110.1,111.85,63224
46,ok,2022-06-05,113.9,113.95,110.1,111.2,30565
47,ok,2022-06-06,113.7,113.7,110.2,111.4,34505
48,ok,2022-06-07,112.95,114.15,110.5,111.1,21198
49,ok,2022-06-08,113.5,113.5,109.05,110.6,27416
50,ok,2022-06-09,112.4,112.4,109.0,110.65,22069
51,ok,2022-06-12,114.7,114.7,100.25,108.75,22866
52,ok,2022-06-13,105.0,112.4,105.0,109.75,13997
53,ok,2022-06-14,112.0,114.25,107.0,107.85,19767
54,ok,2022-06-15,110.9,111.0,102.55,104.05,20348
55,ok,2022-06-16,106.7,111.0,101.45,105.0,23940
56,ok,2022-06-19,105.0,105.0,95.1,96.8,28027
57,ok,2022-06-20,95.1,103.0,95.1,101.25,15429
58,ok,2022-06-21,101.9,107.0,95.55,104.4,14093
59,ok,2022-06-22,106.45,109.0,101.0,102.35,19074
60,ok,2022-06-23,104.4,107.25,102.0,104.15,15156
61,ok,2022-06-26,109.95,109.95,105.5,107.65,14962
62,ok,2022-06-27,107.65,112.0,102.3,111.65,22431
63,ok,2022-06-28,107.0,114.7,107.0,113.45,18000
64,ok,2022-06-29,111.75,113.9,104.0,106.0,22179
65,ok,2022-06-30,107.95,108.95,103.4,104.85,24739
66,ok,2022-07-03,108.7,112.9,105.7,109.5,40768
67,ok,2022-07-04,111.5,113.0,105.35,108.5,30033
68,ok,2022-07-05,110.7,111.85,108.05,110.15,11773
69,ok,2022-07-06,113.45,113.45,108.0,110.35,17232
70,ok,2022-07-07,112.9,112.9,109.0,109.85,11041
71,ok,2022-07-10,108.1,112.75,108.0,111.0,16865
72,ok,2022-07-11,112.4,113.7,109.35,110.05,19002
73,ok,2022-07-12,113.4,113.4,109.85,110.35,18085
74,ok,2022-07-13,110.65,112.05,109.0,109.9,9171
75,ok,2022-07-14,109.1,112.0,109.1,110.25,8740
76,ok,2022-07-17,112.0,114.7,111.0,112.95,26148
77,ok,2022-07-18,114.65,116.9,111.0,115.45,20375
78,ok,2022-07-19,117.0,129.0,116.35,126.1,219937
79,ok,2022-07-20,126.95,130.0,121.0,125.95,89921
80,ok,2022-07-21,124.55,134.2,124.55,128.2,123232
81,ok,2022-07-24,130.15,130.8,124.2,125.05,43511
82,ok,2022-07-25,126.8,126.8,116.8,118.25,34190
83,ok,2022-07-26,121.8,124.45,112.0,121.15,53637
84,ok,2022-07-27,121.0,128.9,119.5,125.65,88453
85,ok,2022-07-28,128.3,129.9,125.25,126.2,49344
86,ok,2022-07-31,126.2,127.65,124.0,125.15,45021
87,ok,2022-08-01,124.0,127.8,123.05,125.65,29745
88,ok,2022-08-02,125.0,127.5,121.85,122.55,29257
89,ok,2022-08-03,124.9,126.0,119.65,124.35,57234
90,ok,2022-08-04,122.25,125.7,122.25,124.2,14904
91,ok,2022-08-07,126.5,126.5,122.3,122.75,13934
92,ok,2022-08-09,122.0,126.9,120.0,122.45,46726
93,ok,2022-08-10,123.0,125.0,122.35,123.9,21773
94,ok,2022-08-11,123.9,141.95,123.9,138.55,779470
95,ok,2022-08-15,144.9,144.9,138.45,141.15,136180
96,ok,2022-08-16,147.75,147.75,138.7,140.45,108076
97,ok,2022-08-17,139.9,139.9,135.2,136.2,52130
98,ok,2022-08-18,139.7,139.7,132.25,134.65,61859
99,ok,2022-08-21,136.0,136.0,131.25,133.35,40300
100,ok,2022-08-22,132.9,138.0,130.1,135.15,39594
101,ok,2022-08-23,136.4,138.25,133.5,134.2,35890
102,ok,2022-08-24,136.9,139.75,135.05,135.45,47708
103,ok,2022-08-25,136.65,155.0,136.65,144.65,414442
104,ok,2022-08-28,140.05,149.45,138.25,141.85,118521
105,ok,2022-08-29,143.0,146.5,140.05,142.85,90832
106,ok,2022-08-31,142.1,144.9,140.05,141.7,38954
107,ok,2022-09-01,144.55,144.65,140.0,140.6,36985
108,ok,2022-09-04,140.45,140.45,131.4,133.85,172253
109,ok,2022-09-05,134.0,136.45,132.15,132.9,47397
110,ok,2022-09-06,134.8,143.25,133.25,139.85,111377
111,ok,2022-09-07,142.0,142.4,134.2,135.5,85725
112,ok,2022-09-08,135.6,139.2,135.4,135.9,46128
113,ok,2022-09-11,135.6,139.55,135.6,138.2,46559
114,ok,2022-09-12,137.3,140.65,136.0,137.7,29209
115,ok,2022-09-13,135.0,145.8,133.55,141.8,123140
116,ok,2022-09-14,144.5,145.75,139.0,139.65,34198
117,ok,2022-09-15,144.0,150.5,138.05,141.0,280114
118,ok,2022-09-18,141.5,145.0,141.0,142.6,99925
119,ok,2022-09-19,144.5,149.5,142.25,143.85,147678
120,ok,2022-09-20,143.5,143.5,136.35,138.15,74495
121,ok,2022-09-21,139.0,141.0,136.7,138.7,32392
122,ok,2022-09-22,141.0,141.0,132.85,134.85,42998
123,ok,2022-09-25,134.85,134.85,125.2,126.6,63210
124,ok,2022-09-26,128.0,131.95,125.15,125.85,41944
125,ok,2022-09-27,127.0,129.7,124.3,125.05,29109
126,ok,2022-09-28,128.0,134.9,126.45,128.35,27059
127,ok,2022-09-29,125.3,131.4,125.3,127.6,32816
128,ok,2022-10-02,129.9,130.0,127.3,128.35,17681
129,ok,2022-10-03,130.8,132.45,129.1,130.3,36340
