,s,t,o,h,l,c,v
0,ok,2018-05-20,600.0,606.8,579.1,586.1,16614188
1,ok,2018-05-21,585.8,597.8,580.65,595.6,1568501
2,ok,2018-05-22,596.0,605.0,593.3,603.6,1489463
3,ok,2018-05-23,603.0,607.8,585.05,589.8,461588
4,ok,2018-05-24,586.55,592.85,582.15,588.3,164099
5,ok,2018-05-27,588.3,591.0,584.2,587.15,152266
6,ok,2018-05-28,584.9,587.45,581.0,584.8,214823
7,ok,2018-05-29,584.8,589.0,572.3,582.15,161239
8,ok,2018-05-30,585.0,597.9,581.7,590.1,369402
9,ok,2018-05-31,585.1,590.0,582.5,587.15,127900
10,ok,2018-06-03,584.0,587.9,580.0,584.5,146430
11,ok,2018-06-04,576.0,579.1,568.25,572.15,406120
12,ok,2018-06-05,570.0,579.9,561.0,570.65,64585
13,ok,2018-06-06,570.0,574.9,565.0,566.45,162542
14,ok,2018-06-07,561.05,565.8,561.05,563.0,61224
15,ok,2018-06-10,560.2,568.6,559.0,559.95,71839
16,ok,2018-06-11,558.5,561.95,555.0,555.95,135782
17,ok,2018-06-12,553.05,572.05,552.0,555.05,75077
18,ok,2018-06-13,555.0,563.0,553.5,559.9,68006
19,ok,2018-06-14,562.0,567.0,548.4,557.7,124746
20,ok,2018-06-17,562.45,572.0,557.1,564.5,739283
21,ok,2018-06-18,569.9,574.5,562.7,566.5,355921
22,ok,2018-06-19,567.0,568.45,556.5,561.0,42393
23,ok,2018-06-20,562.0,565.55,555.1,562.55,49250
24,ok,2018-06-21,560.15,561.9,551.0,553.0,48001
25,ok,2018-06-24,558.95,558.95,530.2,532.95,290974
26,ok,2018-06-25,530.0,534.0,511.1,520.6,81418
27,ok,2018-06-26,528.65,533.0,502.55,507.1,44410
28,ok,2018-06-27,503.0,519.6,496.3,510.5,134056
29,ok,2018-06-28,516.0,526.5,510.0,520.7,141955
30,ok,2018-07-01,520.7,524.4,504.15,506.15,60487
31,ok,2018-07-02,505.2,533.0,503.25,525.45,76999
32,ok,2018-07-03,528.95,535.3,521.4,527.7,154727
33,ok,2018-07-04,530.0,536.95,511.8,516.05,255236
34,ok,2018-07-05,513.0,524.45,509.0,515.65,52008
35,ok,2018-07-08,524.45,524.45,511.05,514.75,25867
36,ok,2018-07-09,512.1,521.5,512.1,515.95,167106
37,ok,2018-07-10,515.2,519.6,506.7,511.15,31055
38,ok,2018-07-11,513.3,514.85,498.95,501.85,63544
39,ok,2018-07-12,501.8,508.35,486.4,488.25,42780
40,ok,2018-07-15,494.0,494.0,471.4,489.0,69096
41,ok,2018-07-16,497.95,503.25,482.75,488.8,174862
42,ok,2018-07-17,494.45,494.5,475.1,480.8,136741
43,ok,2018-07-18,486.0,487.05,466.35,470.3,51679
44,ok,2018-07-19,470.0,473.9,432.9,447.55,282236
45,ok,2018-07-22,460.0,460.0,444.55,445.7,297295
46,ok,2018-07-23,442.2,450.0,442.2,445.75,42785
47,ok,2018-07-24,446.2,464.95,445.0,460.4,98048
48,ok,2018-07-25,464.0,464.8,452.3,458.4,33345
49,ok,2018-07-26,455.0,471.4,455.0,468.9,31366
50,ok,2018-07-29,474.0,487.0,470.0,483.4,205724
51,ok,2018-07-30,494.0,494.0,478.0,481.35,30098
52,ok,2018-07-31,485.9,493.95,478.5,486.5,56886
53,ok,2018-08-01,486.25,490.45,476.1,481.25,54719
54,ok,2018-08-02,489.8,489.8,476.4,482.35,73304
55,ok,2018-08-05,482.35,486.8,477.0,479.75,61685
56,ok,2018-08-06,475.1,490.0,475.1,486.9,42559
57,ok,2018-08-07,488.0,505.0,482.0,500.5,123633
58,ok,2018-08-08,505.0,505.0,496.25,500.7,27794
59,ok,2018-08-09,504.9,506.85,497.0,500.7,30256
60,ok,2018-08-12,482.55,487.35,471.5,480.05,279031
61,ok,2018-08-13,490.0,498.95,475.25,480.1,148161
62,ok,2018-08-15,483.25,489.95,480.0,484.5,46364
63,ok,2018-08-16,489.0,489.0,474.6,478.85,29781
64,ok,2018-08-19,479.0,489.55,476.4,481.25,215997
65,ok,2018-08-20,487.0,495.0,470.8,474.45,191207
66,ok,2018-08-22,475.0,475.0,462.6,464.4,12216
67,ok,2018-08-23,466.0,468.3,442.1,447.15,203620
68,ok,2018-08-26,447.0,449.25,440.15,441.2,23281
69,ok,2018-08-27,441.0,445.0,435.0,436.0,30315
70,ok,2018-08-28,439.9,440.0,433.0,436.25,159443
71,ok,2018-08-29,436.25,453.4,434.0,447.35,106332
72,ok,2018-08-30,450.0,469.4,447.05,459.55,93656
73,ok,2018-09-02,465.0,480.0,451.25,453.8,55234
74,ok,2018-09-03,457.45,465.9,451.0,452.5,13748
75,ok,2018-09-04,460.5,460.5,438.0,439.95,81358
76,ok,2018-09-05,443.5,449.95,441.0,444.8,12460
77,ok,2018-09-06,448.3,452.25,444.0,445.05,11560
78,ok,2018-09-09,450.0,450.0,440.0,441.3,18182
79,ok,2018-09-10,449.0,449.0,435.0,437.65,161232
80,ok,2018-09-11,436.75,441.7,424.0,427.95,223756
81,ok,2018-09-13,436.95,436.95,424.15,425.7,72526
82,ok,2018-09-16,426.9,440.0,425.0,434.5,213396
83,ok,2018-09-17,439.8,439.8,423.0,425.65,100212
84,ok,2018-09-18,431.0,431.0,400.75,411.05,103666
85,ok,2018-09-20,412.0,412.5,387.0,396.55,262686
86,ok,2018-09-23,404.9,404.9,350.05,366.3,376403
87,ok,2018-09-24,370.5,374.35,346.0,351.25,822913
88,ok,2018-09-25,359.5,359.95,348.2,351.35,502522
89,ok,2018-09-26,353.9,356.5,325.0,345.7,169228
90,ok,2018-09-27,353.0,353.0,314.05,319.05,248653
91,ok,2018-09-30,315.35,317.45,290.1,300.55,232978
92,ok,2018-10-02,303.9,313.0,295.4,303.8,513124
93,ok,2018-10-03,299.5,303.7,284.3,289.4,229693
94,ok,2018-10-04,296.2,310.0,288.9,300.1,189560
95,ok,2018-10-07,300.0,304.8,278.15,282.05,71663
96,ok,2018-10-08,284.3,289.1,279.65,284.95,182504
97,ok,2018-10-09,292.0,292.0,280.0,286.2,130497
98,ok,2018-10-10,280.0,302.0,275.8,295.2,251982
99,ok,2018-10-11,300.8,307.25,293.0,301.35,232603
100,ok,2018-10-14,304.0,305.0,297.05,300.1,15808
101,ok,2018-10-15,305.0,319.95,301.3,310.9,26451
102,ok,2018-10-16,313.9,324.0,306.0,308.95,28334
103,ok,2018-10-18,305.0,309.0,291.0,297.65,44852
104,ok,2018-10-21,300.0,301.8,277.25,284.85,31009
105,ok,2018-10-22,284.95,287.9,279.0,283.6,7336
106,ok,2018-10-23,287.0,288.6,278.35,282.6,11404
107,ok,2018-10-24,282.6,290.0,276.5,286.9,12463
108,ok,2018-10-25,287.8,290.05,280.0,281.5,9224
109,ok,2018-10-28,285.0,285.0,281.1,282.55,7138
110,ok,2018-10-29,283.5,298.4,283.1,294.65,10547
111,ok,2018-10-30,295.3,306.5,290.05,301.65,28864
112,ok,2018-10-31,305.0,310.0,292.45,298.05,179463
113,ok,2018-11-01,300.0,305.0,298.0,300.0,80141
114,ok,2018-11-04,300.0,305.0,294.5,301.2,14874
115,ok,2018-11-05,302.05,305.0,297.7,302.65,17002
116,ok,2018-11-06,309.9,329.9,305.0,311.25,11220
117,ok,2018-11-08,319.45,339.0,311.35,327.95,76823
118,ok,2018-11-11,330.6,357.5,330.55,341.7,39253
119,ok,2018-11-12,341.7,347.85,338.05,344.95,16359
120,ok,2018-11-13,347.5,352.8,344.05,348.8,18517
121,ok,2018-11-14,345.6,349.95,325.5,330.05,21690
122,ok,2018-11-15,333.0,345.0,328.65,343.35,442368
123,ok,2018-11-18,345.0,355.0,335.15,351.4,72674
124,ok,2018-11-19,348.5,367.0,345.25,362.7,28878
125,ok,2018-11-20,364.2,374.0,360.2,364.6,31456
126,ok,2018-11-21,368.65,370.0,350.0,352.25,15433
127,ok,2018-11-25,355.05,361.45,343.5,346.2,9270
128,ok,2018-11-26,348.9,348.9,331.25,335.4,5915
129,ok,2018-11-27,339.0,364.75,324.3,347.45,27265
130,ok,2018-11-28,350.0,358.95,342.15,349.9,151814
131,ok,2018-11-29,350.0,357.7,340.15,343.2,33924
132,ok,2018-12-02,343.05,351.0,338.05,340.95,25051
133,ok,2018-12-03,340.95,340.95,336.9,338.3,14506
134,ok,2018-12-04,335.0,340.75,328.0,329.7,23202
135,ok,2018-12-05,337.0,337.0,325.0,326.65,13676
136,ok,2018-12-06,332.0,332.8,317.65,320.55,42584
137,ok,2018-12-09,320.0,322.7,314.0,316.05,5997
138,ok,2018-12-10,314.1,320.5,310.05,318.9,10176
139,ok,2018-12-11,320.05,330.0,320.05,328.95,6861
140,ok,2018-12-12,329.25,334.05,328.0,333.0,13176
141,ok,2018-12-13,333.0,333.0,326.45,328.4,5337
142,ok,2018-12-16,327.15,335.05,318.15,321.95,117299
143,ok,2018-12-17,323.0,325.55,319.0,321.45,155699
144,ok,2018-12-18,322.0,338.0,320.6,334.3,48712
145,ok,2018-12-19,334.95,347.9,332.0,340.55,70657
146,ok,2018-12-20,342.05,344.95,336.15,338.7,80706
147,ok,2018-12-23,341.0,342.0,307.1,309.45,172826
148,ok,2018-12-25,314.4,354.9,307.0,341.0,344943
149,ok,2018-12-26,342.7,359.0,330.2,347.45,68637
150,ok,2018-12-27,350.0,351.95,341.55,349.95,23772
151,ok,2018-12-30,352.8,353.75,344.2,346.7,45152
152,ok,2018-12-31,350.85,350.85,341.0,346.8,3619
153,ok,2019-01-01,350.0,365.0,340.0,343.3,50884
154,ok,2019-01-02,345.9,348.0,335.0,342.4,115669
155,ok,2019-01-03,342.4,342.4,332.0,335.95,11702
156,ok,2019-01-06,336.05,344.0,336.05,340.05,70136
157,ok,2019-01-07,338.05,349.0,338.0,346.45,41394
158,ok,2019-01-08,349.0,356.8,342.2,353.3,30838
159,ok,2019-01-09,353.85,357.4,347.9,356.1,17991
160,ok,2019-01-10,358.95,358.95,350.6,354.6,13062
161,ok,2019-01-13,352.7,360.0,348.9,355.5,41759
162,ok,2019-01-14,352.25,354.9,347.0,350.7,17886
163,ok,2019-01-15,349.15,351.9,347.1,348.95,4696
164,ok,2019-01-16,350.5,351.8,345.3,349.8,7860
165,ok,2019-01-17,346.95,349.15,346.8,347.0,9970
166,ok,2019-01-20,355.0,355.0,335.35,338.7,21013
