,s,t,o,h,l,c,v
0,ok,2006-03-15,135.0,248.0,135.0,239.1,16480728
1,ok,2006-03-16,239.9,242.4,209.7,212.25,2935517
2,ok,2006-03-19,214.4,235.9,207.25,230.5,5008531
3,ok,2006-03-20,230.15,251.8,220.6,225.45,5090480
4,ok,2006-03-21,227.0,233.8,221.25,225.05,1792396
5,ok,2006-03-22,226.0,235.45,224.0,225.95,1157431
6,ok,2006-03-23,225.0,229.9,217.5,220.7,486354
7,ok,2006-03-26,222.6,224.5,215.05,216.45,327141
8,ok,2006-03-27,217.0,217.0,200.0,202.95,217652
9,ok,2006-03-28,203.7,221.4,203.7,215.9,540790
10,ok,2006-03-29,216.8,227.8,212.3,217.6,523568
11,ok,2006-03-30,218.0,222.4,215.0,215.85,145892
12,ok,2006-04-02,218.3,220.0,214.25,215.4,140754
13,ok,2006-04-03,218.4,224.45,212.0,218.7,181068
14,ok,2006-04-04,219.0,222.7,216.05,220.55,139699
15,ok,2006-04-06,218.0,222.9,210.1,212.75,97641
16,ok,2006-04-09,212.5,214.65,207.0,208.9,60423
17,ok,2006-04-11,211.4,214.45,199.0,201.8,89445
18,ok,2006-04-12,203.0,205.0,187.95,191.05,85306
19,ok,2006-04-16,193.4,204.2,193.4,201.75,123488
20,ok,2006-04-17,204.4,212.0,203.0,208.4,112385
21,ok,2006-04-18,212.4,214.9,195.0,200.15,175728
22,ok,2006-04-19,210.0,214.0,202.5,208.7,159111
23,ok,2006-04-20,210.0,211.45,202.0,203.4,53856
24,ok,2006-04-23,205.1,244.1,204.0,244.1,718732
25,ok,2006-04-24,250.0,254.0,216.65,218.4,546594
26,ok,2006-04-25,222.0,232.5,215.4,221.9,367813
27,ok,2006-04-26,223.2,230.8,217.1,219.45,166386
28,ok,2006-04-27,218.0,218.0,192.3,213.05,86810
29,ok,2006-04-28,216.75,222.95,212.25,218.3,35134
30,ok,2006-05-01,223.0,224.2,216.8,217.5,45125
31,ok,2006-05-02,220.4,222.0,212.05,214.45,44300
32,ok,2006-05-03,216.65,229.0,214.4,220.8,116609
33,ok,2006-05-04,220.0,223.7,219.2,220.05,50709
34,ok,2006-05-07,223.0,240.0,221.05,227.95,174968
35,ok,2006-05-08,232.0,235.0,226.05,228.6,68065
36,ok,2006-05-09,229.0,233.0,221.25,226.8,47531
37,ok,2006-05-10,228.0,228.0,218.1,220.8,30621
38,ok,2006-05-11,218.1,232.85,217.0,229.8,120602
39,ok,2006-05-14,226.1,242.0,220.0,225.0,161213
40,ok,2006-05-15,225.2,233.0,207.0,222.25,61060
41,ok,2006-05-16,225.6,229.0,223.0,224.7,30732
42,ok,2006-05-17,226.0,226.0,209.05,211.4,45211
43,ok,2006-05-18,218.0,218.0,203.0,207.5,47140
44,ok,2006-05-21,212.0,212.0,166.0,187.9,34096
45,ok,2006-05-22,182.0,196.0,177.0,191.65,23254
46,ok,2006-05-23,207.9,207.9,193.25,201.85,22075
47,ok,2006-05-24,198.0,201.1,191.0,194.45,18535
48,ok,2006-05-25,198.0,203.9,195.5,200.85,14336
49,ok,2006-05-28,204.0,212.9,200.1,203.55,29155
50,ok,2006-05-29,208.8,211.9,202.0,209.35,35754
51,ok,2006-05-30,195.05,205.9,186.25,194.3,29755
52,ok,2006-05-31,202.85,204.7,188.0,190.0,17053
53,ok,2006-06-01,185.1,186.0,172.1,179.5,22790
54,ok,2006-06-04,184.8,188.5,173.0,176.05,23156
55,ok,2006-06-05,175.0,176.0,165.0,166.65,14414
56,ok,2006-06-06,164.65,170.0,137.6,145.8,38490
57,ok,2006-06-07,136.45,142.0,118.1,127.1,27245
58,ok,2006-06-08,121.0,143.0,121.0,136.9,25557
59,ok,2006-06-11,130.0,145.0,126.0,140.2,12821
60,ok,2006-06-12,130.0,134.0,125.5,126.5,9706
61,ok,2006-06-13,129.0,136.0,124.0,126.2,11665
62,ok,2006-06-14,128.5,132.0,128.5,130.6,15969
63,ok,2006-06-15,136.5,146.95,136.5,139.8,17683
64,ok,2006-06-18,126.5,147.0,126.5,145.05,8559
65,ok,2006-06-19,143.0,166.85,139.1,155.1,17962
66,ok,2006-06-20,147.95,165.5,147.95,158.65,12802
67,ok,2006-06-21,162.85,168.0,162.85,166.1,10886
68,ok,2006-06-22,168.0,168.0,153.2,165.2,6478
69,ok,2006-06-24,164.8,168.0,162.0,165.35,1571
70,ok,2006-06-25,161.0,164.0,150.05,151.4,4987
71,ok,2006-06-26,145.0,156.5,140.0,145.05,8092
72,ok,2006-06-27,144.0,152.85,141.65,144.9,7940
73,ok,2006-06-28,150.05,154.9,148.05,149.25,3034
74,ok,2006-06-29,163.85,163.85,150.0,158.5,8627
75,ok,2006-07-02,159.0,163.0,156.35,161.25,6194
76,ok,2006-07-03,162.0,163.0,155.0,156.05,5967
77,ok,2006-07-04,155.0,162.0,150.1,160.25,7259
