,s,t,o,h,l,c,v
0,ok,2011-11-01,76.0,98.9,18.85,23.15,49399207
1,ok,2011-11-02,21.15,23.0,18.55,20.9,6966688
2,ok,2011-11-03,22.65,22.9,21.0,22.15,2363545
3,ok,2011-11-07,21.75,22.4,21.0,21.25,627411
4,ok,2011-11-08,21.25,21.4,18.9,19.2,692360
5,ok,2011-11-10,19.1,19.2,16.3,16.7,624650
6,ok,2011-11-13,17.0,17.0,14.0,14.75,477879
7,ok,2011-11-14,14.25,14.45,13.4,13.6,306571
8,ok,2011-11-15,14.0,14.0,13.1,13.45,208456
9,ok,2011-11-16,13.15,13.75,12.25,12.4,256837
10,ok,2011-11-17,11.55,13.5,11.55,13.3,320061
11,ok,2011-11-20,12.75,13.3,12.2,12.3,86276
12,ok,2011-11-21,12.0,12.3,11.95,12.0,86799
13,ok,2011-11-22,12.0,12.0,11.55,11.7,88986
14,ok,2011-11-23,11.5,12.05,10.9,11.75,83289
15,ok,2011-11-24,10.6,12.2,10.6,11.65,58762
16,ok,2011-11-27,11.7,12.4,11.55,11.9,53184
17,ok,2011-11-28,12.8,12.8,11.75,11.9,28023
18,ok,2011-11-29,11.45,11.85,11.45,11.6,35547
19,ok,2011-11-30,11.75,11.95,10.6,11.35,210012
20,ok,2011-12-01,11.6,11.6,11.05,11.25,30035
21,ok,2011-12-04,10.8,11.45,10.8,11.4,45892
22,ok,2011-12-06,11.4,11.55,11.0,11.2,33929
23,ok,2011-12-07,11.05,11.45,11.0,11.05,78819
24,ok,2011-12-08,10.8,11.3,10.75,11.2,61437
25,ok,2011-12-11,11.25,11.25,10.9,11.0,95672
26,ok,2011-12-12,10.2,11.35,10.2,11.05,36712
27,ok,2011-12-13,10.5,11.1,10.5,10.9,46183
28,ok,2011-12-14,10.6,11.2,10.2,10.75,68052
29,ok,2011-12-15,11.3,11.6,10.75,10.75,37298
30,ok,2011-12-18,10.5,11.2,10.5,10.6,33915
31,ok,2011-12-19,10.6,10.85,10.5,10.6,41321
32,ok,2011-12-20,10.65,10.95,10.5,10.8,35110
33,ok,2011-12-21,10.6,11.15,10.6,10.9,22550
34,ok,2011-12-22,10.9,11.0,10.65,10.85,13829
35,ok,2011-12-25,10.6,11.1,10.6,10.85,53141
36,ok,2011-12-26,10.65,10.95,10.65,10.75,13241
37,ok,2011-12-27,10.65,10.9,10.55,10.65,44462
38,ok,2011-12-28,9.7,10.6,9.7,10.35,23100
39,ok,2011-12-29,10.35,10.7,10.1,10.45,59098
40,ok,2012-01-01,10.65,10.65,10.3,10.5,18466
41,ok,2012-01-02,10.1,10.75,10.1,10.55,14133
42,ok,2012-01-03,10.3,10.65,10.25,10.4,6625
43,ok,2012-01-04,10.3,10.65,10.25,10.5,35205
44,ok,2012-01-05,10.3,10.8,10.25,10.5,19451
45,ok,2012-01-06,11.0,11.15,10.4,10.85,26171
46,ok,2012-01-08,11.2,11.5,10.0,10.75,16021
47,ok,2012-01-09,10.95,11.3,10.55,11.0,38082
48,ok,2012-01-10,11.0,11.35,10.8,11.3,24195
49,ok,2012-01-11,11.0,11.5,11.0,11.4,10095
50,ok,2012-01-12,11.05,11.8,11.0,11.6,31794
51,ok,2012-01-15,9.55,13.0,9.55,11.85,8406
52,ok,2012-01-16,11.5,12.0,11.5,11.75,17899
53,ok,2012-01-17,11.6,12.25,11.6,12.0,22813
54,ok,2012-01-18,12.5,13.0,11.8,12.9,52330
55,ok,2012-01-19,13.5,13.5,12.55,12.85,49239
56,ok,2012-01-22,13.0,15.3,12.8,12.95,60706
57,ok,2012-01-23,12.8,13.5,12.6,12.7,24479
58,ok,2012-01-24,13.15,13.15,12.55,12.6,16806
59,ok,2012-01-26,12.7,13.0,12.6,12.8,14963
60,ok,2012-01-29,12.75,13.2,12.6,12.85,62036
61,ok,2012-01-30,12.7,13.1,12.25,12.95,14180
62,ok,2012-01-31,12.95,13.1,12.5,13.0,18143
63,ok,2012-02-01,12.75,13.15,12.65,12.8,20642
64,ok,2012-02-02,13.0,13.05,12.6,12.8,17990
65,ok,2012-02-05,12.8,13.15,12.65,12.95,28774
66,ok,2012-02-06,12.7,12.95,12.15,12.55,23371
67,ok,2012-02-07,12.5,13.1,12.4,12.55,18186
68,ok,2012-02-08,12.35,13.0,12.35,12.9,20249
69,ok,2012-02-09,12.95,13.2,12.7,12.9,37334
70,ok,2012-02-12,12.8,13.45,12.5,13.05,34123
71,ok,2012-02-13,13.1,14.3,12.8,13.85,122461
72,ok,2012-02-14,13.9,14.75,13.35,14.35,73816
73,ok,2012-02-15,14.5,14.8,13.8,13.85,62612
74,ok,2012-02-16,14.55,14.55,13.75,13.85,28812
75,ok,2012-02-20,14.3,14.3,13.55,13.6,20617
76,ok,2012-02-21,13.7,14.1,12.7,12.85,34872
77,ok,2012-02-22,13.0,13.0,12.35,12.5,15707
78,ok,2012-02-23,12.7,12.9,12.35,12.35,15008
79,ok,2012-02-26,12.2,12.35,12.0,12.05,19108
80,ok,2012-02-27,12.0,12.45,11.9,12.2,15785
81,ok,2012-02-28,12.15,12.3,12.0,12.1,25203
82,ok,2012-02-29,12.1,12.35,12.0,12.2,9847
83,ok,2012-03-01,12.55,12.55,12.0,12.15,4372
84,ok,2012-03-02,12.55,12.6,12.0,12.05,1025
85,ok,2012-03-04,12.0,12.45,12.0,12.15,8606
