,s,t,o,h,l,c,v
0,ok,2007-09-13,75.0,124.0,58.95,113.65,48415594
1,ok,2007-09-16,120.0,135.0,120.0,130.55,14840899
2,ok,2007-09-17,133.0,144.0,128.0,136.6,12035220
3,ok,2007-09-18,142.0,147.5,135.35,138.3,8580431
4,ok,2007-09-19,138.0,139.3,125.0,127.95,3272732
5,ok,2007-09-20,127.0,128.25,120.8,121.75,1557971
6,ok,2007-09-23,124.0,131.95,122.0,127.55,1804665
7,ok,2007-09-24,127.8,127.8,121.1,122.2,374188
8,ok,2007-09-25,124.0,124.0,112.25,113.7,482844
9,ok,2007-09-26,114.25,116.4,111.0,112.8,481067
10,ok,2007-09-27,113.3,120.0,102.1,114.95,1247954
11,ok,2007-09-30,119.9,134.0,116.0,125.1,1957538
12,ok,2007-10-02,126.0,136.4,124.0,131.1,1578820
13,ok,2007-10-03,129.4,149.0,127.0,142.7,3652045
14,ok,2007-10-04,148.7,156.0,140.25,145.85,2124910
15,ok,2007-10-07,149.0,149.9,133.1,135.85,793780
16,ok,2007-10-08,130.0,147.0,126.1,145.05,1376605
17,ok,2007-10-09,146.0,173.0,146.0,157.65,2823198
18,ok,2007-10-10,163.4,179.0,159.0,170.1,1663932
19,ok,2007-10-11,169.9,185.0,166.8,169.3,1182842
20,ok,2007-10-14,171.85,195.0,169.8,189.75,2539764
21,ok,2007-10-15,185.0,211.8,185.0,205.7,3153193
22,ok,2007-10-16,187.0,209.95,185.35,197.95,1443653
23,ok,2007-10-17,201.0,217.75,182.3,196.85,2418324
24,ok,2007-10-18,184.9,190.0,177.2,177.55,691752
25,ok,2007-10-21,168.0,182.4,161.65,174.45,692440
26,ok,2007-10-22,180.0,191.0,178.1,187.3,516179
27,ok,2007-10-23,193.4,195.0,184.05,185.6,563460
28,ok,2007-10-24,186.0,197.1,181.0,183.25,980316
29,ok,2007-10-25,185.1,191.4,182.0,184.6,378044
30,ok,2007-10-28,187.95,191.85,179.0,180.2,645157
31,ok,2007-10-29,182.6,182.65,164.0,173.0,319472
32,ok,2007-10-30,173.5,186.5,165.2,169.4,903292
33,ok,2007-10-31,172.95,176.8,156.0,158.8,453038
34,ok,2007-11-01,155.0,174.0,152.0,165.05,536272
35,ok,2007-11-04,163.75,180.0,159.25,161.5,623666
36,ok,2007-11-05,163.9,169.95,155.1,157.15,308060
37,ok,2007-11-06,158.0,161.0,144.25,150.05,288902
38,ok,2007-11-07,145.0,149.0,141.25,143.5,185605
39,ok,2007-11-08,147.0,149.0,144.15,145.45,40849
40,ok,2007-11-11,140.0,144.9,130.0,140.85,122278
41,ok,2007-11-12,142.5,149.0,141.5,147.2,138590
42,ok,2007-11-13,153.7,157.0,152.0,155.45,250701
43,ok,2007-11-14,155.6,174.0,154.35,163.9,258521
44,ok,2007-11-15,164.0,169.0,159.2,163.15,135910
45,ok,2007-11-18,168.9,185.0,160.0,163.6,106864
46,ok,2007-11-19,164.0,165.35,155.1,158.3,90169
47,ok,2007-11-20,159.0,159.0,140.5,144.9,84366
48,ok,2007-11-21,146.9,146.9,122.8,137.45,86379
49,ok,2007-11-22,146.0,150.4,140.0,145.7,72214
50,ok,2007-11-25,158.1,169.0,151.0,160.55,388430
51,ok,2007-11-26,164.4,164.4,150.1,152.45,130376
52,ok,2007-11-27,155.0,155.75,146.0,148.65,78117
53,ok,2007-11-28,152.0,152.0,145.0,146.0,71917
54,ok,2007-11-29,147.0,150.0,141.1,146.55,75638
