,s,t,o,h,l,c,v
0,ok,2000-01-02,23.5,23.65,22.5,23.1,107700
1,ok,2000-01-03,23.5,23.5,21.5,22.7,46900
2,ok,2000-01-04,22.15,23.7,21.8,22.0,34100
3,ok,2000-01-05,22.75,23.0,21.75,22.45,58900
4,ok,2000-01-06,22.5,22.9,22.15,22.25,22800
5,ok,2000-01-09,22.9,23.3,21.85,23.15,110400
6,ok,2000-01-10,23.0,23.85,21.3,22.15,148800
7,ok,2000-01-11,23.0,23.45,22.8,23.1,50800
8,ok,2000-01-12,23.0,23.95,22.9,23.2,52800
9,ok,2000-01-13,23.3,23.45,22.0,23.1,31300
10,ok,2000-01-16,22.75,23.0,22.2,22.75,31700
11,ok,2000-01-17,22.65,22.65,22.05,22.2,36400
12,ok,2000-01-18,22.1,22.9,22.1,22.55,35000
13,ok,2000-01-19,22.8,22.9,21.55,21.75,26900
14,ok,2000-01-20,21.6,22.15,21.5,21.7,21500
15,ok,2000-01-23,22.0,22.6,21.5,21.75,37400
16,ok,2000-01-24,21.0,21.5,20.25,20.45,36800
17,ok,2000-01-26,22.1,22.1,22.1,22.1,1900
18,ok,2000-01-27,23.9,23.9,23.9,23.9,1800
19,ok,2000-01-30,25.85,25.85,25.85,25.85,6200
20,ok,2000-01-31,27.95,27.95,27.95,27.95,7400
21,ok,2000-02-01,30.2,30.2,30.2,30.2,5600
22,ok,2000-02-02,32.65,32.65,32.65,32.65,15200
23,ok,2000-02-03,35.3,35.3,35.3,35.3,43300
24,ok,2000-02-06,38.15,38.15,35.5,38.15,376700
25,ok,2000-02-07,41.2,41.2,41.2,41.2,57500
26,ok,2000-02-08,44.5,44.5,38.2,41.35,655500
27,ok,2000-02-09,42.0,43.0,38.05,38.25,228600
28,ok,2000-02-10,36.25,37.9,35.25,35.55,133000
29,ok,2000-02-13,36.9,36.9,32.75,32.95,98800
30,ok,2000-02-14,31.1,32.65,30.5,31.2,170100
31,ok,2000-02-15,32.0,33.7,31.35,33.7,71200
32,ok,2000-02-16,36.4,36.4,34.25,36.4,59400
33,ok,2000-02-17,39.3,39.35,36.7,39.35,184000
34,ok,2000-02-20,41.8,42.5,38.0,39.4,207100
35,ok,2000-02-21,40.15,40.15,37.05,38.35,177700
36,ok,2000-02-22,39.8,41.4,37.15,37.75,91000
37,ok,2000-02-23,36.85,38.9,34.75,35.55,45700
38,ok,2000-02-24,36.9,36.9,34.5,35.95,28900
39,ok,2000-02-27,36.0,36.5,33.1,35.35,43300
40,ok,2000-02-28,36.0,37.0,32.6,33.55,88700
41,ok,2000-02-29,34.25,36.25,34.0,36.2,50400
42,ok,2000-03-01,34.3,39.0,34.3,34.95,71100
43,ok,2000-03-02,35.0,35.0,32.6,33.0,46900
44,ok,2000-03-05,32.1,34.4,30.4,30.4,21400
45,ok,2000-03-06,28.95,29.7,28.0,28.8,76600
46,ok,2000-03-07,29.5,30.9,26.7,28.05,57800
47,ok,2000-03-08,29.45,29.45,25.85,25.85,28700
48,ok,2000-03-09,26.25,27.9,24.05,25.6,39000
49,ok,2000-03-12,24.4,25.6,23.55,23.55,28200
50,ok,2000-03-13,23.35,24.9,22.55,23.8,65900
51,ok,2000-03-14,23.55,25.7,23.55,25.15,33700
52,ok,2000-03-15,25.0,27.2,24.5,27.2,26300
53,ok,2000-03-20,25.5,26.9,25.05,25.35,44300
54,ok,2000-03-21,26.15,26.9,25.9,26.25,24200
55,ok,2000-03-22,26.25,26.25,24.6,25.75,10000
56,ok,2000-03-23,25.0,26.0,25.0,25.75,9900
57,ok,2000-03-26,24.75,25.7,24.75,25.55,17000
58,ok,2000-03-27,24.3,25.5,24.3,24.9,31400
59,ok,2000-03-28,26.0,26.35,25.5,25.75,17600
60,ok,2000-03-29,25.55,25.55,24.5,25.2,12500
61,ok,2000-03-30,24.95,25.9,24.0,25.9,11500
62,ok,2000-04-02,24.3,25.95,23.85,23.95,26800
63,ok,2000-04-03,22.15,23.95,22.05,22.05,72200
64,ok,2000-04-04,21.0,23.55,20.7,22.7,19400
65,ok,2000-04-05,22.15,22.9,20.9,21.5,31100
66,ok,2000-04-06,22.85,23.25,22.85,23.25,47800
67,ok,2000-04-09,25.0,25.15,24.25,24.75,56600
68,ok,2000-04-11,23.65,24.9,23.65,24.0,13100
69,ok,2000-04-12,23.0,24.4,23.0,23.95,18200
70,ok,2000-04-16,22.8,23.25,22.3,23.0,10700
71,ok,2000-04-17,24.25,24.25,22.6,23.1,28200
72,ok,2000-04-18,24.4,24.4,23.1,23.4,16200
73,ok,2000-04-19,23.65,23.65,22.1,22.75,11900
74,ok,2000-04-23,22.05,23.15,22.05,22.9,27700
75,ok,2000-04-24,21.75,22.0,21.1,21.15,37300
76,ok,2000-04-25,22.55,22.85,22.1,22.85,11900
77,ok,2000-04-26,23.5,23.8,22.2,22.65,15500
78,ok,2000-04-27,22.7,23.0,22.3,22.85,18000
79,ok,2000-05-01,21.5,22.0,21.05,21.05,49200
80,ok,2000-05-02,20.0,21.25,19.5,19.7,23300
81,ok,2000-05-03,21.5,21.85,21.0,21.6,39100
82,ok,2000-05-04,20.5,22.0,20.5,21.1,21800
83,ok,2000-05-07,21.0,21.0,20.6,20.75,12400
84,ok,2000-05-08,20.7,21.0,20.25,20.8,23200
85,ok,2000-05-09,21.4,21.4,21.0,21.25,4500
86,ok,2000-05-10,21.0,22.45,20.5,21.45,15100
87,ok,2000-05-11,21.45,23.0,21.1,22.55,46300
88,ok,2000-05-14,22.35,22.9,21.05,22.8,17500
89,ok,2000-05-15,22.1,22.4,21.8,21.95,19700
90,ok,2000-05-16,22.4,22.5,22.0,22.05,9800
91,ok,2000-05-17,21.55,22.25,21.55,22.0,2700
92,ok,2000-05-18,22.0,22.1,21.8,22.0,8800
93,ok,2000-05-21,21.9,21.9,20.5,21.15,18800
94,ok,2000-05-22,20.5,20.85,19.8,20.5,28100
95,ok,2000-05-23,20.3,21.0,20.15,21.0,4300
96,ok,2000-05-24,21.0,21.35,20.3,20.95,7400
97,ok,2000-05-25,20.95,21.0,20.8,21.0,14100
98,ok,2000-05-28,20.7,21.0,20.6,21.0,8700
99,ok,2000-05-29,20.7,21.4,20.6,21.1,10600
100,ok,2000-05-30,22.5,22.5,21.1,21.65,7100
101,ok,2000-05-31,21.0,21.9,21.0,21.5,3900
102,ok,2000-06-01,21.55,21.9,21.55,21.6,7700
103,ok,2000-06-04,22.0,22.0,21.15,21.5,6100
104,ok,2000-06-05,20.85,21.75,20.8,21.55,15300
105,ok,2000-06-06,20.05,22.0,20.05,21.85,6900
106,ok,2000-06-07,21.5,23.4,21.5,22.8,19400
107,ok,2000-06-08,23.0,24.65,23.0,24.65,15300
108,ok,2000-06-11,26.0,26.65,26.0,26.65,8600
109,ok,2000-06-12,28.7,28.8,25.5,28.8,60400
110,ok,2000-06-13,31.0,31.0,28.15,29.75,81200
111,ok,2000-06-14,29.75,29.75,27.4,27.45,49400
112,ok,2000-06-15,26.2,27.45,26.2,26.9,24400
113,ok,2000-06-18,27.3,28.5,26.35,26.95,47600
114,ok,2000-06-19,27.5,29.15,26.65,29.15,57100
115,ok,2000-06-20,31.25,31.25,28.5,29.4,85700
116,ok,2000-06-21,30.0,31.25,28.2,28.7,35900
117,ok,2000-06-22,28.1,28.5,26.4,26.5,46700
118,ok,2000-06-25,25.15,26.0,25.1,25.6,32400
119,ok,2000-06-26,25.5,25.65,24.5,24.9,57400
120,ok,2000-06-27,26.6,26.9,25.5,26.25,76500
121,ok,2000-06-28,26.6,26.6,25.5,25.55,15200
