,s,t,o,h,l,c,v
0,ok,2000-01-02,34.9,35.3,34.05,35.3,7500
1,ok,2000-01-03,37.0,37.85,34.0,34.3,40200
2,ok,2000-01-04,35.5,35.5,32.65,33.05,42600
3,ok,2000-01-05,32.0,34.45,32.0,33.3,35800
4,ok,2000-01-06,33.25,33.95,32.55,33.15,20300
5,ok,2000-01-09,32.75,33.5,32.0,33.05,34900
6,ok,2000-01-10,33.0,35.0,31.05,31.25,56100
7,ok,2000-01-11,33.3,33.3,31.25,32.55,21100
8,ok,2000-01-12,33.0,33.0,31.6,31.95,7800
9,ok,2000-01-13,32.0,32.0,31.4,31.8,10100
10,ok,2000-01-16,31.4,32.2,31.3,31.55,15600
11,ok,2000-01-17,30.5,31.45,30.05,31.2,17900
12,ok,2000-01-18,31.3,33.7,31.3,32.8,38600
13,ok,2000-01-19,33.0,33.0,31.5,32.75,18800
14,ok,2000-01-20,31.75,34.0,31.75,33.5,15700
15,ok,2000-01-23,32.5,35.0,32.5,33.45,30800
16,ok,2000-01-24,32.2,34.45,32.2,33.75,46300
17,ok,2000-01-26,34.5,36.4,34.0,35.7,54100
18,ok,2000-01-27,35.95,36.0,34.25,35.1,23200
19,ok,2000-01-30,34.25,34.95,33.0,33.55,26600
20,ok,2000-01-31,34.0,36.25,33.1,36.25,50500
21,ok,2000-02-01,38.75,39.15,38.75,39.15,52700
22,ok,2000-02-02,42.3,42.3,41.0,42.3,141200
23,ok,2000-02-03,45.0,45.7,39.5,41.55,121500
24,ok,2000-02-06,43.0,43.0,38.25,38.3,105000
25,ok,2000-02-07,39.0,39.5,36.0,36.4,76200
26,ok,2000-02-08,38.5,39.35,36.3,38.7,60300
27,ok,2000-02-09,38.8,40.0,37.25,39.3,46100
28,ok,2000-02-10,40.0,42.0,38.5,40.1,49800
29,ok,2000-02-13,39.2,40.0,37.0,38.1,52200
30,ok,2000-02-14,37.7,39.95,37.1,37.95,64100
31,ok,2000-02-15,39.95,40.0,35.0,37.7,66600
32,ok,2000-02-16,39.0,40.75,38.0,40.75,116000
33,ok,2000-02-17,42.9,44.0,39.5,42.2,77900
34,ok,2000-02-20,43.7,45.6,42.75,45.6,69500
35,ok,2000-02-21,48.0,48.4,43.1,44.5,83500
36,ok,2000-02-22,47.5,48.1,44.0,44.85,75200
37,ok,2000-02-23,46.0,48.45,44.7,46.15,47100
38,ok,2000-02-24,44.75,46.0,42.6,44.95,14600
39,ok,2000-02-27,48.55,48.55,41.5,41.5,20800
40,ok,2000-02-28,41.5,43.5,38.5,38.95,40000
41,ok,2000-02-29,42.0,42.05,38.0,41.55,18200
42,ok,2000-03-01,41.3,43.0,38.25,38.25,15100
43,ok,2000-03-02,37.5,37.5,35.25,35.7,13000
44,ok,2000-03-05,37.0,37.0,33.0,33.65,38100
45,ok,2000-03-06,32.55,33.9,31.0,32.05,51700
46,ok,2000-03-07,32.1,34.65,32.1,34.65,12100
47,ok,2000-03-08,36.0,37.35,33.0,37.35,29800
48,ok,2000-03-09,37.35,39.5,36.5,38.05,17400
49,ok,2000-03-12,39.8,40.0,35.1,36.2,20400
50,ok,2000-03-13,34.85,37.5,34.85,35.45,36400
51,ok,2000-03-14,38.0,38.25,35.05,37.1,14300
52,ok,2000-03-15,37.7,37.75,35.0,35.1,11100
53,ok,2000-03-20,34.0,35.5,32.3,32.3,11800
54,ok,2000-03-21,33.6,34.8,33.6,34.8,5400
55,ok,2000-03-22,35.35,36.35,34.0,34.45,25700
56,ok,2000-03-23,34.0,34.0,33.0,33.65,4100
57,ok,2000-03-26,33.9,33.9,31.55,32.15,7600
58,ok,2000-03-27,29.75,31.5,29.75,30.9,11300
59,ok,2000-03-28,31.75,33.4,31.75,33.25,5600
60,ok,2000-03-29,31.85,33.4,31.5,31.5,2800
61,ok,2000-03-30,29.9,32.8,29.85,31.9,6100
62,ok,2000-04-02,32.25,32.5,30.0,30.45,4800
63,ok,2000-04-03,28.55,29.0,28.2,28.25,4700
64,ok,2000-04-04,28.5,30.4,28.0,29.3,4100
