,s,t,o,h,l,c,v
0,ok,2011-03-10,7.86,18.02,7.86,16.71,292275
1,ok,2011-03-13,15.88,15.88,15.88,15.88,23690
2,ok,2011-03-14,15.09,15.09,15.09,15.09,1160
3,ok,2011-03-15,14.34,14.99,14.34,14.34,62995
4,ok,2011-03-16,13.63,14.2,13.63,13.63,76700
5,ok,2011-03-17,13.03,13.58,12.95,13.0,46985
6,ok,2011-03-20,12.35,13.3,12.35,12.67,8980
7,ok,2011-03-21,12.62,13.31,12.62,13.31,7560
8,ok,2011-03-22,13.98,13.98,13.33,13.8,78120
9,ok,2011-03-23,13.25,13.96,13.25,13.96,45280
10,ok,2011-03-24,14.45,14.45,13.6,14.16,6750
11,ok,2011-03-27,14.0,14.0,13.1,13.56,9790
12,ok,2011-03-28,12.44,14.0,12.44,13.24,1130
13,ok,2011-03-29,12.85,13.8,12.85,13.42,8135
14,ok,2011-03-30,14.0,14.0,13.22,14.0,6965
15,ok,2011-03-31,14.0,14.98,12.82,14.29,45415
16,ok,2011-04-03,13.6,15.17,13.6,14.98,10185
17,ok,2011-04-04,14.36,14.98,14.36,14.59,8185
18,ok,2011-04-05,15.34,15.34,14.06,14.62,20115
19,ok,2011-04-06,14.42,14.6,14.42,14.59,3730
20,ok,2011-04-07,14.6,15.28,14.05,15.06,15900
21,ok,2011-04-10,14.72,15.36,14.72,14.82,4380
22,ok,2011-04-12,14.2,15.4,14.2,14.62,4325
23,ok,2011-04-14,15.0,15.02,13.25,14.22,17415
24,ok,2011-04-17,14.8,15.5,14.22,14.99,3310
25,ok,2011-04-18,12.02,15.19,12.02,14.52,10505
26,ok,2011-04-19,12.0,15.0,12.0,14.61,12475
27,ok,2011-04-20,13.64,14.6,13.64,14.28,11340
28,ok,2011-04-24,13.6,15.54,13.6,15.47,6345
29,ok,2011-04-25,14.8,15.2,14.8,15.2,1120
30,ok,2011-04-26,15.6,15.6,14.48,14.8,63220
31,ok,2011-04-27,14.7,15.29,14.7,15.11,14385
32,ok,2011-04-28,15.0,15.96,14.4,14.92,4600
33,ok,2011-05-01,14.98,16.0,14.98,15.86,5985
34,ok,2011-05-02,15.2,16.4,14.87,16.18,10910
35,ok,2011-05-03,15.4,16.3,15.05,15.13,1585
36,ok,2011-05-04,14.33,15.0,14.33,14.68,925
37,ok,2011-05-05,15.0,15.2,14.55,15.0,7845
