,s,t,o,h,l,c,v
0,ok,2016-04-03,11.33,11.68,11.01,11.15,293712640
1,ok,2016-04-04,11.03,11.5,11.03,11.14,39136400
2,ok,2016-04-05,11.15,11.43,11.01,11.28,25534040
3,ok,2016-04-06,11.28,11.47,11.09,11.14,24208040
4,ok,2016-04-07,11.17,11.28,10.8,11.25,33628960
5,ok,2016-04-10,11.19,11.29,11.08,11.21,4502440
6,ok,2016-04-11,11.18,11.85,11.11,11.66,14472960
7,ok,2016-04-12,11.72,13.05,11.67,12.66,67779000
8,ok,2016-04-17,12.68,12.77,12.16,12.32,12088640
9,ok,2016-04-19,12.45,12.69,12.18,12.37,13172720
10,ok,2016-04-20,12.53,12.53,12.18,12.4,12640920
11,ok,2016-04-21,12.31,12.65,12.26,12.35,3315640
12,ok,2016-04-24,12.36,12.48,12.33,12.4,16191680
13,ok,2016-04-25,12.4,13.12,12.4,12.68,30558560
14,ok,2016-04-26,12.71,12.99,12.58,12.89,24778440
15,ok,2016-04-27,12.9,13.19,12.63,12.71,23061920
16,ok,2016-04-28,12.78,12.97,12.59,12.81,24983080
17,ok,2016-05-01,12.85,13.1,12.63,12.99,26828120
18,ok,2016-05-02,13.1,13.43,12.81,13.01,29553680
19,ok,2016-05-03,13.03,13.2,12.76,12.83,26072280
20,ok,2016-05-04,12.88,12.95,12.65,12.76,24801600
21,ok,2016-05-05,12.76,13.0,12.56,12.81,27034720
22,ok,2016-05-08,12.9,13.43,12.17,12.75,25970200
23,ok,2016-05-09,12.87,12.9,12.5,12.71,25074480
24,ok,2016-05-10,12.55,12.68,12.5,12.57,24666040
25,ok,2016-05-11,12.65,12.65,12.28,12.48,24255160
26,ok,2016-05-12,12.45,12.59,12.03,12.46,28641280
27,ok,2016-05-15,12.64,12.8,12.38,12.7,28476840
28,ok,2016-05-16,12.65,12.8,12.55,12.7,26514320
29,ok,2016-05-17,12.7,12.74,12.55,12.68,27531800
30,ok,2016-05-18,12.68,12.7,12.33,12.53,27902600
31,ok,2016-05-19,12.31,12.58,12.01,12.29,30168440
32,ok,2016-05-22,12.75,12.85,12.41,12.74,27540000
33,ok,2016-05-23,12.65,13.06,12.62,12.87,27547800
34,ok,2016-05-24,12.9,13.15,12.8,13.0,31495560
35,ok,2016-05-25,13.01,13.1,12.91,13.04,31354560
36,ok,2016-05-26,13.06,13.13,12.88,13.01,31469320
37,ok,2016-05-29,12.65,15.61,12.65,13.43,42663000
38,ok,2016-05-30,13.45,13.7,12.91,12.99,31574240
39,ok,2016-05-31,13.03,13.03,12.88,12.95,25660840
40,ok,2016-06-01,12.97,13.5,12.92,13.34,27910520
41,ok,2016-06-02,13.35,13.7,13.27,13.38,26837720
42,ok,2016-06-05,13.5,13.68,13.29,13.49,29302520
43,ok,2016-06-06,13.48,13.63,13.38,13.43,24163400
44,ok,2016-06-07,13.45,13.85,13.33,13.43,25193120
45,ok,2016-06-08,13.45,13.55,13.28,13.45,28776960
46,ok,2016-06-09,13.45,14.39,13.42,13.92,22655080
