,s,t,o,h,l,c,v
0,ok,2000-01-02,400.0,405.0,392.0,401.05,1650
1,ok,2000-01-03,390.0,400.0,386.0,395.05,9250
2,ok,2000-01-04,403.0,403.0,383.0,388.0,14450
3,ok,2000-01-05,395.0,405.0,390.0,400.35,3650
4,ok,2000-01-06,401.0,405.0,391.0,400.75,2700
5,ok,2000-01-09,405.0,420.0,392.1,397.05,6100
6,ok,2000-01-10,395.0,395.0,371.0,385.85,10450
7,ok,2000-01-11,416.6,416.6,397.0,399.55,4300
8,ok,2000-01-12,402.8,402.8,394.65,395.4,5927
9,ok,2000-01-13,399.9,399.9,390.0,394.3,15065
10,ok,2000-01-16,424.0,424.0,391.0,393.0,2985
11,ok,2000-01-17,390.5,395.0,374.0,387.25,8415
12,ok,2000-01-18,390.05,397.9,390.05,395.05,2988
13,ok,2000-01-19,398.6,398.6,364.0,375.1,14876
14,ok,2000-01-20,370.9,373.4,350.0,352.75,15054
15,ok,2000-01-23,345.1,350.0,324.55,324.55,10096
16,ok,2000-01-24,320.0,332.1,308.0,319.85,7596
17,ok,2000-01-26,311.55,340.0,311.55,330.6,2945
18,ok,2000-01-27,315.0,335.0,312.0,322.15,2754
19,ok,2000-01-30,312.0,327.0,311.0,317.15,1927
20,ok,2000-01-31,315.0,323.0,312.0,320.1,3859
21,ok,2000-02-01,329.0,329.0,317.0,321.7,2147
22,ok,2000-02-02,330.0,330.0,296.15,303.3,6397
23,ok,2000-02-03,307.5,307.5,282.0,290.7,5763
24,ok,2000-02-06,290.1,300.05,273.0,276.1,5239
25,ok,2000-02-07,275.0,284.9,275.0,277.25,5176
26,ok,2000-02-08,280.0,290.0,274.0,279.3,16369
27,ok,2000-02-09,280.0,282.0,275.0,275.25,8120
28,ok,2000-02-10,280.9,280.9,256.0,265.0,5238
29,ok,2000-02-13,279.9,279.9,256.9,260.1,3061
30,ok,2000-02-14,260.0,267.9,252.0,257.35,4209
31,ok,2000-02-15,270.0,274.0,250.0,250.1,7015
32,ok,2000-02-16,256.0,256.0,249.0,250.4,7843
33,ok,2000-02-17,246.0,253.0,232.0,233.6,6405
34,ok,2000-02-20,233.0,240.0,214.95,222.4,9781
35,ok,2000-02-21,208.0,227.5,205.1,216.1,8275
36,ok,2000-02-22,229.0,229.0,217.0,219.25,8030
37,ok,2000-02-23,225.0,236.8,224.45,236.75,8471
38,ok,2000-02-24,249.7,249.7,225.1,234.85,6068
39,ok,2000-02-27,248.0,253.0,230.0,251.75,7026
40,ok,2000-02-28,259.0,270.0,235.55,245.6,10047
41,ok,2000-02-29,249.0,265.0,244.0,265.0,2906
42,ok,2000-03-01,278.0,280.0,245.15,246.85,6029
43,ok,2000-03-02,245.0,245.0,227.1,228.0,5879
44,ok,2000-03-05,230.0,240.0,216.0,216.45,8601
45,ok,2000-03-06,210.0,220.0,205.0,211.95,5302
46,ok,2000-03-07,215.1,215.1,196.0,196.5,5504
47,ok,2000-03-08,199.0,201.5,187.0,190.8,7365
48,ok,2000-03-09,199.4,206.1,199.35,206.1,2654
49,ok,2000-03-12,214.0,222.6,205.0,222.3,4270
50,ok,2000-03-13,226.0,240.1,224.0,238.0,7474
51,ok,2000-03-14,249.5,257.05,240.0,251.3,7987
52,ok,2000-03-15,251.5,255.0,242.0,242.35,2648
53,ok,2000-03-20,230.5,242.0,223.0,223.45,5330
54,ok,2000-03-21,232.0,238.0,230.1,234.4,1978
55,ok,2000-03-22,234.9,234.9,215.65,220.6,3982
56,ok,2000-03-23,216.0,224.9,213.0,220.35,1938
57,ok,2000-03-26,219.0,224.9,210.0,211.25,3220
58,ok,2000-03-27,202.5,224.5,202.5,216.75,3315
59,ok,2000-03-28,220.0,229.0,218.5,218.5,1602
60,ok,2000-03-29,219.8,236.0,219.8,229.1,5845
61,ok,2000-03-30,233.9,234.0,226.25,227.85,1937
62,ok,2000-04-02,239.0,245.0,232.0,234.3,1657
63,ok,2000-04-03,223.0,238.0,223.0,227.9,5653
64,ok,2000-04-04,232.0,238.0,223.5,226.55,1465
65,ok,2000-04-05,225.0,229.9,224.1,226.8,890
66,ok,2000-04-06,229.8,233.9,227.0,231.8,2916
67,ok,2000-04-09,236.0,242.0,232.5,234.5,2187
68,ok,2000-04-11,236.0,236.0,225.6,228.35,4256
69,ok,2000-04-12,224.9,228.0,223.5,224.55,1405
70,ok,2000-04-16,211.55,220.5,211.55,217.0,2276
71,ok,2000-04-17,226.0,226.0,215.2,219.05,2027
72,ok,2000-04-18,223.0,223.0,211.0,211.0,1655
73,ok,2000-04-19,205.15,220.0,200.0,204.6,3724
74,ok,2000-04-23,204.0,204.0,189.0,190.25,4340
75,ok,2000-04-24,185.0,194.9,185.0,187.3,3033
76,ok,2000-04-25,200.0,202.3,195.0,202.25,3360
77,ok,2000-04-26,200.0,205.75,195.0,196.9,3612
78,ok,2000-04-27,191.0,196.0,190.0,195.25,2307
79,ok,2000-05-01,192.0,192.0,180.0,182.5,5928
80,ok,2000-05-02,183.0,193.0,182.1,189.5,3610
81,ok,2000-05-03,198.45,198.45,188.0,188.1,2696
82,ok,2000-05-04,194.75,196.0,187.0,188.75,2941
83,ok,2000-05-07,190.0,194.95,186.25,188.0,1625
84,ok,2000-05-08,184.5,192.0,184.5,186.75,3862
85,ok,2000-05-09,188.0,194.9,185.15,190.0,1921
86,ok,2000-05-10,190.0,190.0,186.0,186.9,1186
87,ok,2000-05-11,187.9,192.0,186.1,187.55,3035
88,ok,2000-05-14,185.2,187.0,172.55,186.35,2347
89,ok,2000-05-15,188.0,188.2,184.0,185.95,2847
90,ok,2000-05-16,191.0,193.9,191.0,191.0,1429
91,ok,2000-05-17,194.5,194.5,187.0,187.35,2055
92,ok,2000-05-18,188.0,190.0,186.5,189.75,1333
93,ok,2000-05-21,189.9,191.5,187.55,190.95,590
94,ok,2000-05-22,190.1,192.0,185.0,190.95,1942
95,ok,2000-05-23,188.1,192.0,188.05,192.0,2000
96,ok,2000-05-24,207.0,207.0,192.0,196.5,2631
97,ok,2000-05-25,199.9,206.0,196.5,203.95,3618
98,ok,2000-05-28,210.0,217.0,208.05,212.25,4131
99,ok,2000-05-29,210.0,218.9,208.45,216.05,2835
100,ok,2000-05-30,220.0,222.0,210.0,211.6,1545
101,ok,2000-05-31,206.0,213.0,206.0,211.6,7566
102,ok,2000-06-01,208.1,220.0,208.1,214.15,1860
103,ok,2000-06-04,216.0,216.0,213.0,213.0,1423
104,ok,2000-06-05,211.0,215.0,210.0,212.3,2115
105,ok,2000-06-06,215.0,215.5,207.0,215.1,2023
106,ok,2000-06-07,213.25,219.0,206.0,210.0,8856
107,ok,2000-06-08,209.0,210.0,205.0,207.85,1065
108,ok,2000-06-11,211.0,212.0,203.05,204.5,3438
109,ok,2000-06-12,195.35,206.5,195.35,203.25,1315
110,ok,2000-06-13,206.0,207.2,203.1,204.05,1560
111,ok,2000-06-14,218.7,218.7,202.2,202.8,1348
112,ok,2000-06-15,206.0,206.0,198.0,199.65,2583
113,ok,2000-06-18,203.9,203.9,196.7,196.7,2326
114,ok,2000-06-19,198.0,201.95,196.7,198.8,3694
115,ok,2000-06-20,199.9,199.95,196.05,198.7,2368
116,ok,2000-06-21,197.1,199.35,195.0,197.05,1446
117,ok,2000-06-22,196.5,200.0,190.0,194.0,2671
118,ok,2000-06-25,193.95,193.95,184.25,186.9,3037
119,ok,2000-06-26,189.7,190.0,184.9,186.95,4137
120,ok,2000-06-27,193.0,193.0,184.0,185.0,4971
121,ok,2000-06-28,189.95,190.0,186.5,188.0,2591
122,ok,2000-06-29,188.0,188.0,185.1,186.75,1980
123,ok,2000-07-02,188.0,189.0,186.0,187.85,2200
124,ok,2000-07-03,185.15,189.5,185.1,187.45,2630
125,ok,2000-07-04,190.0,192.2,188.3,190.75,2145
126,ok,2000-07-05,192.0,197.75,190.0,195.45,2342
127,ok,2000-07-06,196.9,197.0,190.0,190.05,7181
128,ok,2000-07-09,191.1,193.25,187.0,189.95,5241
129,ok,2000-07-10,190.0,194.7,190.0,192.5,2365
130,ok,2000-07-11,192.0,204.85,192.0,199.9,8433
131,ok,2000-07-12,199.0,202.0,197.0,197.15,4550
132,ok,2000-07-13,197.0,198.9,193.1,194.65,8041
133,ok,2000-07-16,190.0,207.0,190.0,199.7,5371
134,ok,2000-07-17,200.0,202.0,196.8,198.0,5055
135,ok,2000-07-18,202.95,205.0,194.0,194.45,7018
136,ok,2000-07-19,193.05,194.8,191.05,193.65,2025
137,ok,2000-07-20,192.0,193.0,190.0,190.5,900
138,ok,2000-07-23,190.0,191.0,185.7,186.5,2563
139,ok,2000-07-24,184.9,190.0,180.0,188.35,5540
