,s,t,o,h,l,c,v
0,ok,2022-11-22,60.0,64.0,58.35,59.1,40023843
1,ok,2022-11-23,59.7,63.8,59.15,61.45,11843525
2,ok,2022-11-24,61.9,62.8,61.0,62.3,3229538
3,ok,2022-11-27,62.3,62.95,60.4,61.35,4647348
4,ok,2022-11-28,60.75,62.4,60.05,60.45,2032907
5,ok,2022-11-29,61.7,62.7,60.5,60.75,2501714
6,ok,2022-11-30,61.1,61.8,60.05,60.35,1220031
7,ok,2022-12-01,60.4,61.0,60.1,60.35,1177501
8,ok,2022-12-04,60.35,60.75,59.0,59.25,1150029
9,ok,2022-12-05,59.2,59.9,57.0,57.25,1550686
10,ok,2022-12-06,57.25,58.8,57.15,57.75,839722
11,ok,2022-12-07,58.1,58.3,56.95,57.1,449552
12,ok,2022-12-08,57.15,57.5,54.0,55.4,1439617
13,ok,2022-12-11,54.8,55.3,53.5,53.85,754049
14,ok,2022-12-12,53.75,55.5,53.7,54.25,646542
15,ok,2022-12-13,54.25,55.5,53.8,53.95,734548
16,ok,2022-12-14,53.95,55.4,53.85,54.6,710575
17,ok,2022-12-15,54.2,54.55,53.05,53.2,645603
18,ok,2022-12-18,53.2,53.2,48.6,49.35,3592141
19,ok,2022-12-19,49.55,50.25,49.1,49.75,1645112
20,ok,2022-12-20,50.0,50.1,46.3,47.8,1330177
21,ok,2022-12-21,47.8,48.5,44.75,45.05,992449
22,ok,2022-12-22,44.4,44.4,40.5,40.85,1720530
23,ok,2022-12-25,40.85,46.7,40.15,44.9,2954826
24,ok,2022-12-26,45.75,46.15,43.05,43.9,1798841
25,ok,2022-12-27,43.7,44.3,42.8,43.05,895522
26,ok,2022-12-28,43.3,49.25,43.05,46.8,4921623
27,ok,2022-12-29,47.05,49.85,47.05,47.85,2329184
28,ok,2023-01-01,48.1,48.65,46.65,47.0,812681
29,ok,2023-01-02,47.0,47.65,46.7,47.1,521748
30,ok,2023-01-03,47.1,47.45,45.55,46.15,927244
31,ok,2023-01-04,46.4,47.6,45.1,45.5,887742
32,ok,2023-01-05,45.6,45.75,44.15,44.7,570618
33,ok,2023-01-08,44.95,45.25,43.8,44.55,628719
34,ok,2023-01-09,44.5,45.65,44.45,44.7,583373
35,ok,2023-01-10,44.7,47.65,44.7,46.4,2455238
36,ok,2023-01-11,46.65,47.65,46.2,47.1,1842914
37,ok,2023-01-12,47.35,47.35,46.35,46.7,430840
38,ok,2023-01-15,46.35,47.45,45.75,46.45,3137419
39,ok,2023-01-16,46.65,47.5,46.0,47.15,2283622
40,ok,2023-01-17,47.4,48.45,46.75,47.8,2074959
