,s,t,o,h,l,c,v
0,ok,2014-12-18,71.49,71.49,71.49,71.49,64592
1,ok,2014-12-21,75.05,75.05,69.52,70.83,8074859
2,ok,2014-12-22,71.2,74.34,67.32,68.02,18975315
3,ok,2014-12-23,67.5,71.39,66.71,71.39,905005
4,ok,2014-12-25,74.95,74.95,73.55,74.95,936342
5,ok,2014-12-28,76.78,78.18,74.02,75.09,868211
6,ok,2014-12-29,75.51,75.51,71.72,73.22,533794
7,ok,2014-12-30,73.69,76.87,73.69,76.87,868009
8,ok,2014-12-31,78.7,80.71,78.32,80.71,594492
9,ok,2015-01-01,83.48,88.96,82.73,83.34,3675209
10,ok,2015-01-04,84.04,87.55,82.78,85.87,2179726
11,ok,2015-01-05,84.23,84.84,80.57,80.85,1790304
12,ok,2015-01-06,81.46,84.93,80.01,83.81,1871098
13,ok,2015-01-07,85.16,94.16,83.52,90.79,6813221
14,ok,2015-01-08,91.72,108.91,91.44,108.4,13218369
15,ok,2015-01-11,110.55,125.92,106.24,121.75,18663666
16,ok,2015-01-12,118.89,122.92,110.88,113.27,8001690
17,ok,2015-01-13,114.3,116.88,107.23,110.23,3493592
18,ok,2015-01-14,111.73,116.6,109.01,112.38,2942774
19,ok,2015-01-15,111.58,120.58,109.95,118.94,4448274
20,ok,2015-01-18,119.78,122.64,116.32,117.07,1765048
21,ok,2015-01-19,117.11,117.77,111.96,113.55,1220926
22,ok,2015-01-20,113.6,115.85,109.62,110.46,1164445
23,ok,2015-01-21,110.98,114.25,109.15,109.71,1211974
24,ok,2015-01-22,111.49,112.05,102.87,104.23,1274796
25,ok,2015-01-26,105.03,114.63,99.5,114.63,2046903
26,ok,2015-01-27,116.78,118.99,106.48,107.7,2306133
27,ok,2015-01-28,107.56,112.62,106.38,107.74,1547653
28,ok,2015-01-29,109.01,110.27,99.87,101.75,1625082
29,ok,2015-02-01,103.06,111.91,101.47,111.16,2677209
30,ok,2015-02-02,111.96,113.04,106.62,109.29,1124910
31,ok,2015-02-03,110.09,112.29,106.81,107.93,1291146
32,ok,2015-02-04,108.63,113.36,106.1,107.51,1779143
33,ok,2015-02-05,108.54,109.85,105.4,106.06,1155185
34,ok,2015-02-08,104.93,107.13,100.81,101.28,728632
35,ok,2015-02-09,100.25,104.84,97.2,97.95,839828
36,ok,2015-02-10,99.03,101.09,92.14,94.39,1680213
37,ok,2015-02-11,94.63,100.25,94.63,98.8,1290588
38,ok,2015-02-12,99.69,103.81,98.94,100.3,1061439
39,ok,2015-02-15,100.95,103.62,99.4,100.25,832104
40,ok,2015-02-17,101.14,102.4,98.37,98.98,827845
41,ok,2015-02-18,98.98,108.59,98.51,107.04,2609376
42,ok,2015-02-19,106.71,110.93,103.53,106.43,2162601
43,ok,2015-02-22,107.32,110.55,105.03,105.92,1126395
44,ok,2015-02-23,105.92,108.59,102.22,103.67,730110
45,ok,2015-02-24,103.86,105.49,102.22,103.86,798163
46,ok,2015-02-25,104.14,104.14,98.75,99.5,746022
47,ok,2015-02-26,99.5,102.45,99.31,100.58,520024
48,ok,2015-02-27,100.39,103.86,96.88,101.98,694138
49,ok,2015-03-01,102.22,114.02,99.69,112.47,3006514
50,ok,2015-03-02,112.57,116.08,109.24,112.1,2165519
51,ok,2015-03-03,113.32,114.21,105.92,106.57,849102
52,ok,2015-03-04,106.62,109.8,105.45,107.88,792858
53,ok,2015-03-08,108.12,114.11,107.51,108.16,970126
54,ok,2015-03-09,108.68,117.02,108.68,111.96,2680933
55,ok,2015-03-10,113.08,115.94,111.49,112.57,1421049
56,ok,2015-03-11,113.74,115.29,111.49,112.38,850633
57,ok,2015-03-12,113.13,114.02,106.99,107.84,1013572
58,ok,2015-03-15,107.84,109.01,104.37,105.82,572879
59,ok,2015-03-16,106.76,108.49,105.03,106.67,427898
60,ok,2015-03-17,107.27,107.27,105.49,105.87,336787
61,ok,2015-03-18,106.85,111.02,106.53,107.13,928384
62,ok,2015-03-19,107.13,107.74,103.11,106.9,877073
63,ok,2015-03-22,107.65,107.65,100.34,101.37,672553
64,ok,2015-03-23,101.19,103.43,98.66,99.22,469051
65,ok,2015-03-24,99.69,101.84,96.59,97.25,511215
66,ok,2015-03-25,96.5,97.86,94.67,95.52,495283
67,ok,2015-03-26,95.75,97.34,90.97,95.61,1054440
68,ok,2015-03-29,97.02,100.01,96.41,99.22,703078
69,ok,2015-03-30,99.4,101.75,97.02,100.44,534644
70,ok,2015-03-31,100.62,104.46,99.31,103.57,717025
71,ok,2015-04-05,103.86,105.68,101.93,103.53,519003
72,ok,2015-04-06,104.37,104.37,101.0,102.26,433801
73,ok,2015-04-07,103.43,112.38,102.36,110.98,2085061
74,ok,2015-04-08,111.91,114.11,108.21,112.01,1811843
75,ok,2015-04-09,112.19,130.88,112.19,129.01,6593657
76,ok,2015-04-12,128.96,132.71,124.79,126.06,2306423
77,ok,2015-04-14,126.43,134.26,122.5,126.53,3295352
78,ok,2015-04-15,126.48,128.03,121.33,124.84,1440893
79,ok,2015-04-16,124.61,131.59,123.11,125.54,1865791
80,ok,2015-04-19,125.54,127.84,115.71,118.0,1193578
81,ok,2015-04-20,118.99,125.08,117.11,121.14,1146572
82,ok,2015-04-21,121.94,124.61,117.11,120.95,933125
83,ok,2015-04-22,122.08,123.67,118.52,119.41,617681
84,ok,2015-04-23,119.92,120.06,110.27,112.43,675374
85,ok,2015-04-26,113.27,115.8,102.4,103.48,714945
86,ok,2015-04-27,99.5,102.97,95.19,101.65,1065838
87,ok,2015-04-28,101.19,107.88,100.3,104.79,797284
88,ok,2015-04-29,103.06,108.31,103.01,106.34,437797
89,ok,2015-05-03,106.9,110.18,106.9,108.77,387581
90,ok,2015-05-04,109.15,111.87,107.74,108.87,451200
91,ok,2015-05-05,108.59,109.52,100.34,100.67,553971
92,ok,2015-05-06,100.25,102.64,98.37,100.11,506183
93,ok,2015-05-07,102.31,106.24,101.93,102.73,450736
94,ok,2015-05-10,104.32,105.59,102.12,103.11,251063
95,ok,2015-05-11,102.36,104.14,99.78,100.2,316413
96,ok,2015-05-12,100.95,103.71,100.06,102.17,379501
97,ok,2015-05-13,102.12,105.12,100.62,103.76,329100
98,ok,2015-05-14,103.76,105.59,102.68,103.48,264765
99,ok,2015-05-17,103.57,104.37,100.9,101.56,324365
100,ok,2015-05-18,101.75,107.56,101.28,105.21,568717
101,ok,2015-05-19,104.93,106.76,103.57,105.03,276843
102,ok,2015-05-20,105.35,105.87,102.45,103.29,239772
103,ok,2015-05-21,104.42,106.24,103.86,104.09,257858
104,ok,2015-05-24,104.04,104.6,101.65,101.98,134287
105,ok,2015-05-25,101.93,104.75,101.37,102.59,204015
106,ok,2015-05-26,101.42,101.98,98.14,98.89,427328
107,ok,2015-05-27,99.08,103.53,99.08,103.15,353056
108,ok,2015-05-28,103.43,107.18,103.06,106.06,539910
109,ok,2015-05-31,106.29,106.67,102.59,103.06,183759
