,s,t,o,h,l,c,v
0,ok,2017-03-22,182.0,182.0,170.85,170.85,87665
1,ok,2017-03-23,171.0,174.0,164.3,167.8,48946
2,ok,2017-03-26,168.0,168.7,160.8,163.75,29004
3,ok,2017-03-27,161.3,165.0,155.6,156.15,75252
4,ok,2017-03-28,159.9,163.05,152.0,154.6,112407
5,ok,2017-03-29,152.7,159.5,152.7,157.8,70279
6,ok,2017-03-30,155.35,159.0,154.7,155.3,69438
7,ok,2017-04-02,152.5,163.05,152.35,156.0,166354
8,ok,2017-04-04,152.6,155.9,148.55,149.55,149467
9,ok,2017-04-05,150.0,150.0,142.25,146.15,98287
10,ok,2017-04-06,145.0,153.45,142.5,150.9,281158
11,ok,2017-04-09,153.9,153.9,147.6,149.8,76334
12,ok,2017-04-10,154.0,157.0,147.5,153.95,61815
13,ok,2017-04-11,153.4,155.95,151.0,152.0,30697
14,ok,2017-04-12,151.55,153.1,146.45,147.1,45872
15,ok,2017-04-16,152.6,152.6,145.0,149.9,42274
16,ok,2017-04-17,149.9,154.75,146.5,147.3,33341
17,ok,2017-04-18,148.3,149.5,140.0,142.25,44121
18,ok,2017-04-19,143.0,145.25,136.05,136.6,93193
19,ok,2017-04-20,134.9,137.0,128.0,133.05,202495
20,ok,2017-04-23,134.95,145.0,133.0,139.55,97551
21,ok,2017-04-24,139.6,145.9,139.6,141.2,59795
22,ok,2017-04-25,141.75,144.0,135.75,136.6,33105
23,ok,2017-04-26,136.3,136.3,130.55,131.7,51239
24,ok,2017-04-27,135.45,137.75,130.0,130.7,26513
25,ok,2017-05-01,130.5,143.75,118.0,141.2,272286
26,ok,2017-05-02,140.5,145.0,135.0,139.45,116896
27,ok,2017-05-03,141.0,141.9,135.0,136.9,29872
28,ok,2017-05-04,132.3,138.7,127.4,130.1,83154
29,ok,2017-05-07,127.4,136.5,125.45,132.3,26289
30,ok,2017-05-08,134.95,135.0,128.0,129.2,24820
31,ok,2017-05-09,129.6,136.5,129.5,135.1,91485
32,ok,2017-05-10,136.3,136.5,132.1,132.9,22636
33,ok,2017-05-11,132.55,133.45,131.25,132.65,18286
34,ok,2017-05-14,136.0,139.0,130.0,132.1,29946
35,ok,2017-05-15,131.85,134.7,130.4,130.85,37656
36,ok,2017-05-16,131.0,133.4,130.0,130.65,25498
37,ok,2017-05-17,128.0,130.0,123.0,125.85,35988
38,ok,2017-05-18,125.85,129.6,122.0,126.75,33785
39,ok,2017-05-21,129.55,131.4,123.0,125.0,72500
40,ok,2017-05-22,125.0,129.95,121.25,122.9,44949
41,ok,2017-05-23,125.7,125.7,115.0,118.35,25349
42,ok,2017-05-24,118.6,120.0,114.15,116.0,40826
43,ok,2017-05-25,118.0,127.6,113.5,121.45,76011
44,ok,2017-05-28,126.3,127.6,119.3,120.05,31244
45,ok,2017-05-29,115.6,121.5,115.6,116.65,22509
46,ok,2017-05-30,105.0,105.3,105.0,105.0,124434
47,ok,2017-05-31,96.15,115.5,96.15,115.4,286421
48,ok,2017-06-01,121.0,126.9,111.5,124.3,204532
49,ok,2017-06-04,125.9,132.85,125.0,128.55,89655
50,ok,2017-06-05,127.9,128.0,123.1,125.1,29087
51,ok,2017-06-06,126.3,140.1,123.0,134.8,83130
52,ok,2017-06-07,137.15,143.75,137.0,139.05,95296
53,ok,2017-06-08,139.9,143.0,136.0,137.0,62144
54,ok,2017-06-11,136.95,139.15,132.05,133.9,44985
55,ok,2017-06-12,137.35,137.4,130.3,132.25,25327
56,ok,2017-06-13,133.0,134.05,125.5,128.1,33900
57,ok,2017-06-14,126.15,129.35,123.0,124.3,40685
58,ok,2017-06-15,123.25,126.0,121.0,122.7,27800
59,ok,2017-06-18,124.8,124.95,121.25,121.7,59040
60,ok,2017-06-19,121.6,124.0,119.45,122.2,69589
61,ok,2017-06-20,122.0,133.2,120.5,127.25,42308
62,ok,2017-06-21,127.0,128.1,122.5,123.15,22967
63,ok,2017-06-22,123.9,123.9,118.0,120.3,24081
64,ok,2017-06-26,123.7,124.2,119.5,121.8,38096
65,ok,2017-06-27,121.8,124.6,120.0,120.7,28748
66,ok,2017-06-28,124.6,124.6,121.1,122.0,17046
67,ok,2017-06-29,123.95,123.95,118.15,120.15,18449
68,ok,2017-07-02,122.5,125.9,120.1,120.6,20724
69,ok,2017-07-03,120.6,123.3,118.85,119.55,37947
70,ok,2017-07-04,120.95,122.5,119.9,120.9,16715
71,ok,2017-07-05,122.7,123.3,116.25,116.55,57019
72,ok,2017-07-06,118.95,120.0,114.0,115.85,52670
73,ok,2017-07-09,115.8,120.0,110.0,112.95,12383
74,ok,2017-07-10,115.75,117.8,108.4,109.7,96456
75,ok,2017-07-11,111.4,113.9,109.75,111.2,53642
76,ok,2017-07-12,110.2,133.0,106.8,126.75,436231
77,ok,2017-07-13,127.25,131.8,121.55,123.7,111686
78,ok,2017-07-16,124.0,127.0,119.6,120.1,56391
79,ok,2017-07-17,120.0,120.0,116.25,117.2,30688
80,ok,2017-07-18,117.0,127.2,115.4,119.8,84031
81,ok,2017-07-19,119.5,120.85,116.6,117.45,37103
82,ok,2017-07-20,118.0,118.0,114.6,115.55,72876
83,ok,2017-07-23,115.35,123.0,115.2,117.25,93296
84,ok,2017-07-24,118.8,122.0,116.0,116.4,50700
85,ok,2017-07-25,116.4,118.4,113.3,113.65,46338
86,ok,2017-07-26,113.75,117.0,111.25,112.35,39442
87,ok,2017-07-27,112.35,114.55,111.4,112.25,27735
88,ok,2017-07-30,112.0,113.3,109.0,110.5,51115
89,ok,2017-07-31,110.05,112.4,109.0,110.8,24657
90,ok,2017-08-01,110.0,112.0,106.1,107.45,53143
91,ok,2017-08-02,107.05,107.8,102.0,102.55,46070
92,ok,2017-08-03,103.0,104.5,101.0,101.55,29264
93,ok,2017-08-06,101.85,104.3,95.95,97.55,86245
94,ok,2017-08-07,101.45,102.4,91.0,91.75,103005
95,ok,2017-08-08,92.05,92.05,80.15,84.75,225907
96,ok,2017-08-09,84.75,87.8,80.1,81.35,116440
97,ok,2017-08-10,80.0,86.4,74.8,84.6,153122
98,ok,2017-08-13,85.75,87.25,84.85,85.45,25616
99,ok,2017-08-15,86.05,87.7,85.15,86.0,44449
100,ok,2017-08-16,87.15,87.25,84.3,84.85,30873
101,ok,2017-08-17,87.2,93.0,82.0,86.25,125308
102,ok,2017-08-20,89.65,89.65,83.8,84.65,26037
103,ok,2017-08-21,86.7,86.7,82.25,82.7,23253
104,ok,2017-08-22,84.4,84.75,82.25,83.95,27382
105,ok,2017-08-23,84.35,98.8,82.0,87.55,268520
106,ok,2017-08-27,93.8,93.8,86.0,86.6,85516
107,ok,2017-08-28,86.1,88.5,84.25,84.7,53311
108,ok,2017-08-29,84.65,86.0,84.45,85.05,44567
109,ok,2017-08-30,86.35,88.0,84.95,87.1,29758
110,ok,2017-08-31,86.05,89.55,85.75,86.55,25257
111,ok,2017-09-03,88.4,88.4,85.0,86.1,21822
112,ok,2017-09-04,84.3,87.4,84.2,85.35,22455
113,ok,2017-09-05,83.25,86.45,83.25,85.2,30937
114,ok,2017-09-06,84.4,100.4,84.4,97.85,300756
115,ok,2017-09-07,99.95,105.5,98.0,102.0,184437
116,ok,2017-09-10,101.0,103.05,97.8,98.45,50739
117,ok,2017-09-11,79.2,89.7,79.2,85.6,340785
118,ok,2017-09-12,83.2,86.05,83.0,83.45,70150
119,ok,2017-09-13,84.0,85.25,81.75,82.75,32726
120,ok,2017-09-14,83.45,83.5,79.0,80.0,156246
121,ok,2017-09-17,82.8,82.8,79.85,80.15,121338
122,ok,2017-09-18,80.85,95.75,80.35,93.25,373484
123,ok,2017-09-19,93.25,93.75,86.15,87.35,75766
124,ok,2017-09-20,90.0,90.0,84.95,86.15,55032
125,ok,2017-09-21,87.0,87.55,83.1,84.85,30504
126,ok,2017-09-24,84.85,86.0,79.5,81.65,69942
127,ok,2017-09-25,81.6,87.75,81.6,83.65,66926
128,ok,2017-09-26,85.0,88.75,81.2,82.35,41441
129,ok,2017-09-27,83.5,84.5,82.5,83.25,27316
130,ok,2017-09-28,83.0,84.85,80.0,80.9,57584
131,ok,2017-10-02,84.0,85.0,80.1,81.05,31036
132,ok,2017-10-03,81.1,87.75,81.05,83.75,165143
133,ok,2017-10-04,86.5,86.5,82.0,82.4,23357
134,ok,2017-10-05,83.0,83.85,81.0,81.65,42283
135,ok,2017-10-08,81.35,82.95,80.0,80.9,61923
136,ok,2017-10-09,81.75,82.8,80.0,80.95,38959
137,ok,2017-10-10,80.55,82.0,80.0,80.5,25213
