,s,t,o,h,l,c,v
0,ok,2021-09-15,72.9,75.45,72.6,73.25,35222
1,ok,2021-09-16,73.25,74.2,72.15,73.0,104509
2,ok,2021-09-19,72.0,75.8,70.5,71.2,103347
3,ok,2021-09-20,71.2,72.05,65.3,69.65,81369
4,ok,2021-09-21,68.05,71.25,68.05,70.25,68563
5,ok,2021-09-22,72.5,72.95,68.5,69.15,34844
6,ok,2021-09-23,73.35,73.35,68.1,69.55,64108
7,ok,2021-09-26,65.0,71.5,65.0,69.0,53486
8,ok,2021-09-27,69.3,70.9,67.25,69.0,63492
9,ok,2021-09-28,68.25,70.5,67.35,69.9,50118
10,ok,2021-09-29,71.0,71.95,68.15,70.25,62785
11,ok,2021-09-30,70.05,71.7,68.65,70.85,57021
12,ok,2021-10-03,70.85,74.95,70.3,71.5,221809
13,ok,2021-10-04,72.7,81.0,71.5,74.15,1594506
14,ok,2021-10-05,75.9,77.8,69.5,71.15,183506
15,ok,2021-10-06,73.8,73.8,69.3,70.1,125975
16,ok,2021-10-07,70.1,72.45,69.65,70.5,97508
17,ok,2021-10-10,69.3,71.0,69.0,69.7,91227
18,ok,2021-10-11,71.5,71.5,68.35,69.35,85797
19,ok,2021-10-12,70.7,70.7,68.0,68.55,64323
20,ok,2021-10-13,70.35,70.35,68.05,68.45,81233
21,ok,2021-10-17,65.8,71.0,65.8,68.5,147978
22,ok,2021-10-18,68.0,70.5,63.5,65.2,87456
23,ok,2021-10-19,65.2,67.3,65.0,66.75,68149
24,ok,2021-10-20,68.8,68.8,65.8,66.65,55006
25,ok,2021-10-21,66.1,69.0,66.0,66.2,48508
26,ok,2021-10-24,65.15,67.7,62.7,64.6,81120
27,ok,2021-10-25,65.9,66.9,63.25,64.95,26417
28,ok,2021-10-26,65.8,67.0,63.0,66.25,41829
29,ok,2021-10-27,67.6,67.6,64.2,64.5,16389
30,ok,2021-10-28,64.05,65.95,62.9,65.55,63062
31,ok,2021-10-31,66.9,66.9,57.85,63.3,77502
