,s,t,o,h,l,c,v
0,ok,2011-08-03,2.93,5.63,2.28,5.17,2350716880
1,ok,2011-08-04,5.1,5.58,4.18,4.28,449349600
2,ok,2011-08-07,4.33,5.13,4.13,5.13,333775560
3,ok,2011-08-08,5.15,5.71,4.66,5.48,276643400
4,ok,2011-08-09,5.53,5.96,5.48,5.68,286993480
5,ok,2011-08-10,5.7,6.19,5.14,5.57,316788240
6,ok,2011-08-11,5.63,5.84,4.8,4.84,233188160
7,ok,2011-08-15,4.65,5.81,4.44,5.78,375460240
8,ok,2011-08-16,5.58,6.42,5.32,5.82,315768640
9,ok,2011-08-17,5.74,6.13,5.03,5.17,187806400
10,ok,2011-08-18,5.1,5.31,4.13,4.13,225830640
11,ok,2011-08-21,4.0,4.24,3.51,4.11,212806000
12,ok,2011-08-22,4.13,4.32,3.46,3.99,300128080
13,ok,2011-08-23,3.97,3.98,3.59,3.59,72466200
14,ok,2011-08-24,3.38,3.7,3.23,3.5,139064320
15,ok,2011-08-25,3.37,3.61,3.15,3.33,143609480
16,ok,2011-08-28,3.4,3.66,3.4,3.65,68823240
17,ok,2011-08-29,3.71,3.9,3.61,3.81,66377680
18,ok,2011-09-01,3.85,3.85,3.5,3.6,44699880
19,ok,2011-09-04,3.5,3.65,3.42,3.44,13239080
20,ok,2011-09-05,3.44,3.59,3.36,3.52,15275440
21,ok,2011-09-06,3.53,3.69,3.47,3.65,16567960
22,ok,2011-09-07,3.58,3.85,3.51,3.73,18617280
23,ok,2011-09-08,3.71,3.77,3.61,3.72,5917280
24,ok,2011-09-11,3.59,3.7,3.58,3.64,2788680
25,ok,2011-09-12,3.64,3.75,3.63,3.65,2186640
26,ok,2011-09-13,3.57,3.82,3.57,3.78,6773880
27,ok,2011-09-14,3.81,3.81,3.63,3.71,3201800
28,ok,2011-09-15,3.75,3.76,3.66,3.68,764040
29,ok,2011-09-18,3.64,3.74,3.59,3.71,1549560
30,ok,2011-09-19,3.74,3.77,3.63,3.7,4283480
31,ok,2011-09-20,3.72,3.8,3.65,3.78,2505200
32,ok,2011-09-21,3.7,3.77,3.63,3.68,1854840
33,ok,2011-09-22,3.63,3.75,3.57,3.68,2465440
34,ok,2011-09-25,3.68,3.69,3.42,3.58,1692720
35,ok,2011-09-26,3.66,3.85,3.54,3.83,10260040
36,ok,2011-09-27,3.81,3.83,3.63,3.72,2867920
37,ok,2011-09-28,3.64,3.8,3.64,3.76,1248440
38,ok,2011-09-29,3.72,3.82,3.7,3.78,1460720
39,ok,2011-10-02,3.7,3.8,3.65,3.75,1222560
40,ok,2011-10-03,3.73,3.8,3.53,3.57,1067040
41,ok,2011-10-04,3.52,3.82,3.52,3.76,17706880
42,ok,2011-10-06,3.8,3.92,3.68,3.75,5547080
43,ok,2011-10-09,3.76,3.81,3.71,3.73,1315920
44,ok,2011-10-10,3.74,3.82,3.74,3.79,832680
45,ok,2011-10-11,3.8,3.89,3.5,3.74,1578480
46,ok,2011-10-12,3.79,3.8,3.74,3.78,174600
47,ok,2011-10-13,3.75,3.8,3.71,3.75,581200
48,ok,2011-10-16,3.81,3.81,3.7,3.71,80760
49,ok,2011-10-17,3.66,3.83,3.63,3.76,633400
50,ok,2011-10-18,3.65,3.96,3.65,3.92,2903040
51,ok,2011-10-19,3.85,4.1,3.79,4.07,5160160
52,ok,2011-10-20,4.0,4.1,3.7,4.02,1176880
53,ok,2011-10-23,3.98,4.05,3.97,4.0,3326240
54,ok,2011-10-24,3.97,4.05,3.9,3.92,162720
55,ok,2011-10-25,4.0,4.13,3.95,3.98,276360
56,ok,2011-10-27,4.05,4.17,3.96,4.0,357600
57,ok,2011-10-30,3.98,4.06,3.93,3.96,254200
58,ok,2011-10-31,4.05,4.05,3.94,3.98,393240
59,ok,2011-11-01,3.86,4.04,3.86,4.02,380800
60,ok,2011-11-02,3.98,4.1,3.96,4.06,286520
