,s,t,o,h,l,c,v
0,ok,2000-01-02,14.52,15.26,13.96,15.13,424476
1,ok,2000-01-03,14.52,14.97,14.19,14.77,437016
2,ok,2000-01-04,14.79,14.8,14.35,14.59,338508
3,ok,2000-01-05,14.41,14.69,14.3,14.53,325080
4,ok,2000-01-06,14.51,14.91,14.14,14.77,316116
5,ok,2000-01-09,14.08,14.49,13.99,14.03,421788
6,ok,2000-01-10,13.96,14.29,13.13,13.39,707460
7,ok,2000-01-11,14.46,14.46,14.46,14.46,6264
8,ok,2000-01-12,15.62,15.62,14.97,15.22,152064
9,ok,2000-01-13,15.47,15.74,14.52,15.47,152388
10,ok,2000-01-16,15.86,16.19,14.52,14.83,80652
11,ok,2000-01-17,14.63,14.77,14.41,14.49,114540
12,ok,2000-01-18,14.8,15.08,13.91,13.95,706752
13,ok,2000-01-19,14.35,14.69,14.14,14.29,1119012
14,ok,2000-01-20,14.24,14.52,14.24,14.35,596100
15,ok,2000-01-23,14.41,14.47,14.07,14.19,504612
16,ok,2000-01-24,13.99,14.24,13.51,13.63,322920
17,ok,2000-01-26,13.96,14.72,13.85,13.97,1260120
18,ok,2000-01-27,14.24,14.24,13.74,13.91,424404
19,ok,2000-01-30,14.24,14.24,13.47,13.81,840684
20,ok,2000-01-31,13.92,14.9,13.75,13.93,644580
21,ok,2000-02-01,15.04,15.04,14.3,14.65,936156
22,ok,2000-02-02,15.08,15.08,14.41,14.49,335676
23,ok,2000-02-03,14.66,14.66,14.19,14.4,153600
24,ok,2000-02-06,13.68,14.35,13.63,14.18,210360
25,ok,2000-02-07,13.97,14.18,13.4,13.54,470904
26,ok,2000-02-08,14.47,14.47,13.68,13.99,1029672
27,ok,2000-02-09,13.96,13.96,13.6,13.78,344688
28,ok,2000-02-10,14.12,14.12,13.4,13.45,252156
29,ok,2000-02-13,13.91,13.91,12.58,12.79,946404
30,ok,2000-02-14,12.73,12.79,12.34,12.69,463632
31,ok,2000-02-15,12.85,13.4,12.68,12.74,330300
32,ok,2000-02-16,12.73,13.13,12.68,12.87,241920
33,ok,2000-02-17,12.29,13.07,11.89,12.28,655572
34,ok,2000-02-20,12.34,12.4,11.85,11.95,392688
35,ok,2000-02-21,12.15,12.39,11.45,11.53,735648
36,ok,2000-02-22,12.17,12.24,11.73,11.92,1418328
37,ok,2000-02-23,12.17,12.55,11.79,11.84,536796
38,ok,2000-02-24,11.92,11.92,11.57,11.67,201408
39,ok,2000-02-27,11.51,12.39,11.51,12.31,1144764
40,ok,2000-02-28,12.45,13.15,12.01,12.37,3144540
41,ok,2000-02-29,12.29,12.45,12.17,12.39,527676
42,ok,2000-03-01,12.57,12.84,11.4,11.4,783264
43,ok,2000-03-02,11.17,11.45,10.49,10.61,836064
44,ok,2000-03-05,10.83,10.83,9.76,9.97,1754844
45,ok,2000-03-06,9.94,9.94,9.27,9.65,685752
46,ok,2000-03-07,9.66,9.75,9.21,9.4,366936
47,ok,2000-03-08,9.21,10.05,9.12,9.71,662880
48,ok,2000-03-09,9.55,9.77,9.44,9.59,454548
49,ok,2000-03-12,9.49,9.61,9.05,9.28,438936
50,ok,2000-03-13,9.49,9.49,8.66,9.32,1520976
51,ok,2000-03-14,9.0,10.07,9.0,9.77,629208
52,ok,2000-03-15,9.87,9.87,9.21,9.45,286464
53,ok,2000-03-20,9.44,9.44,9.12,9.31,580800
54,ok,2000-03-21,9.66,10.05,9.41,10.05,317820
55,ok,2000-03-22,10.55,10.86,10.33,10.82,333408
56,ok,2000-03-23,10.95,11.45,10.45,11.36,402732
57,ok,2000-03-26,11.28,11.28,10.55,10.65,192120
58,ok,2000-03-27,10.33,10.95,10.23,10.72,284292
59,ok,2000-03-28,11.0,11.0,10.5,10.69,131736
60,ok,2000-03-29,10.72,10.88,10.05,10.25,188520
61,ok,2000-03-30,10.11,10.72,10.11,10.65,102396
62,ok,2000-04-02,10.78,10.95,10.22,10.75,290952
63,ok,2000-04-03,10.78,10.78,9.89,10.3,754692
64,ok,2000-04-04,10.25,10.61,10.03,10.17,224940
