,s,t,o,h,l,c,v
0,ok,2000-01-02,12.85,12.92,12.26,12.92,804000
1,ok,2000-01-03,13.95,13.95,13.11,13.95,1352000
2,ok,2000-01-04,13.2,14.25,13.01,13.19,3260000
3,ok,2000-01-05,13.45,13.75,12.98,13.16,1214000
4,ok,2000-01-06,13.05,13.25,12.15,12.35,1338000
5,ok,2000-01-09,13.15,13.15,12.5,12.57,974000
6,ok,2000-01-10,12.55,12.55,11.67,11.79,1678000
7,ok,2000-01-11,12.15,12.44,11.81,11.93,1172000
8,ok,2000-01-12,12.03,12.08,11.25,11.34,782000
9,ok,2000-01-13,11.35,11.63,11.0,11.23,798000
10,ok,2000-01-16,11.6,11.95,11.37,11.45,850000
11,ok,2000-01-17,11.27,11.39,11.11,11.23,1502000
12,ok,2000-01-18,12.05,12.13,11.95,12.13,430000
13,ok,2000-01-19,13.05,13.1,12.75,13.1,318000
14,ok,2000-01-20,13.74,13.74,12.16,12.42,3354000
15,ok,2000-01-23,12.26,12.5,12.01,12.06,1206000
16,ok,2000-01-24,11.86,12.15,11.78,12.03,1506000
17,ok,2000-01-26,11.1,12.74,11.1,12.27,1496000
18,ok,2000-01-27,12.35,12.5,12.18,12.34,1026000
19,ok,2000-01-30,12.5,12.5,12.01,12.05,1150000
20,ok,2000-01-31,12.19,12.5,11.81,11.95,1758000
21,ok,2000-02-01,12.85,12.9,12.4,12.9,3424000
22,ok,2000-02-02,13.45,13.45,12.25,12.43,1516000
23,ok,2000-02-03,12.75,12.75,12.12,12.23,1310000
24,ok,2000-02-06,12.2,12.75,12.1,12.31,1796000
25,ok,2000-02-07,12.25,12.32,11.94,12.11,1848000
26,ok,2000-02-08,12.5,12.5,11.93,11.99,1040000
27,ok,2000-02-09,12.0,12.0,11.63,11.86,586000
28,ok,2000-02-10,11.95,11.95,11.47,11.61,770000
29,ok,2000-02-13,11.9,11.9,10.76,10.9,770000
30,ok,2000-02-14,10.68,11.0,10.47,10.88,1428000
31,ok,2000-02-15,11.0,11.1,10.8,10.87,968000
32,ok,2000-02-16,10.85,11.74,10.76,11.74,1014000
33,ok,2000-02-17,11.95,12.15,11.06,11.33,1132000
34,ok,2000-02-20,11.3,11.3,10.9,10.93,826000
35,ok,2000-02-21,10.75,11.25,10.66,10.91,1596000
36,ok,2000-02-22,11.4,11.73,10.66,10.79,1164000
37,ok,2000-02-23,10.93,11.05,10.57,10.67,532000
38,ok,2000-02-24,10.5,10.75,10.22,10.28,528000
39,ok,2000-02-27,10.03,10.45,9.76,10.25,656000
40,ok,2000-02-28,10.38,10.92,9.43,9.68,1634000
