,s,t,o,h,l,c,v
0,ok,2018-09-27,41.2,46.5,40.91,41.53,56754790
1,ok,2018-09-30,41.81,43.49,40.66,42.7,6246240
2,ok,2018-10-02,43.14,43.79,41.86,42.14,2797650
3,ok,2018-10-03,41.9,41.9,40.4,40.71,2323640
4,ok,2018-10-04,40.7,40.91,38.83,39.98,3735300
5,ok,2018-10-07,39.8,40.0,38.0,38.21,1343180
6,ok,2018-10-08,38.25,38.63,35.5,36.37,2516940
7,ok,2018-10-09,36.7,38.44,35.67,36.51,6824820
8,ok,2018-10-10,35.98,37.31,35.01,36.1,1919870
9,ok,2018-10-11,37.1,37.34,36.21,36.8,2589690
10,ok,2018-10-14,37.4,37.88,36.86,37.54,2281080
11,ok,2018-10-15,37.84,39.2,37.2,37.94,2342680
12,ok,2018-10-16,38.48,38.48,36.56,36.76,1099970
13,ok,2018-10-18,36.71,36.71,36.0,36.18,594940
14,ok,2018-10-21,36.39,36.49,35.5,35.58,508450
15,ok,2018-10-22,35.58,35.58,34.61,34.79,609410
16,ok,2018-10-23,35.3,35.46,34.4,34.55,556270
17,ok,2018-10-24,34.38,34.94,33.8,34.27,539670
18,ok,2018-10-25,34.32,35.3,34.1,34.66,613980
19,ok,2018-10-28,35.0,35.19,34.5,34.86,576260
20,ok,2018-10-29,35.09,35.75,34.71,34.84,777200
21,ok,2018-10-30,35.09,35.18,34.46,34.74,404030
22,ok,2018-10-31,34.91,36.2,34.7,35.64,1432030
23,ok,2018-11-01,36.06,37.12,35.87,36.09,1817750
24,ok,2018-11-04,36.3,36.9,36.2,36.57,433010
25,ok,2018-11-05,37.0,37.0,36.2,36.4,400310
26,ok,2018-11-06,36.74,37.36,36.5,37.14,499290
27,ok,2018-11-08,37.35,39.0,37.21,38.53,1340130
28,ok,2018-11-11,38.88,41.77,38.85,40.76,3099970
29,ok,2018-11-12,40.7,41.98,40.4,41.56,2841870
30,ok,2018-11-13,42.5,42.5,40.8,42.12,5148410
31,ok,2018-11-14,42.42,43.18,41.5,42.24,3015070
32,ok,2018-11-15,42.13,42.7,41.21,41.5,1028090
33,ok,2018-11-18,41.5,41.78,40.68,41.01,428820
34,ok,2018-11-19,40.8,41.38,40.0,40.19,487210
35,ok,2018-11-20,40.2,40.67,39.61,39.83,553750
36,ok,2018-11-21,39.97,40.2,38.7,38.88,382310
37,ok,2018-11-25,39.0,39.75,37.7,38.93,652240
38,ok,2018-11-26,38.5,41.1,38.5,40.85,1075660
39,ok,2018-11-27,41.0,42.6,41.0,42.36,2184300
40,ok,2018-11-28,42.5,43.49,41.8,42.78,1564090
41,ok,2018-11-29,42.8,43.1,42.26,42.98,674970
42,ok,2018-12-02,43.2,43.89,42.8,43.27,748810
43,ok,2018-12-03,43.3,43.3,42.13,42.6,384860
44,ok,2018-12-04,42.2,43.9,42.2,43.45,2394120
45,ok,2018-12-05,43.39,43.96,42.25,43.12,1958240
46,ok,2018-12-06,43.35,43.75,42.65,43.0,1430850
47,ok,2018-12-09,41.8,42.6,41.47,41.63,703030
