,s,t,o,h,l,c,v
0,ok,2021-11-07,150.0,157.75,150.0,157.65,280452
1,ok,2021-11-08,161.8,165.5,152.0,158.3,148381
2,ok,2021-11-09,152.15,161.0,150.4,151.55,43215
3,ok,2021-11-10,153.05,153.05,145.5,147.95,30594
4,ok,2021-11-11,148.75,151.55,144.9,148.55,19337
5,ok,2021-11-14,141.2,141.2,141.15,141.15,10018
6,ok,2021-11-15,134.1,141.9,134.1,134.1,72074
7,ok,2021-11-16,140.5,140.8,127.65,139.6,40129
8,ok,2021-11-17,144.0,144.0,132.65,136.5,25573
9,ok,2021-11-21,139.95,139.95,130.0,130.9,12130
10,ok,2021-11-22,124.4,137.4,124.4,137.25,17538
11,ok,2021-11-23,135.35,139.6,134.45,136.05,5718
12,ok,2021-11-24,137.0,137.0,132.75,134.0,8614
13,ok,2021-11-25,130.85,135.7,127.3,129.2,29775
14,ok,2021-11-28,132.2,132.2,122.75,122.8,22505
15,ok,2021-11-29,125.5,128.5,122.1,124.15,9385
16,ok,2021-11-30,125.8,125.8,118.55,122.3,8298
17,ok,2021-12-01,122.95,128.4,122.3,128.1,6615
18,ok,2021-12-02,128.6,134.5,128.15,133.6,17384
19,ok,2021-12-05,139.0,140.25,127.9,135.95,32933
20,ok,2021-12-06,138.75,140.05,129.8,136.3,18716
21,ok,2021-12-07,141.95,141.95,128.3,129.7,16848
22,ok,2021-12-08,130.0,132.0,126.5,127.25,14207
23,ok,2021-12-09,129.8,129.8,122.9,127.3,8547
24,ok,2021-12-12,134.8,135.0,127.5,127.8,24821
25,ok,2021-12-13,130.0,132.0,125.1,127.95,17379
26,ok,2021-12-14,127.95,128.65,126.0,128.25,27144
27,ok,2021-12-15,126.0,130.5,123.8,125.3,14376
28,ok,2021-12-16,127.95,127.95,113.6,118.05,24095
29,ok,2021-12-19,117.75,124.0,107.25,121.15,21023
30,ok,2021-12-20,118.2,128.9,118.2,126.5,19840
31,ok,2021-12-21,128.9,137.0,126.4,127.4,21521
32,ok,2021-12-22,129.8,133.0,122.6,128.75,6759
33,ok,2021-12-23,134.8,137.95,130.05,133.6,38209
34,ok,2021-12-26,133.6,137.95,130.95,136.2,8300
35,ok,2021-12-27,136.5,136.5,128.15,131.85,7922
36,ok,2021-12-28,128.7,137.15,128.7,136.1,15443
37,ok,2021-12-29,145.1,149.1,136.55,144.7,68592
38,ok,2021-12-30,150.5,153.0,141.0,144.5,70917
39,ok,2022-01-02,150.0,158.95,144.0,157.4,192604
40,ok,2022-01-03,158.0,162.4,154.0,156.7,75559
41,ok,2022-01-04,159.0,159.0,146.7,149.25,31546
42,ok,2022-01-05,150.9,151.95,144.7,148.3,27146
43,ok,2022-01-06,147.0,151.6,141.3,146.9,49859
44,ok,2022-01-09,149.0,149.8,144.15,147.2,10991
45,ok,2022-01-10,152.0,152.0,144.65,148.7,12009
46,ok,2022-01-11,148.0,150.9,145.5,147.8,22074
47,ok,2022-01-12,147.6,149.75,142.5,144.35,7923
48,ok,2022-01-13,144.4,148.0,143.35,145.75,8568
49,ok,2022-01-16,151.8,153.0,144.8,145.75,14320
50,ok,2022-01-17,145.75,147.95,142.0,143.0,9801
51,ok,2022-01-18,141.95,144.8,141.4,143.5,9141
52,ok,2022-01-19,143.4,145.55,138.05,139.3,13018
53,ok,2022-01-20,145.95,145.95,138.1,139.7,12560
54,ok,2022-01-23,137.0,139.35,125.75,132.05,30116
55,ok,2022-01-24,130.0,131.75,125.1,126.1,24049
56,ok,2022-01-26,121.1,135.0,121.1,124.6,27312
57,ok,2022-01-27,128.15,132.2,125.6,129.1,23193
58,ok,2022-01-30,136.9,142.0,131.9,141.9,50060
59,ok,2022-01-31,148.0,150.4,132.1,141.6,37570
60,ok,2022-02-01,142.25,147.35,139.95,143.9,13008
61,ok,2022-02-02,143.05,148.85,140.5,147.25,13642
62,ok,2022-02-03,148.5,148.5,138.0,139.7,17176
63,ok,2022-02-06,145.0,145.0,134.3,135.65,10994
64,ok,2022-02-07,137.0,138.5,130.0,131.4,10353
65,ok,2022-02-08,134.25,136.35,132.0,134.45,11584
66,ok,2022-02-09,135.95,135.95,126.1,131.25,24392
67,ok,2022-02-10,131.25,131.25,122.45,123.95,29077
68,ok,2022-02-13,125.0,129.9,115.7,121.15,21540
69,ok,2022-02-14,112.0,123.6,109.15,116.3,81999
70,ok,2022-02-15,116.3,120.0,115.9,118.25,17906
71,ok,2022-02-16,122.0,122.0,108.25,108.85,68909
72,ok,2022-02-17,110.45,114.25,107.05,109.45,38479
73,ok,2022-02-20,114.5,114.5,102.35,104.85,30196
74,ok,2022-02-21,95.3,101.7,95.25,99.25,64642
75,ok,2022-02-22,99.85,109.8,98.55,103.8,38242
76,ok,2022-02-23,102.5,102.5,95.25,96.95,45931
77,ok,2022-02-24,99.75,111.9,98.1,106.25,28194
78,ok,2022-02-27,107.8,111.5,102.25,106.5,41312
79,ok,2022-03-01,101.7,107.5,101.0,102.35,34611
80,ok,2022-03-02,104.8,109.75,99.1,106.35,40028
81,ok,2022-03-03,109.5,109.5,103.0,106.85,11462
82,ok,2022-03-06,93.05,104.0,93.05,99.35,44680
83,ok,2022-03-07,100.3,104.0,97.9,100.2,18203
84,ok,2022-03-08,101.85,120.2,99.35,118.0,112025
85,ok,2022-03-09,118.0,119.9,108.0,109.5,65341
