,s,t,o,h,l,c,v
0,ok,2010-04-11,150.0,167.4,124.0,159.1,22110514
1,ok,2010-04-12,159.0,159.0,152.0,154.4,3371371
2,ok,2010-04-14,154.05,156.4,151.7,153.35,957308
3,ok,2010-04-15,153.1,153.1,137.2,140.0,1068372
4,ok,2010-04-18,135.35,145.0,133.0,138.1,700175
5,ok,2010-04-19,139.75,140.35,132.0,133.7,236207
6,ok,2010-04-20,134.0,134.0,130.5,131.3,125554
7,ok,2010-04-21,131.4,131.4,126.1,127.2,142223
8,ok,2010-04-22,126.0,126.0,114.55,118.15,479609
9,ok,2010-04-25,118.5,137.25,113.35,133.4,3182346
10,ok,2010-04-26,132.4,132.8,122.4,125.75,1039992
11,ok,2010-04-27,124.0,129.3,120.5,123.5,514618
12,ok,2010-04-28,124.0,127.7,123.6,125.45,176943
13,ok,2010-04-29,126.0,127.95,120.55,124.3,281479
14,ok,2010-05-02,125.5,137.8,124.0,127.65,1714033
15,ok,2010-05-03,127.9,133.75,126.1,130.15,731734
16,ok,2010-05-04,128.0,129.25,124.55,126.65,430793
17,ok,2010-05-05,127.4,130.95,125.4,126.85,287571
18,ok,2010-05-06,125.1,126.0,121.2,122.3,80035
19,ok,2010-05-09,124.9,126.65,123.1,125.95,561668
20,ok,2010-05-10,126.1,130.0,125.75,126.3,265012
21,ok,2010-05-11,126.9,127.9,124.1,125.15,71671
22,ok,2010-05-12,126.85,126.85,122.2,123.35,50372
23,ok,2010-05-13,122.1,124.0,117.55,119.15,155782
24,ok,2010-05-16,118.95,118.95,112.1,114.8,64116
25,ok,2010-05-17,114.5,127.5,112.6,119.1,239461
26,ok,2010-05-18,117.75,124.8,114.1,116.1,98314
27,ok,2010-05-19,116.3,121.0,113.15,114.1,35163
28,ok,2010-05-20,112.1,112.1,105.5,106.2,65552
29,ok,2010-05-23,108.7,126.8,107.4,121.35,535208
30,ok,2010-05-24,120.0,122.0,112.0,112.95,241116
31,ok,2010-05-25,115.5,121.0,114.0,115.7,117653
32,ok,2010-05-26,116.9,118.5,112.4,114.65,48080
33,ok,2010-05-27,116.3,119.6,115.9,116.35,46429
34,ok,2010-05-30,115.0,121.5,115.0,117.45,79008
35,ok,2010-05-31,116.35,120.25,114.0,114.85,51664
36,ok,2010-06-01,120.0,120.0,113.2,114.5,32241
37,ok,2010-06-02,116.9,119.0,114.5,114.95,47108
38,ok,2010-06-03,115.9,116.85,112.25,113.5,23804
39,ok,2010-06-06,107.0,116.45,107.0,112.45,62178
40,ok,2010-06-07,112.9,115.9,112.55,112.85,47547
41,ok,2010-06-08,113.5,127.95,113.5,120.25,1196188
42,ok,2010-06-09,120.35,125.35,119.3,123.1,557953
43,ok,2010-06-10,120.9,124.7,119.0,119.65,227236
44,ok,2010-06-13,120.9,124.9,120.4,121.8,77448
45,ok,2010-06-14,123.9,126.5,121.0,122.6,133508
46,ok,2010-06-15,123.25,125.4,120.3,120.9,47669
47,ok,2010-06-16,121.85,124.85,120.9,122.35,51400
