,s,t,o,h,l,c,v
0,ok,2000-01-02,58.25,58.25,58.25,58.25,200
1,ok,2000-01-03,62.95,62.95,62.95,62.95,250
2,ok,2000-01-04,67.95,68.0,63.0,67.0,12150
3,ok,2000-01-05,69.0,69.9,62.0,63.35,8600
4,ok,2000-01-06,58.5,62.1,58.5,58.5,750
5,ok,2000-01-09,55.0,55.0,53.85,53.85,1350
6,ok,2000-01-10,50.0,50.1,49.55,49.55,1850
7,ok,2000-01-11,48.5,50.25,47.0,50.25,1350
8,ok,2000-01-12,50.25,52.75,50.25,52.45,650
9,ok,2000-01-13,51.0,52.45,51.0,51.9,1400
10,ok,2000-01-16,52.0,52.0,51.0,51.05,950
11,ok,2000-01-17,49.25,51.0,48.0,51.0,850
12,ok,2000-01-18,49.95,50.0,49.95,50.0,300
13,ok,2000-01-19,50.0,50.0,47.0,47.0,1700
14,ok,2000-01-20,48.45,50.0,47.75,49.0,950
15,ok,2000-01-23,48.0,48.05,47.8,48.0,900
16,ok,2000-01-24,49.0,49.0,46.6,46.6,1150
17,ok,2000-01-26,49.0,50.0,49.0,50.0,2000
18,ok,2000-01-27,47.5,51.95,47.5,50.0,1250
19,ok,2000-01-30,48.0,50.0,46.6,46.6,400
20,ok,2000-01-31,47.95,48.9,45.0,45.5,850
21,ok,2000-02-01,47.0,47.0,47.0,47.0,100
22,ok,2000-02-07,43.5,43.5,43.5,43.5,100
23,ok,2000-02-08,47.0,47.0,47.0,47.0,3750
24,ok,2000-02-09,49.9,50.8,49.65,50.8,1250
25,ok,2000-02-10,48.5,49.5,48.5,48.5,700
26,ok,2000-02-13,47.0,47.0,45.0,45.0,1500
27,ok,2000-02-14,42.1,44.5,41.8,42.7,250
28,ok,2000-02-15,41.05,41.05,41.0,41.0,200
29,ok,2000-02-16,42.0,42.0,41.0,41.0,1000
30,ok,2000-02-17,42.0,44.25,41.0,41.0,500
31,ok,2000-02-20,44.0,44.0,38.6,38.6,450
32,ok,2000-02-21,36.0,36.1,36.0,36.1,1000
33,ok,2000-02-22,36.2,36.2,35.0,35.0,250
34,ok,2000-02-27,35.0,37.0,33.55,37.0,400
35,ok,2000-02-28,36.0,36.0,35.0,35.0,3600
36,ok,2000-03-01,34.85,34.85,33.5,33.5,250
37,ok,2000-03-02,31.5,35.5,31.5,35.5,8200
38,ok,2000-03-05,36.55,37.0,33.5,34.15,550
39,ok,2000-03-06,33.1,35.0,33.1,35.0,400
40,ok,2000-03-07,34.0,34.05,34.0,34.0,200
41,ok,2000-03-08,32.0,32.9,31.5,31.6,450
42,ok,2000-03-09,32.05,32.6,32.05,32.6,600
43,ok,2000-03-12,33.5,33.5,30.25,30.25,400
44,ok,2000-03-13,30.0,31.25,28.75,28.85,1550
45,ok,2000-03-14,31.0,31.0,29.15,29.95,750
46,ok,2000-03-15,28.65,30.0,28.65,30.0,1500
47,ok,2000-03-20,27.75,27.75,27.7,27.7,1200
48,ok,2000-03-21,28.1,28.1,28.1,28.1,100
49,ok,2000-03-22,27.65,30.0,27.65,30.0,1000
50,ok,2000-03-23,29.9,30.0,29.9,29.95,100
51,ok,2000-03-26,30.0,30.0,28.0,28.75,1400
52,ok,2000-03-27,26.5,30.0,26.5,28.5,850
53,ok,2000-03-28,28.0,28.0,26.4,27.75,650
54,ok,2000-03-29,28.0,28.0,27.5,28.0,300
55,ok,2000-03-30,28.0,28.1,27.95,28.1,1750
56,ok,2000-04-03,28.0,28.0,26.15,26.15,200
57,ok,2000-04-04,26.2,26.2,26.15,26.15,750
