,s,t,o,h,l,c,v
0,ok,2000-01-02,20.82,20.84,18.13,20.76,8640
1,ok,2000-01-03,21.06,21.89,20.16,21.06,8640
2,ok,2000-01-04,20.76,20.76,20.69,20.69,2660
3,ok,2000-01-05,19.72,20.69,19.72,20.47,7310
4,ok,2000-01-06,20.46,20.46,20.46,20.46,2660
5,ok,2000-01-09,19.94,19.94,19.94,19.94,1330
6,ok,2000-01-10,19.26,19.56,18.66,19.04,12630
7,ok,2000-01-11,18.88,19.56,18.88,19.56,3320
8,ok,2000-01-16,18.22,18.22,18.13,18.13,2660
9,ok,2000-01-17,18.51,19.48,18.45,19.48,1990
10,ok,2000-01-18,19.41,19.56,18.88,18.88,3320
11,ok,2000-01-19,19.56,19.56,19.03,19.09,5320
12,ok,2000-01-20,18.28,18.66,18.13,18.66,9970
13,ok,2000-01-23,18.06,18.58,18.06,18.13,9970
14,ok,2000-01-24,17.08,18.06,16.93,18.05,7980
15,ok,2000-01-26,18.06,18.06,17.72,17.72,2660
16,ok,2000-01-30,17.68,18.06,17.3,17.3,2660
17,ok,2000-01-31,17.0,17.0,16.93,16.93,2660
18,ok,2000-02-01,17.3,17.3,16.25,16.25,14620
19,ok,2000-02-02,16.7,16.93,15.95,15.95,7310
20,ok,2000-02-03,16.08,16.55,15.87,15.87,4650
21,ok,2000-02-06,14.61,16.55,14.61,16.55,1990
22,ok,2000-02-07,15.42,16.17,15.42,16.17,6650
23,ok,2000-02-08,16.1,16.17,15.51,15.53,9300
24,ok,2000-02-09,15.42,15.84,15.42,15.8,3990
25,ok,2000-02-10,16.1,16.17,15.8,16.02,3320
26,ok,2000-02-13,16.02,16.02,15.65,15.65,1330
27,ok,2000-02-14,15.05,16.4,14.9,15.51,139570
28,ok,2000-02-15,15.72,15.72,14.67,14.67,6650
29,ok,2000-02-17,14.29,15.01,13.54,13.99,135580
30,ok,2000-02-20,13.54,14.29,13.54,14.29,2660
31,ok,2000-02-21,13.34,13.92,13.34,13.54,19270
32,ok,2000-02-22,12.79,14.29,12.79,14.29,3990
33,ok,2000-02-23,14.29,14.29,14.28,14.29,3320
34,ok,2000-02-24,14.29,14.29,13.64,13.64,7980
35,ok,2000-02-27,13.54,13.54,13.39,13.47,2660
36,ok,2000-02-28,13.84,13.84,12.64,12.64,28580
37,ok,2000-02-29,13.62,13.65,13.62,13.65,3320
38,ok,2000-03-01,13.54,13.54,12.56,12.56,7980
39,ok,2000-03-02,11.71,11.71,11.56,11.56,5320
40,ok,2000-03-05,12.04,12.41,11.81,11.81,32570
41,ok,2000-03-06,11.21,11.21,10.91,10.91,13290
42,ok,2000-03-07,11.13,11.13,10.31,10.31,13960
43,ok,2000-03-08,10.34,10.46,10.31,10.38,4650
44,ok,2000-03-09,10.01,10.76,9.97,10.76,5320
45,ok,2000-03-12,10.16,10.38,10.08,10.08,36550
46,ok,2000-03-13,9.93,10.83,9.93,10.63,28580
47,ok,2000-03-14,11.32,11.32,11.32,11.32,1330
48,ok,2000-03-15,12.23,12.23,12.23,12.23,13960
49,ok,2000-03-20,12.41,13.2,12.34,13.17,19270
50,ok,2000-03-21,14.14,14.14,12.38,13.92,11960
51,ok,2000-03-22,13.32,13.32,13.32,13.32,2660
52,ok,2000-03-23,13.02,13.62,13.02,13.09,3320
53,ok,2000-03-26,12.79,13.09,12.79,12.86,3990
54,ok,2000-03-27,12.57,13.17,12.57,13.15,11960
55,ok,2000-03-28,12.64,12.64,12.64,12.64,2660
56,ok,2000-03-29,12.34,12.34,12.34,12.34,660
57,ok,2000-03-30,12.44,12.44,12.44,12.44,1330
58,ok,2000-04-02,12.79,12.86,12.3,12.82,4650
59,ok,2000-04-03,12.79,12.79,12.42,12.42,2660
60,ok,2000-04-04,12.11,12.26,12.11,12.19,1990
61,ok,2000-04-05,12.71,12.71,12.5,12.5,1330
62,ok,2000-04-06,12.79,12.98,12.79,12.98,4650
63,ok,2000-04-09,12.94,13.17,12.94,13.17,1330
64,ok,2000-04-11,13.13,13.13,13.07,13.08,2660
65,ok,2000-04-12,12.98,13.02,12.43,12.64,8640
66,ok,2000-04-17,12.41,12.94,12.41,12.77,7980
67,ok,2000-04-18,12.11,12.11,12.04,12.04,1330
68,ok,2000-04-25,12.64,12.64,12.03,12.04,4650
69,ok,2000-04-26,11.32,11.32,11.32,11.32,660
70,ok,2000-04-27,10.65,10.65,10.65,10.65,660
71,ok,2000-05-08,10.25,10.25,10.23,10.23,1330
72,ok,2000-05-14,10.89,10.89,10.89,10.89,660
73,ok,2000-05-15,10.83,10.89,10.83,10.89,1990
74,ok,2000-05-18,11.66,11.66,11.66,11.66,660
75,ok,2000-05-21,12.04,12.04,11.29,11.29,2660
76,ok,2000-05-22,11.13,11.13,11.13,11.13,660
77,ok,2000-05-23,10.63,10.63,10.61,10.61,1330
78,ok,2000-05-24,11.13,11.13,11.13,11.13,660
79,ok,2000-05-25,11.02,11.06,11.02,11.06,1330
80,ok,2000-05-28,11.77,11.77,11.77,11.77,660
81,ok,2000-05-29,11.66,12.04,11.44,11.44,4650
82,ok,2000-05-30,12.19,12.19,12.19,12.19,660
83,ok,2000-05-31,11.96,12.19,11.89,11.89,11960
84,ok,2000-06-01,12.71,12.71,12.71,12.71,660
85,ok,2000-06-04,13.47,13.47,12.06,12.06,2660
86,ok,2000-06-05,11.66,12.06,11.66,12.06,8640
87,ok,2000-06-06,12.64,12.64,12.04,12.11,3320
88,ok,2000-06-07,11.89,12.04,11.89,12.04,13290
89,ok,2000-06-08,12.41,12.41,12.41,12.41,660
90,ok,2000-06-11,12.11,12.11,12.11,12.11,5320
91,ok,2000-06-12,12.11,12.11,12.11,12.11,2660
92,ok,2000-06-13,12.11,12.15,12.11,12.11,101020
93,ok,2000-06-14,12.11,12.11,12.11,12.11,660
94,ok,2000-06-15,11.89,12.11,11.82,12.11,41870
95,ok,2000-06-19,11.29,12.11,11.29,12.11,49180
96,ok,2000-06-22,11.21,11.21,11.21,11.21,1330
97,ok,2000-06-26,11.21,11.21,11.21,11.21,660
98,ok,2000-06-27,11.13,11.13,11.13,11.13,660
99,ok,2000-06-29,10.98,10.98,10.98,10.98,1330
100,ok,2000-07-02,10.7,10.7,10.68,10.68,2660
101,ok,2000-07-03,10.61,10.61,10.61,10.61,1990
102,ok,2000-07-05,10.98,10.98,10.98,10.98,660
103,ok,2000-07-10,10.16,10.16,10.16,10.16,1990
104,ok,2000-07-13,10.16,10.53,9.4,9.78,4650
105,ok,2000-07-16,9.48,10.16,9.48,10.16,3320
106,ok,2000-07-17,9.86,10.53,9.86,10.53,7310
107,ok,2000-07-18,10.16,10.16,10.16,10.16,13290
108,ok,2000-07-19,10.97,10.97,10.97,10.97,1330
109,ok,2000-07-23,11.17,11.25,11.17,11.21,1990
110,ok,2000-07-24,10.74,11.21,10.74,11.13,3990
111,ok,2000-07-25,11.36,11.36,11.36,11.36,2660
112,ok,2000-07-30,10.53,10.53,10.46,10.46,1330
113,ok,2000-07-31,10.31,10.38,10.31,10.34,3990
114,ok,2000-08-01,10.53,10.53,10.53,10.53,660
115,ok,2000-08-02,10.53,10.53,10.53,10.53,2660
116,ok,2000-08-06,10.53,10.53,10.53,10.53,1330
117,ok,2000-08-07,10.31,11.13,10.31,11.13,5980
118,ok,2000-08-08,10.68,10.68,10.68,10.68,4650
119,ok,2000-08-09,10.76,11.29,10.76,11.27,12630
120,ok,2000-08-10,11.29,11.44,11.29,11.37,9970
121,ok,2000-08-13,10.93,11.29,10.93,11.22,3990
122,ok,2000-08-15,10.99,11.29,10.99,11.13,1330
123,ok,2000-08-16,11.29,11.29,11.29,11.29,1330
124,ok,2000-08-17,11.13,11.13,11.13,11.13,3320
125,ok,2000-08-20,11.21,11.21,11.13,11.13,1990
126,ok,2000-08-21,11.13,11.13,11.13,11.13,660
127,ok,2000-08-22,11.44,11.51,11.4,11.4,1990
128,ok,2000-08-24,11.51,11.51,11.44,11.44,1330
129,ok,2000-08-28,11.44,11.44,11.44,11.44,3060
130,ok,2000-08-29,11.51,11.51,11.51,11.51,1330
131,ok,2000-09-04,12.11,12.34,12.11,12.34,800
132,ok,2000-09-05,13.02,13.33,13.02,13.33,1000
133,ok,2000-09-10,13.54,13.54,13.54,13.54,1330
134,ok,2000-09-11,13.39,13.39,13.17,13.17,800
135,ok,2000-09-12,13.77,13.77,13.77,13.77,4080
136,ok,2000-09-14,13.54,13.77,13.54,13.77,4320
137,ok,2000-09-17,12.71,12.71,12.71,12.71,6650
138,ok,2000-09-18,12.42,12.5,12.41,12.5,9970
139,ok,2000-09-21,12.45,12.45,12.41,12.41,4390
140,ok,2000-09-25,12.04,12.04,12.04,12.04,660
141,ok,2000-09-28,11.29,12.04,11.29,11.36,1060
142,ok,2000-10-02,10.53,10.53,10.53,10.53,270
143,ok,2000-10-04,10.5,10.5,10.5,10.5,2660
144,ok,2000-10-05,10.61,10.61,10.53,10.54,1330
145,ok,2000-10-08,10.53,10.53,10.16,10.16,2660
146,ok,2000-10-09,9.71,10.08,9.71,10.08,1130
147,ok,2000-10-11,10.16,10.76,10.16,10.76,600
148,ok,2000-10-15,10.01,10.01,10.01,10.01,2660
149,ok,2000-10-16,9.63,10.01,9.63,10.01,2660
150,ok,2000-10-17,9.59,9.59,9.59,9.59,1330
151,ok,2000-10-18,9.63,9.63,9.63,9.63,660
152,ok,2000-10-19,10.16,10.16,10.16,10.16,1340
153,ok,2000-10-22,10.16,10.16,10.16,10.16,330
154,ok,2000-10-23,9.41,9.41,9.4,9.4,1330
155,ok,2000-10-24,10.16,10.16,10.16,10.16,70
156,ok,2000-10-29,10.91,10.91,10.16,10.16,530
157,ok,2000-10-30,9.41,10.07,9.41,9.71,2790
158,ok,2000-11-01,10.48,10.48,10.48,10.48,1330
159,ok,2000-11-02,10.76,10.76,10.76,10.76,130
160,ok,2000-11-05,10.16,10.16,10.16,10.16,660
161,ok,2000-11-06,10.83,10.83,10.53,10.53,3890
162,ok,2000-11-08,10.01,10.01,9.94,9.94,730
