,s,t,o,h,l,c,v
0,ok,2006-02-21,59.93,65.07,44.01,44.97,103266315
1,ok,2006-02-22,46.1,46.1,42.08,43.43,37973500
2,ok,2006-02-23,43.66,45.45,42.86,44.74,23451390
3,ok,2006-02-26,44.9,44.9,43.26,43.46,6243100
4,ok,2006-02-27,43.33,43.66,41.87,42.22,3011650
5,ok,2006-02-28,42.28,42.94,41.5,42.39,3700775
6,ok,2006-03-01,42.79,43.99,41.76,42.06,2733315
7,ok,2006-03-02,42.16,42.31,41.34,41.94,1794830
8,ok,2006-03-05,42.0,43.43,41.52,42.79,2363555
9,ok,2006-03-06,42.99,43.04,41.75,42.45,1332215
10,ok,2006-03-07,42.58,43.79,41.33,42.89,3097530
11,ok,2006-03-08,43.16,48.08,42.98,47.34,14863500
12,ok,2006-03-09,48.14,48.64,45.43,45.77,3366495
13,ok,2006-03-12,45.65,45.82,44.03,44.21,1076495
14,ok,2006-03-13,44.41,44.7,43.33,43.54,565765
15,ok,2006-03-15,43.66,44.57,42.99,43.24,888530
16,ok,2006-03-16,43.17,43.82,42.99,43.06,488915
17,ok,2006-03-19,42.33,45.05,42.27,43.61,1973860
18,ok,2006-03-20,43.33,44.97,43.33,44.4,960580
19,ok,2006-03-21,43.82,48.92,43.82,48.32,8966445
20,ok,2006-03-22,48.52,50.51,46.98,49.84,11096725
21,ok,2006-03-23,49.8,50.56,47.59,49.82,4285550
22,ok,2006-03-26,49.88,53.29,48.81,52.18,3579615
23,ok,2006-03-27,52.95,52.95,47.36,48.51,2021235
24,ok,2006-03-28,48.37,50.63,47.91,48.86,1774260
25,ok,2006-03-29,49.04,49.39,47.82,48.28,916065
26,ok,2006-03-30,48.64,49.8,48.14,48.88,847040
27,ok,2006-04-02,48.97,49.42,47.92,48.42,702745
28,ok,2006-04-03,48.64,48.75,47.81,48.06,324210
29,ok,2006-04-04,47.97,48.97,47.97,48.63,207205
30,ok,2006-04-06,48.8,49.47,47.25,47.78,287210
31,ok,2006-04-09,48.29,48.29,47.14,47.33,154115
32,ok,2006-04-11,47.48,48.14,46.81,47.64,284020
33,ok,2006-04-12,47.14,47.64,44.82,45.53,349000
34,ok,2006-04-16,45.65,46.78,45.32,46.22,111000
35,ok,2006-04-17,47.31,48.47,45.69,46.39,426000
36,ok,2006-04-18,46.38,48.47,46.38,47.33,524940
37,ok,2006-04-19,47.31,52.27,47.31,51.26,3366450
38,ok,2006-04-20,51.46,51.46,49.5,50.31,739565
