,s,t,o,h,l,c,v
0,ok,2000-01-02,116.67,122.17,116.67,122.17,12600
1,ok,2000-01-03,131.5,131.5,119.17,123.75,10200
2,ok,2000-01-04,124.83,124.83,117.67,120.92,9000
3,ok,2000-01-05,120.0,123.33,120.0,123.03,6000
4,ok,2000-01-06,122.0,122.0,117.83,120.83,10200
5,ok,2000-01-09,116.67,123.33,116.67,123.33,15600
6,ok,2000-01-10,117.08,121.67,116.67,118.0,7200
7,ok,2000-01-11,116.83,119.67,116.67,117.42,4200
8,ok,2000-01-12,116.67,121.67,116.67,121.67,10200
9,ok,2000-01-13,117.5,120.83,116.67,120.17,12600
10,ok,2000-01-16,119.33,120.0,119.33,120.0,2400
11,ok,2000-01-17,117.37,117.37,116.67,116.67,3600
12,ok,2000-01-18,116.68,116.83,116.67,116.83,4800
13,ok,2000-01-19,116.67,116.67,116.67,116.67,1200
14,ok,2000-01-20,118.33,118.33,116.67,116.67,4200
15,ok,2000-01-23,116.67,117.98,116.67,116.81,7200
16,ok,2000-01-24,116.67,117.08,115.83,115.83,72000
17,ok,2000-01-26,116.67,116.67,115.0,115.0,10200
18,ok,2000-01-27,114.67,114.67,114.67,114.67,600
19,ok,2000-01-30,112.5,115.0,112.5,114.17,63000
20,ok,2000-01-31,110.35,115.82,110.0,115.82,6000
21,ok,2000-02-01,116.67,116.67,112.5,112.5,1200
22,ok,2000-02-02,115.83,115.83,109.19,109.19,2400
23,ok,2000-02-03,112.5,112.5,112.5,112.5,600
24,ok,2000-02-06,112.5,112.5,109.17,109.17,1200
25,ok,2000-02-07,108.33,109.17,108.33,108.75,1800
26,ok,2000-02-08,112.5,112.5,108.33,108.33,3600
27,ok,2000-02-09,110.83,112.45,110.83,111.67,34800
28,ok,2000-02-10,111.67,115.83,110.83,110.83,20400
29,ok,2000-02-13,105.34,110.0,105.0,105.0,4800
30,ok,2000-02-14,104.17,111.67,104.17,109.92,119400
31,ok,2000-02-15,110.83,110.83,109.17,110.83,2400
32,ok,2000-02-16,108.35,108.35,108.33,108.33,1800
33,ok,2000-02-17,110.83,110.83,108.33,108.33,1800
34,ok,2000-02-20,115.0,115.83,110.83,111.67,120000
35,ok,2000-02-21,110.83,113.33,110.83,110.83,132600
36,ok,2000-02-22,103.5,118.32,103.5,112.52,64800
37,ok,2000-02-23,114.17,114.17,111.67,112.5,27000
38,ok,2000-02-24,110.83,111.67,110.83,111.66,60600
39,ok,2000-02-27,110.83,110.83,110.83,110.83,1800
40,ok,2000-02-28,110.83,114.83,110.83,110.83,12000
41,ok,2000-02-29,110.83,112.17,103.5,112.17,6000
42,ok,2000-03-01,110.83,111.67,106.67,108.33,115200
43,ok,2000-03-02,108.33,112.17,108.33,108.37,6600
