,s,t,o,h,l,c,v
0,ok,2003-12-15,19.9,23.2,18.6,22.2,1842178
1,ok,2003-12-16,23.0,26.65,23.0,26.65,2373218
2,ok,2003-12-17,27.9,32.0,27.5,32.0,2237013
3,ok,2003-12-18,34.4,38.4,30.5,32.05,2654124
4,ok,2003-12-21,33.0,33.0,26.15,29.35,1632603
5,ok,2003-12-22,30.2,33.65,30.2,30.9,1784624
6,ok,2003-12-23,32.0,32.0,29.5,30.05,727845
7,ok,2003-12-25,30.4,30.4,25.0,28.75,802803
8,ok,2003-12-28,28.7,29.4,26.75,27.35,778701
9,ok,2003-12-29,27.95,28.4,25.05,25.4,692796
10,ok,2003-12-30,24.0,29.5,24.0,28.05,1073172
11,ok,2003-12-31,28.5,29.0,27.5,28.1,382027
12,ok,2004-01-01,28.8,28.8,27.3,27.65,402269
13,ok,2004-01-04,27.5,28.3,26.05,26.35,448586
14,ok,2004-01-05,26.0,27.0,23.5,24.4,348649
15,ok,2004-01-06,24.9,27.0,24.05,26.05,480363
16,ok,2004-01-07,26.25,27.7,26.0,26.55,268135
17,ok,2004-01-08,27.45,30.0,26.15,28.6,716760
18,ok,2004-01-11,28.9,30.0,28.3,28.9,631789
19,ok,2004-01-12,29.45,31.85,28.65,31.25,887907
20,ok,2004-01-13,31.6,33.85,31.25,33.3,1553647
21,ok,2004-01-14,33.4,33.5,31.05,31.3,349245
22,ok,2004-01-15,31.75,31.9,28.55,29.0,287891
23,ok,2004-01-18,28.5,30.5,26.0,28.75,326539
24,ok,2004-01-19,29.5,30.4,26.55,26.95,429961
25,ok,2004-01-20,26.75,28.0,23.5,24.3,428037
26,ok,2004-01-21,24.0,25.9,20.25,21.0,352447
27,ok,2004-01-22,19.9,25.2,19.5,23.8,393499
28,ok,2004-01-26,24.9,26.2,24.3,25.3,242827
29,ok,2004-01-27,25.5,25.5,23.5,23.85,156159
30,ok,2004-01-28,24.25,24.5,23.0,23.4,115530
31,ok,2004-01-29,24.25,24.25,22.1,22.2,158993
32,ok,2004-02-02,21.5,23.75,20.25,21.5,197185
33,ok,2004-02-03,20.75,25.8,20.75,24.8,250473
34,ok,2004-02-04,25.0,25.95,23.75,24.0,205066
35,ok,2004-02-05,24.5,25.0,23.4,24.05,110062
36,ok,2004-02-08,24.1,25.5,24.05,25.2,111228
37,ok,2004-02-09,26.5,26.5,24.0,24.45,116290
38,ok,2004-02-10,24.5,24.85,24.0,24.1,65101
39,ok,2004-02-11,24.5,24.7,24.0,24.15,76763
40,ok,2004-02-12,24.0,25.7,23.8,24.9,252129
41,ok,2004-02-15,24.75,25.2,24.25,24.45,155914
42,ok,2004-02-16,26.4,26.4,24.65,24.95,255009
