,s,t,o,h,l,c,v
0,ok,2016-10-09,13.44,13.44,12.4,13.44,430000
1,ok,2016-10-12,15.76,16.12,15.1,16.1,370000
2,ok,2016-10-13,15.2,16.48,15.0,16.0,80000
3,ok,2016-10-16,15.8,16.0,15.7,15.8,50000
4,ok,2016-10-17,15.4,15.7,15.4,15.7,30000
5,ok,2016-10-18,15.5,15.5,13.24,13.48,50000
6,ok,2016-10-19,14.56,14.56,13.24,13.24,160000
7,ok,2016-10-20,13.4,13.46,13.4,13.4,100000
8,ok,2016-10-23,13.9,13.9,13.9,13.9,20000
9,ok,2016-10-24,14.62,14.62,14.4,14.4,20000
10,ok,2016-10-25,14.6,14.7,14.6,14.7,20000
11,ok,2016-10-26,14.7,14.7,14.0,14.68,40000
12,ok,2016-10-27,15.3,15.3,15.3,15.3,10000
13,ok,2016-10-29,15.46,15.46,15.46,15.46,10000
14,ok,2016-11-01,15.2,15.2,15.2,15.2,20000
15,ok,2016-11-03,14.2,15.38,14.2,15.38,30000
16,ok,2016-11-06,14.0,15.5,14.0,14.72,90000
17,ok,2016-11-07,15.5,15.6,15.5,15.6,20000
18,ok,2016-11-08,14.0,14.0,13.6,13.8,30000
19,ok,2016-11-10,14.76,14.76,14.4,14.4,20000
20,ok,2016-11-14,14.4,14.4,14.4,14.4,10000
21,ok,2016-11-21,13.06,13.06,13.06,13.06,10000
22,ok,2016-11-27,13.2,13.2,13.2,13.2,10000
23,ok,2016-12-06,14.28,14.28,14.28,14.28,10000
24,ok,2016-12-07,15.2,15.2,15.0,15.0,20000
25,ok,2016-12-08,15.28,15.28,15.0,15.28,30000
26,ok,2016-12-11,15.6,15.6,15.6,15.6,10000
27,ok,2016-12-12,15.62,17.0,15.62,17.0,60000
28,ok,2016-12-15,16.4,16.4,16.4,16.4,10000
29,ok,2016-12-19,16.8,16.8,16.8,16.8,150000
30,ok,2016-12-20,16.6,17.2,16.4,17.2,70000
31,ok,2016-12-21,17.2,17.2,17.2,17.2,10000
32,ok,2016-12-22,16.4,16.8,16.4,16.8,30000
33,ok,2016-12-25,16.4,16.4,16.4,16.4,20000
34,ok,2016-12-29,16.68,16.68,16.5,16.68,50000
35,ok,2017-01-01,16.8,16.8,16.52,16.8,30000
36,ok,2017-01-02,16.8,16.8,16.8,16.8,10000
37,ok,2017-01-04,18.06,18.06,17.8,18.06,50000
38,ok,2017-01-11,19.4,21.6,19.4,21.6,130000
39,ok,2017-01-12,21.6,21.78,21.6,21.68,20000
40,ok,2017-01-15,22.0,24.9,22.0,24.44,100000
41,ok,2017-01-16,24.0,24.0,23.12,23.12,20000
42,ok,2017-01-17,24.0,24.0,24.0,24.0,40000
43,ok,2017-01-18,23.52,23.52,23.52,23.52,10000
44,ok,2017-01-24,23.24,23.24,23.24,23.24,10000
45,ok,2017-01-26,23.2,23.2,23.2,23.2,10000
46,ok,2017-01-30,22.8,22.8,22.8,22.8,10000
47,ok,2017-02-01,22.8,22.8,22.8,22.8,10000
48,ok,2017-02-06,21.92,21.92,21.74,21.82,20000
49,ok,2017-02-08,20.32,20.32,18.4,19.36,20000
50,ok,2017-02-09,19.24,19.24,19.24,19.24,10000
51,ok,2017-02-14,19.6,19.6,19.6,19.6,20000
52,ok,2017-02-21,18.8,18.8,18.8,18.8,10000
53,ok,2017-02-27,17.92,17.92,16.46,17.2,80000
54,ok,2017-03-02,16.8,16.8,16.8,16.8,10000
55,ok,2017-03-09,17.0,17.0,17.0,17.0,10000
56,ok,2017-03-13,17.1,17.1,17.1,17.1,10000
57,ok,2017-03-14,17.8,17.8,17.8,17.8,10000
58,ok,2017-03-15,18.0,18.0,18.0,18.0,10000
59,ok,2017-03-16,18.2,21.56,18.0,18.0,30000
60,ok,2017-03-19,18.2,18.2,18.2,18.2,10000
