,s,t,o,h,l,c,v
0,ok,2000-01-02,43.2,45.57,43.2,45.57,66500
1,ok,2000-01-03,44.6,45.8,42.65,43.32,134500
2,ok,2000-01-04,42.0,44.2,41.8,42.93,95000
3,ok,2000-01-05,42.8,43.5,42.8,43.0,110000
4,ok,2000-01-06,42.0,43.35,39.8,39.99,83000
5,ok,2000-01-09,41.78,42.96,40.8,41.03,44000
6,ok,2000-01-10,40.1,40.1,38.09,38.35,83500
7,ok,2000-01-11,41.2,41.42,40.2,40.79,33000
8,ok,2000-01-12,41.0,41.0,38.2,38.62,21500
9,ok,2000-01-13,37.8,38.58,37.0,38.37,26500
10,ok,2000-01-16,41.0,41.0,38.2,38.95,26000
11,ok,2000-01-17,37.81,41.6,37.81,39.33,60000
12,ok,2000-01-18,40.3,40.98,38.6,39.55,57500
13,ok,2000-01-19,38.6,39.14,37.4,37.86,49000
14,ok,2000-01-20,37.6,38.32,35.0,38.11,18500
15,ok,2000-01-23,38.6,38.8,37.49,38.02,43500
16,ok,2000-01-24,36.5,37.0,36.03,36.31,46000
17,ok,2000-01-26,37.0,37.71,36.6,37.23,40500
18,ok,2000-01-27,39.0,40.21,39.0,40.21,36500
19,ok,2000-01-30,42.48,43.0,39.4,40.18,101500
20,ok,2000-01-31,39.4,41.18,38.8,39.62,47500
21,ok,2000-02-01,40.98,41.18,39.0,39.25,46000
22,ok,2000-02-02,39.0,39.0,37.43,38.14,29500
23,ok,2000-02-03,37.8,38.6,37.4,38.05,31000
24,ok,2000-02-06,38.4,41.0,36.6,38.62,168000
25,ok,2000-02-07,39.5,39.5,37.05,37.23,66500
26,ok,2000-02-08,39.79,39.79,36.7,37.0,58500
27,ok,2000-02-09,37.2,37.3,36.4,36.83,37500
28,ok,2000-02-10,36.33,36.78,35.2,35.33,18500
29,ok,2000-02-13,36.0,36.0,33.31,33.8,24500
30,ok,2000-02-14,33.02,33.8,32.4,32.71,33500
31,ok,2000-02-15,34.15,35.29,34.0,34.6,35500
32,ok,2000-02-16,33.83,37.37,33.8,37.28,125000
33,ok,2000-02-17,38.74,38.74,35.0,35.29,51000
34,ok,2000-02-20,34.81,34.9,33.2,33.55,45000
35,ok,2000-02-21,33.4,33.6,32.0,32.42,70000
36,ok,2000-02-22,34.39,34.4,33.0,33.37,35000
37,ok,2000-02-23,33.0,33.4,32.1,32.8,15000
38,ok,2000-02-24,32.0,32.0,30.56,30.83,22000
39,ok,2000-02-27,30.39,30.4,29.05,29.86,42500
40,ok,2000-02-28,31.56,32.23,29.0,29.36,59500
41,ok,2000-02-29,29.6,31.71,29.6,31.7,29000
42,ok,2000-03-01,33.54,34.23,29.18,30.63,89000
43,ok,2000-03-02,30.82,30.82,28.18,28.19,45000
44,ok,2000-03-05,28.4,28.4,26.2,26.61,29500
45,ok,2000-03-06,27.0,27.0,24.61,24.79,85500
46,ok,2000-03-07,25.0,25.69,24.4,24.88,50000
47,ok,2000-03-08,24.92,24.92,23.02,24.0,51000
