,s,t,o,h,l,c,v
0,ok,2016-12-05,16.8,16.8,16.8,16.8,320000
1,ok,2016-12-06,19.95,20.15,19.95,20.15,456000
2,ok,2016-12-07,23.2,24.18,21.05,24.18,384000
3,ok,2016-12-08,25.9,25.9,23.55,24.0,88000
4,ok,2016-12-11,26.4,26.4,26.4,26.4,104000
5,ok,2016-12-12,28.25,28.25,26.0,26.6,112000
6,ok,2016-12-13,26.75,27.5,25.9,26.03,48000
7,ok,2016-12-14,25.75,28.2,24.0,28.2,104000
8,ok,2016-12-15,28.4,28.5,25.9,25.9,40000
9,ok,2016-12-18,27.0,27.0,24.75,24.88,40000
10,ok,2016-12-19,24.5,24.5,24.5,24.5,16000
11,ok,2016-12-20,24.0,24.0,23.25,23.63,16000
12,ok,2016-12-21,22.75,23.0,21.3,21.4,40000
13,ok,2016-12-22,21.3,22.45,21.3,22.45,24000
14,ok,2016-12-25,23.4,23.4,23.4,23.4,8000
15,ok,2016-12-26,22.75,22.75,22.75,22.75,8000
16,ok,2016-12-27,23.38,23.88,23.38,23.88,48000
17,ok,2016-12-28,25.05,25.05,25.05,25.05,8000
18,ok,2016-12-29,26.3,26.3,26.3,26.3,8000
19,ok,2017-01-01,27.6,27.6,27.6,27.6,24000
20,ok,2017-01-02,28.98,28.98,28.7,28.75,136000
21,ok,2017-01-03,28.25,30.0,28.25,28.5,96000
22,ok,2017-01-08,27.5,27.5,27.08,27.08,40000
23,ok,2017-01-09,26.0,26.0,26.0,26.0,8000
24,ok,2017-01-10,25.0,26.25,25.0,25.63,16000
25,ok,2017-01-11,26.25,26.25,26.25,26.25,8000
26,ok,2017-01-12,25.5,25.5,25.5,25.5,8000
27,ok,2017-01-15,24.5,25.05,24.5,25.05,24000
28,ok,2017-01-17,23.9,26.3,23.9,26.3,56000
29,ok,2017-01-18,27.6,27.6,26.3,26.3,32000
30,ok,2017-01-19,25.03,25.03,25.0,25.0,16000
31,ok,2017-01-23,25.0,25.0,25.0,25.0,16000
