,s,t,o,h,l,c,v
0,ok,2005-05-18,324.8,324.8,316.0,319.7,48450
1,ok,2005-05-19,322.0,322.0,315.35,320.05,56549
2,ok,2005-05-22,320.0,345.5,317.1,343.85,177858
3,ok,2005-05-23,330.0,409.0,330.0,398.2,1244785
4,ok,2005-05-24,394.9,396.0,371.6,376.8,523443
5,ok,2005-05-25,379.0,418.95,375.0,399.55,1254620
6,ok,2005-05-26,399.55,402.0,377.85,381.4,336990
7,ok,2005-05-29,381.55,405.9,381.4,384.95,452269
8,ok,2005-05-30,388.65,394.7,383.65,387.55,222794
9,ok,2005-05-31,391.25,392.95,380.0,383.05,105476
10,ok,2005-06-01,385.0,388.4,374.1,376.15,75281
11,ok,2005-06-02,379.9,379.9,371.95,374.75,63928
12,ok,2005-06-03,377.9,377.9,372.1,373.2,18691
13,ok,2005-06-05,374.0,387.85,374.0,377.1,54779
14,ok,2005-06-06,380.0,382.0,374.0,377.4,45605
15,ok,2005-06-07,379.9,385.0,368.55,371.3,66718
16,ok,2005-06-08,375.1,375.15,358.6,361.75,32127
17,ok,2005-06-09,366.4,368.8,355.0,357.05,41933
18,ok,2005-06-12,361.9,368.5,355.0,359.9,56038
19,ok,2005-06-13,362.0,363.8,355.75,358.9,24186
20,ok,2005-06-14,360.0,381.75,357.1,368.2,67002
21,ok,2005-06-15,378.0,378.0,350.1,354.05,29569
22,ok,2005-06-16,356.8,356.9,340.0,345.5,42285
23,ok,2005-06-19,347.9,355.8,337.95,340.6,27833
24,ok,2005-06-20,344.0,347.0,332.0,344.05,70118
25,ok,2005-06-21,346.9,353.3,340.0,340.35,68250
26,ok,2005-06-22,343.0,343.0,335.0,336.3,15073
27,ok,2005-06-23,332.3,345.35,332.3,340.25,45335
28,ok,2005-06-26,342.9,343.85,323.1,328.0,8875
29,ok,2005-06-27,330.0,337.0,329.5,332.4,22041
30,ok,2005-06-28,332.1,334.15,322.0,323.9,62724
31,ok,2005-06-29,329.9,340.0,325.1,327.8,100125
32,ok,2005-06-30,334.4,334.4,320.25,324.1,11531
33,ok,2005-07-03,329.9,329.9,315.1,317.3,20582
34,ok,2005-07-04,318.5,325.1,308.0,310.05,20273
35,ok,2005-07-05,316.0,357.0,310.35,347.2,165290
36,ok,2005-07-06,339.0,355.15,331.5,336.55,59952
37,ok,2005-07-07,340.0,348.95,331.1,335.5,30125
38,ok,2005-07-10,341.05,341.05,335.05,337.8,13949
39,ok,2005-07-11,333.0,353.0,332.0,341.9,32426
40,ok,2005-07-12,344.0,347.0,331.0,332.45,13135
41,ok,2005-07-13,340.0,344.0,325.5,328.25,7970
42,ok,2005-07-14,345.0,345.0,327.25,330.15,8966
43,ok,2005-07-17,338.0,344.0,321.0,322.1,26330
44,ok,2005-07-18,321.0,330.0,318.0,320.55,17964
45,ok,2005-07-19,326.0,328.35,317.05,318.15,20080
46,ok,2005-07-20,323.25,323.7,319.75,321.75,17394
47,ok,2005-07-21,326.0,326.5,319.15,321.1,11441
48,ok,2005-07-24,324.0,326.0,320.0,321.6,8067
49,ok,2005-07-25,324.0,326.0,322.1,324.2,13213
50,ok,2005-07-26,323.9,325.9,317.05,319.0,6684
51,ok,2005-07-28,318.5,321.0,308.0,312.1,8014
52,ok,2005-07-31,318.0,326.0,314.5,318.3,12646
53,ok,2005-08-01,319.9,325.85,316.05,316.8,14630
54,ok,2005-08-02,320.5,344.5,316.2,340.7,78577
55,ok,2005-08-03,341.3,345.0,321.0,326.2,34090
56,ok,2005-08-04,325.0,329.15,319.2,322.35,17989
57,ok,2005-08-07,320.0,327.0,315.05,316.35,13524
58,ok,2005-08-08,321.0,321.0,312.1,314.85,9894
59,ok,2005-08-09,317.0,329.0,315.25,319.7,18617
60,ok,2005-08-10,332.0,332.0,315.0,316.95,14975
61,ok,2005-08-11,325.0,325.0,315.1,316.3,10795
62,ok,2005-08-15,318.05,321.5,317.0,317.9,6276
63,ok,2005-08-16,318.4,320.0,315.5,316.85,6267
64,ok,2005-08-17,325.0,327.0,312.5,313.75,9764
65,ok,2005-08-18,314.15,318.0,313.25,315.35,12581
66,ok,2005-08-21,318.5,378.45,315.6,362.25,230511
67,ok,2005-08-22,365.0,416.5,358.25,371.95,609984
68,ok,2005-08-23,373.7,377.0,347.0,357.75,131909
69,ok,2005-08-24,358.0,377.75,351.0,361.7,85752
70,ok,2005-08-25,365.7,369.25,350.2,354.15,34622
71,ok,2005-08-28,352.1,368.9,345.5,355.7,38258
72,ok,2005-08-29,355.0,362.8,341.0,347.5,23518
73,ok,2005-08-30,350.0,370.0,348.0,350.65,17186
74,ok,2005-08-31,353.0,356.25,345.05,346.8,12827
75,ok,2005-09-01,353.0,372.0,341.0,356.75,499021
76,ok,2005-09-04,361.0,367.4,333.8,339.45,47892
77,ok,2005-09-05,340.7,347.75,332.1,335.1,28071
78,ok,2005-09-07,339.0,350.0,337.05,338.95,19121
79,ok,2005-09-08,338.1,340.0,328.8,330.05,18130
80,ok,2005-09-11,337.4,337.5,330.1,331.95,13852
81,ok,2005-09-12,331.0,339.9,331.0,337.75,17330
82,ok,2005-09-13,338.0,350.0,325.0,329.15,25377
83,ok,2005-09-14,331.45,348.0,331.0,336.95,24651
84,ok,2005-09-15,339.5,342.0,333.0,335.45,12837
85,ok,2005-09-18,331.1,337.7,331.0,333.95,7000
86,ok,2005-09-19,331.25,341.0,328.0,328.65,20378
87,ok,2005-09-20,328.0,335.9,275.0,323.6,32596
88,ok,2005-09-21,308.0,332.0,302.0,305.15,22791
89,ok,2005-09-22,318.9,318.9,297.0,299.65,21827
90,ok,2005-09-25,304.0,316.0,303.0,313.0,10525
91,ok,2005-09-26,314.0,318.0,312.0,314.9,7184
92,ok,2005-09-27,316.9,318.25,313.0,315.65,4813
93,ok,2005-09-28,317.0,318.0,303.0,304.75,7717
94,ok,2005-09-29,305.0,312.0,299.7,303.8,15237
95,ok,2005-10-02,320.0,320.0,303.5,305.55,7245
96,ok,2005-10-03,295.0,315.0,295.0,308.95,13187
97,ok,2005-10-04,302.0,310.5,302.0,305.8,6987
98,ok,2005-10-05,306.0,307.4,301.5,302.9,6004
99,ok,2005-10-06,304.5,307.0,300.0,300.75,5773
100,ok,2005-10-09,298.0,303.95,291.0,293.1,5311
101,ok,2005-10-10,292.1,294.0,285.9,292.65,9861
102,ok,2005-10-12,292.0,296.0,285.0,288.2,5295
103,ok,2005-10-13,290.0,292.0,284.0,286.35,6654
104,ok,2005-10-16,263.9,310.0,263.9,275.35,7326
105,ok,2005-10-17,277.0,284.25,277.0,279.3,7139
106,ok,2005-10-18,271.0,275.5,265.05,268.05,9702
107,ok,2005-10-19,270.0,274.0,255.0,258.45,8497
108,ok,2005-10-20,260.0,262.0,250.1,256.3,19580
109,ok,2005-10-23,255.0,262.0,250.75,254.9,5374
110,ok,2005-10-24,256.15,257.0,253.8,255.45,7104
111,ok,2005-10-25,280.0,280.0,252.0,258.3,2597
112,ok,2005-10-26,257.5,258.0,248.0,252.85,2241
113,ok,2005-10-27,251.0,255.0,235.0,237.75,6168
114,ok,2005-10-30,238.1,239.0,225.1,230.2,8615
115,ok,2005-10-31,233.0,257.0,233.0,239.7,3449
116,ok,2005-11-01,235.0,240.15,230.1,237.55,4387
117,ok,2005-11-06,240.0,245.0,235.0,241.85,3675
118,ok,2005-11-07,252.5,258.0,243.0,251.05,9365
119,ok,2005-11-08,251.0,256.9,251.0,254.9,3869
120,ok,2005-11-09,251.1,258.0,248.0,250.8,3524
121,ok,2005-11-10,250.5,256.0,248.15,253.05,3329
122,ok,2005-11-13,252.05,255.95,250.2,252.4,1133
123,ok,2005-11-15,274.0,274.0,253.0,255.35,2251
124,ok,2005-11-16,254.0,254.0,251.0,252.5,2415
125,ok,2005-11-17,255.0,258.0,252.5,253.0,2975
126,ok,2005-11-20,255.0,255.1,246.15,246.95,3766
127,ok,2005-11-21,245.5,245.5,238.25,239.4,3975
128,ok,2005-11-22,236.0,242.0,235.0,235.9,2974
129,ok,2005-11-23,244.9,244.9,235.1,237.7,5011
130,ok,2005-11-24,242.0,242.0,233.0,234.65,7685
131,ok,2005-11-25,244.0,253.0,233.0,240.6,16382
132,ok,2005-11-27,235.05,248.0,235.05,241.1,12669
133,ok,2005-11-28,245.9,245.9,235.5,237.2,5090
134,ok,2005-11-29,239.9,241.7,232.35,233.3,7325
135,ok,2005-11-30,235.0,238.0,232.0,233.25,4002
136,ok,2005-12-01,236.0,236.0,228.9,230.25,7986
137,ok,2005-12-04,227.2,233.0,227.15,228.65,3351
138,ok,2005-12-05,239.85,249.75,227.0,229.5,5152
139,ok,2005-12-06,229.0,230.45,221.0,223.0,5794
