,s,t,o,h,l,c,v
0,ok,2000-01-02,11.2,11.92,10.88,11.92,243500
1,ok,2000-01-03,12.7,12.78,11.2,11.28,332500
2,ok,2000-01-04,11.0,11.69,11.0,11.01,164000
3,ok,2000-01-05,11.04,11.29,11.02,11.04,92500
4,ok,2000-01-06,10.8,11.0,10.18,10.29,111000
5,ok,2000-01-09,10.18,10.3,9.61,9.88,79500
6,ok,2000-01-10,9.87,9.88,9.2,9.26,167500
7,ok,2000-01-11,9.42,9.95,9.42,9.83,54000
8,ok,2000-01-12,9.8,10.58,9.8,10.02,161000
9,ok,2000-01-13,9.8,9.8,9.5,9.53,64500
10,ok,2000-01-16,9.5,10.0,9.42,9.66,70000
11,ok,2000-01-17,9.23,9.57,9.23,9.34,153000
12,ok,2000-01-18,9.69,9.69,9.39,9.53,92000
13,ok,2000-01-19,9.6,9.89,9.52,9.56,95500
14,ok,2000-01-20,9.62,9.78,9.54,9.7,132500
15,ok,2000-01-23,9.79,10.0,9.23,9.37,156500
16,ok,2000-01-24,9.1,9.3,9.02,9.18,127500
17,ok,2000-01-26,9.58,9.58,8.61,8.76,146500
18,ok,2000-01-27,8.89,8.89,8.2,8.38,166500
19,ok,2000-01-30,8.2,8.6,8.2,8.44,62000
20,ok,2000-01-31,8.01,8.49,8.0,8.12,145000
21,ok,2000-02-01,8.7,8.7,8.28,8.34,90500
22,ok,2000-02-02,8.39,8.4,7.8,7.84,83000
23,ok,2000-02-03,8.1,8.12,7.73,7.79,137500
24,ok,2000-02-06,7.4,7.8,7.4,7.6,79500
25,ok,2000-02-07,7.7,7.8,7.41,7.64,102500
26,ok,2000-02-08,8.1,8.26,7.75,8.08,94500
27,ok,2000-02-09,8.0,8.37,7.8,7.97,43000
28,ok,2000-02-10,7.98,7.98,7.52,7.63,37000
29,ok,2000-02-13,7.58,7.6,7.15,7.3,46500
30,ok,2000-02-14,7.1,7.22,6.87,6.91,71500
31,ok,2000-02-15,7.34,7.34,7.06,7.1,86000
32,ok,2000-02-16,7.1,7.37,7.0,7.11,123000
33,ok,2000-02-17,7.02,7.22,6.91,6.94,54000
34,ok,2000-02-20,6.53,6.88,6.53,6.57,55500
35,ok,2000-02-21,6.6,6.7,6.4,6.46,94000
36,ok,2000-02-22,6.1,6.98,6.0,6.74,54500
37,ok,2000-02-23,6.94,6.94,6.44,6.66,46500
38,ok,2000-02-24,7.1,7.15,6.31,6.38,75500
39,ok,2000-02-27,5.9,6.5,5.9,6.32,58500
40,ok,2000-02-28,6.4,6.7,6.25,6.34,86500
41,ok,2000-02-29,6.54,6.6,6.4,6.58,40500
42,ok,2000-03-01,6.52,7.1,6.35,6.39,83500
43,ok,2000-03-02,6.45,6.45,5.89,5.89,47500
44,ok,2000-03-05,5.42,6.35,5.42,5.81,66000
45,ok,2000-03-06,5.45,5.8,5.41,5.42,124500
46,ok,2000-03-07,5.2,5.4,5.0,5.01,198500
47,ok,2000-03-08,5.0,5.4,4.74,5.16,94000
48,ok,2000-03-09,5.05,5.2,4.75,4.76,209500
49,ok,2000-03-12,4.85,4.94,4.7,4.77,86000
50,ok,2000-03-13,4.76,5.15,4.6,5.02,127000
51,ok,2000-03-14,5.36,5.38,5.0,5.2,116000
52,ok,2000-03-15,5.25,5.5,5.0,5.19,110000
53,ok,2000-03-20,5.34,5.34,4.96,4.99,149500
54,ok,2000-03-21,4.86,5.19,4.86,5.12,144000
55,ok,2000-03-22,5.1,5.2,4.92,4.99,28000
56,ok,2000-03-23,5.0,5.0,4.9,4.91,15000
57,ok,2000-03-26,5.05,5.1,4.77,4.81,57500
58,ok,2000-03-27,4.66,4.8,4.47,4.53,134000
59,ok,2000-03-28,4.77,4.9,4.6,4.6,174500
60,ok,2000-03-29,4.52,4.97,4.4,4.9,127000
61,ok,2000-03-30,5.0,5.3,4.82,5.15,84500
62,ok,2000-04-02,5.17,5.24,4.9,4.96,87500
63,ok,2000-04-03,4.82,4.95,4.57,4.57,201000
64,ok,2000-04-04,4.65,4.93,4.51,4.72,128500
65,ok,2000-04-05,4.7,4.8,4.56,4.6,121000
66,ok,2000-04-06,4.75,4.97,4.75,4.83,230500
67,ok,2000-04-09,4.8,4.92,4.6,4.78,113500
68,ok,2000-04-11,4.6,4.78,4.6,4.73,52000
69,ok,2000-04-12,4.72,4.77,4.67,4.73,28500
70,ok,2000-04-16,4.56,4.68,4.56,4.62,31500
71,ok,2000-04-17,4.7,4.8,4.4,4.46,117000
72,ok,2000-04-18,4.48,4.58,4.38,4.43,129500
73,ok,2000-04-19,4.21,4.48,4.17,4.26,180000
74,ok,2000-04-23,4.21,4.24,4.12,4.18,52500
75,ok,2000-04-24,4.36,4.37,4.0,4.11,101000
76,ok,2000-04-25,4.2,4.38,4.18,4.27,140000
77,ok,2000-04-26,4.05,4.1,4.0,4.06,141000
78,ok,2000-04-27,4.12,4.36,3.82,3.86,140500
79,ok,2000-05-01,3.9,3.9,3.6,3.63,96500
80,ok,2000-05-02,3.48,3.88,3.46,3.84,59000
81,ok,2000-05-03,3.96,4.0,3.85,3.93,98000
82,ok,2000-05-04,4.0,4.1,3.95,4.1,68500
83,ok,2000-05-07,4.2,4.3,4.01,4.04,63000
84,ok,2000-05-08,3.9,4.1,3.9,3.96,81000
85,ok,2000-05-09,4.1,4.1,3.87,3.98,72000
86,ok,2000-05-10,3.98,4.0,3.89,3.91,17000
87,ok,2000-05-11,3.82,4.05,3.82,3.93,32500
88,ok,2000-05-14,3.8,3.88,3.68,3.76,90000
89,ok,2000-05-15,3.8,3.81,3.7,3.78,42000
90,ok,2000-05-16,3.94,3.94,3.82,3.9,44500
91,ok,2000-05-17,3.93,3.93,3.82,3.9,46500
92,ok,2000-05-18,3.8,3.9,3.8,3.89,32500
93,ok,2000-05-21,4.0,4.0,3.81,3.9,36000
94,ok,2000-05-22,3.85,4.04,3.8,3.81,39000
95,ok,2000-05-23,3.85,3.96,3.82,3.83,64000
96,ok,2000-05-24,3.81,3.94,3.81,3.82,55500
97,ok,2000-05-25,3.75,3.81,3.66,3.8,36000
98,ok,2000-05-28,3.65,3.94,3.63,3.93,58500
99,ok,2000-05-29,3.89,4.2,3.81,4.08,53000
100,ok,2000-05-30,4.11,4.41,4.11,4.41,42500
101,ok,2000-05-31,4.1,4.4,4.07,4.2,37500
102,ok,2000-06-01,4.18,4.27,4.1,4.12,34000
103,ok,2000-06-04,3.85,4.4,3.85,4.25,42500
104,ok,2000-06-05,4.02,4.27,4.02,4.26,38000
105,ok,2000-06-06,4.48,4.48,4.1,4.1,18000
106,ok,2000-06-07,4.11,4.19,4.02,4.12,45500
107,ok,2000-06-08,4.05,4.12,3.95,4.04,33000
108,ok,2000-06-11,3.95,4.12,3.95,4.06,26000
109,ok,2000-06-12,4.1,4.1,4.01,4.04,57000
110,ok,2000-06-13,4.01,4.36,4.01,4.32,40500
111,ok,2000-06-14,4.21,4.33,4.18,4.26,20500
112,ok,2000-06-15,4.1,4.4,4.1,4.4,29000
113,ok,2000-06-18,4.38,4.41,4.25,4.38,54000
114,ok,2000-06-19,4.3,4.5,4.27,4.41,135500
115,ok,2000-06-20,4.77,4.77,4.42,4.77,139000
116,ok,2000-06-21,4.5,4.8,4.42,4.74,36125
117,ok,2000-06-22,4.62,4.78,4.62,4.63,23125
118,ok,2000-06-25,4.53,4.6,4.5,4.51,39875
119,ok,2000-06-26,4.4,4.64,4.4,4.51,78125
120,ok,2000-06-27,4.47,4.47,4.4,4.4,20625
121,ok,2000-06-28,4.4,4.47,4.25,4.3,56500
122,ok,2000-06-29,4.27,4.28,4.18,4.2,34250
123,ok,2000-07-02,4.2,4.31,4.16,4.25,35525
124,ok,2000-07-03,4.2,4.28,4.1,4.15,27250
125,ok,2000-07-04,4.21,4.21,4.03,4.05,43250
126,ok,2000-07-05,4.06,4.16,3.8,3.95,164500
127,ok,2000-07-06,3.85,3.97,3.85,3.97,31600
128,ok,2000-07-09,3.99,3.99,3.9,3.95,26250
129,ok,2000-07-10,3.85,3.97,3.85,3.91,41925
130,ok,2000-07-11,3.9,4.19,3.9,4.15,27625
131,ok,2000-07-12,4.08,4.1,4.05,4.1,16000
132,ok,2000-07-13,4.16,4.2,4.1,4.14,10500
133,ok,2000-07-16,4.03,4.16,4.03,4.1,21415
134,ok,2000-07-17,4.3,4.43,4.3,4.43,70325
135,ok,2000-07-18,4.78,4.78,4.47,4.5,244325
136,ok,2000-07-19,4.55,4.55,4.44,4.5,32750
137,ok,2000-07-20,4.4,4.58,4.31,4.43,31500
138,ok,2000-07-23,4.2,4.3,4.08,4.08,49125
139,ok,2000-07-24,3.84,4.15,3.84,4.04,89500
140,ok,2000-07-25,4.18,4.18,3.91,4.06,42350
141,ok,2000-07-26,4.15,4.16,3.92,4.1,15710
