,s,t,o,h,l,c,v
0,ok,2000-01-02,37.5,39.7,37.5,39.7,800
1,ok,2000-01-03,38.95,38.95,38.95,38.95,300
2,ok,2000-01-04,39.0,39.5,37.5,37.53,1200
3,ok,2000-01-05,38.98,40.0,38.25,40.0,1200
4,ok,2000-01-06,43.0,43.0,38.4,38.4,700
5,ok,2000-01-09,38.6,38.6,38.6,38.6,100
6,ok,2000-01-10,39.45,39.45,38.5,39.23,900
7,ok,2000-01-11,39.9,39.9,39.9,39.9,200
8,ok,2000-01-12,38.0,38.0,37.65,37.65,1500
9,ok,2000-01-13,37.7,37.7,37.65,37.65,400
10,ok,2000-01-16,37.5,37.55,37.5,37.5,600
11,ok,2000-01-17,37.5,37.5,37.0,37.0,600
12,ok,2000-01-18,39.88,39.88,37.5,38.5,700
13,ok,2000-01-19,37.53,38.5,37.53,37.75,500
14,ok,2000-01-20,37.75,38.25,37.5,38.25,1000
15,ok,2000-01-23,37.55,37.55,37.55,37.55,100
16,ok,2000-01-24,39.45,39.45,37.5,37.5,1900
17,ok,2000-01-26,39.25,39.25,38.05,38.95,800
18,ok,2000-01-27,38.0,39.0,38.0,39.0,600
19,ok,2000-01-30,39.5,40.0,38.05,38.05,3200
20,ok,2000-01-31,40.0,40.5,37.5,38.55,6100
21,ok,2000-02-01,38.5,41.6,38.5,40.0,3400
22,ok,2000-02-02,41.0,41.0,38.75,40.25,3500
23,ok,2000-02-03,39.5,39.5,37.63,37.63,3900
24,ok,2000-02-06,37.5,40.5,37.5,40.0,3800
25,ok,2000-02-07,38.5,40.4,37.45,37.45,3800
26,ok,2000-02-08,40.0,40.0,38.5,39.5,3100
27,ok,2000-02-09,38.0,39.0,38.0,38.5,2800
28,ok,2000-02-10,38.5,38.5,38.0,38.0,2000
29,ok,2000-02-13,39.0,39.0,37.5,38.95,2300
30,ok,2000-02-14,38.0,38.0,37.0,37.0,4000
31,ok,2000-02-15,38.5,39.0,37.5,37.5,3500
32,ok,2000-02-16,39.0,39.0,37.5,38.0,2200
33,ok,2000-02-17,39.5,39.5,37.0,37.5,5200
34,ok,2000-02-20,39.5,39.5,37.5,37.5,3600
35,ok,2000-02-21,39.5,39.5,37.5,37.78,4900
36,ok,2000-02-22,40.5,40.5,38.53,38.53,2100
37,ok,2000-02-23,40.9,40.9,39.0,40.03,2700
38,ok,2000-02-24,43.2,43.2,38.5,38.5,2300
39,ok,2000-02-27,41.25,41.25,38.25,38.5,2200
40,ok,2000-02-28,40.88,40.88,37.53,39.4,3600
41,ok,2000-02-29,42.55,42.55,39.0,41.7,3600
42,ok,2000-03-01,42.5,42.5,40.03,40.75,2000
43,ok,2000-03-02,44.0,44.0,39.0,39.0,4400
44,ok,2000-03-05,41.9,41.9,39.95,40.0,2700
45,ok,2000-03-06,41.5,41.88,40.0,41.03,3500
46,ok,2000-03-07,43.75,43.75,40.0,41.15,3700
