,s,t,o,h,l,c,v
0,ok,2011-11-30,76.45,79.0,76.45,76.45,7638
1,ok,2011-12-01,61.2,68.6,61.2,61.2,549496
2,ok,2011-12-04,56.15,59.8,55.2,55.8,799163
3,ok,2011-12-06,54.95,58.9,54.1,54.7,408872
4,ok,2011-12-07,54.5,54.8,49.3,50.6,192412
5,ok,2011-12-08,49.1,49.75,47.5,47.9,236514
6,ok,2011-12-11,46.0,49.0,45.75,48.1,190523
7,ok,2011-12-12,46.3,47.5,45.7,45.95,154891
8,ok,2011-12-13,45.1,45.9,43.65,43.65,94205
9,ok,2011-12-14,41.55,42.2,41.5,41.5,179119
10,ok,2011-12-15,39.45,42.0,39.45,39.45,258252
11,ok,2011-12-18,37.5,37.5,37.5,37.5,7647
12,ok,2011-12-19,35.65,35.65,35.65,35.65,3890
13,ok,2011-12-20,33.9,33.9,33.9,33.9,121462
14,ok,2011-12-21,32.2,35.6,32.2,35.6,438385
15,ok,2011-12-22,37.35,37.35,33.85,33.85,425922
16,ok,2011-12-25,32.6,34.4,32.6,33.55,46529
17,ok,2011-12-26,33.55,35.2,33.25,34.95,71163
18,ok,2011-12-27,33.85,36.7,33.85,36.5,269384
19,ok,2011-12-28,36.5,36.8,34.8,35.0,81403
20,ok,2011-12-29,34.6,35.9,33.85,35.25,273885
21,ok,2012-01-01,34.6,36.8,34.55,35.35,35435
22,ok,2012-01-02,36.4,36.8,35.5,35.9,85439
23,ok,2012-01-03,36.9,36.9,34.55,36.1,73285
24,ok,2012-01-04,36.0,37.0,35.6,35.9,60195
25,ok,2012-01-05,35.15,36.2,34.65,35.3,136313
26,ok,2012-01-06,35.1,36.35,35.1,36.1,11076
27,ok,2012-01-08,36.6,36.6,35.0,35.7,74154
28,ok,2012-01-09,35.2,37.45,35.2,37.45,65143
29,ok,2012-01-10,38.05,39.3,36.55,38.9,186615
30,ok,2012-01-11,37.55,40.0,37.55,37.95,108870
31,ok,2012-01-12,38.9,38.95,36.6,37.6,154277
32,ok,2012-01-15,36.25,37.4,36.05,36.6,28555
33,ok,2012-01-16,37.9,38.4,36.7,38.4,195810
34,ok,2012-01-17,38.55,39.5,36.5,36.55,402557
35,ok,2012-01-18,36.05,37.7,36.0,36.8,131019
36,ok,2012-01-19,37.65,37.9,35.3,35.9,97417
37,ok,2012-01-22,34.3,37.7,34.3,37.7,439924
38,ok,2012-01-23,37.85,39.55,36.75,39.0,130164
39,ok,2012-01-24,39.25,40.65,37.85,38.2,81182
40,ok,2012-01-26,39.0,39.6,38.05,39.25,107883
41,ok,2012-01-29,39.0,39.25,37.3,37.3,106577
42,ok,2012-01-30,37.15,37.15,36.2,36.6,96663
43,ok,2012-01-31,36.9,36.9,35.4,35.7,131479
44,ok,2012-02-01,36.7,37.0,35.7,35.95,93413
45,ok,2012-02-02,36.05,37.7,36.0,37.7,125476
46,ok,2012-02-05,38.55,39.45,38.0,38.85,75392
47,ok,2012-02-06,37.5,39.45,37.5,37.8,66212
48,ok,2012-02-07,37.8,38.65,37.65,38.0,26734
49,ok,2012-02-08,37.1,38.1,36.1,36.65,138305
50,ok,2012-02-09,36.6,37.6,35.9,36.3,50132
51,ok,2012-02-12,36.0,37.3,35.65,36.85,55067
52,ok,2012-02-13,36.85,38.65,36.35,38.65,157827
53,ok,2012-02-14,40.55,40.55,40.55,40.55,16130
54,ok,2012-02-15,42.5,42.55,42.5,42.55,23680
55,ok,2012-02-16,44.65,44.65,44.65,44.65,18077
56,ok,2012-02-20,46.85,46.85,44.05,46.7,258659
57,ok,2012-02-21,47.3,48.75,44.5,44.8,267748
58,ok,2012-02-22,44.0,45.8,43.2,43.55,153080
59,ok,2012-02-23,41.5,44.7,41.5,42.4,70427
60,ok,2012-02-26,42.0,42.2,40.3,40.6,42044
61,ok,2012-02-27,42.0,42.6,40.6,42.6,29603
62,ok,2012-02-28,44.7,44.7,44.7,44.7,11978
63,ok,2012-02-29,46.9,46.9,45.5,46.9,231128
64,ok,2012-03-01,47.7,49.2,47.25,48.75,178926
65,ok,2012-03-02,49.0,49.45,47.6,49.25,11356
66,ok,2012-03-04,50.95,50.95,46.8,46.9,48321
67,ok,2012-03-05,47.7,47.9,45.0,45.8,47085
68,ok,2012-03-06,44.05,46.0,43.5,44.7,48034
69,ok,2012-03-08,44.3,48.8,44.3,47.75,72504
70,ok,2012-03-11,49.3,52.9,49.0,51.1,267435
71,ok,2012-03-12,52.35,53.85,50.5,51.15,157473
72,ok,2012-03-13,51.2,60.75,51.2,59.05,1839931
73,ok,2012-03-14,59.0,61.9,55.5,58.45,895396
74,ok,2012-03-15,60.0,61.75,55.1,55.55,1025740
75,ok,2012-03-18,55.55,57.8,51.2,51.65,241183
76,ok,2012-03-19,51.65,53.25,50.05,51.65,156683
77,ok,2012-03-20,51.0,52.8,50.5,52.4,242028
78,ok,2012-03-21,52.0,53.5,50.0,50.35,198611
79,ok,2012-03-22,51.1,51.8,50.05,50.85,112822
80,ok,2012-03-25,50.8,52.85,48.6,49.05,101495
81,ok,2012-03-26,50.6,50.6,48.15,49.05,90716
82,ok,2012-03-27,47.1,48.9,45.55,46.55,107834
83,ok,2012-03-28,47.0,47.0,44.1,45.35,102913
84,ok,2012-03-29,46.7,48.4,45.75,47.95,276701
85,ok,2012-04-01,47.0,49.8,46.7,48.5,127774
86,ok,2012-04-02,48.8,51.15,48.6,50.3,115823
87,ok,2012-04-03,49.4,51.7,48.1,51.05,92951
88,ok,2012-04-08,51.4,51.4,48.65,48.9,31836
89,ok,2012-04-09,49.0,49.6,47.75,48.15,35303
90,ok,2012-04-10,48.05,48.05,46.5,46.8,55258
91,ok,2012-04-11,46.3,48.0,45.8,46.0,138891
92,ok,2012-04-12,46.2,47.1,45.05,45.5,37675
93,ok,2012-04-15,46.6,46.6,44.1,44.8,98760
94,ok,2012-04-16,44.15,45.75,44.15,45.2,42776
95,ok,2012-04-17,45.75,46.4,43.55,43.8,201465
96,ok,2012-04-18,44.0,45.7,43.15,43.6,63975
97,ok,2012-04-19,43.85,44.25,41.6,41.85,123841
98,ok,2012-04-22,41.95,43.0,41.2,41.5,68752
99,ok,2012-04-23,41.0,41.55,39.6,40.65,103021
100,ok,2012-04-24,42.9,42.9,39.55,40.05,61388
101,ok,2012-04-25,40.0,40.85,39.6,39.8,39531
102,ok,2012-04-26,39.5,41.15,39.5,39.6,57374
103,ok,2012-04-27,40.0,40.2,39.3,40.0,6055
104,ok,2012-04-29,42.4,42.9,40.45,42.4,188017
105,ok,2012-05-01,43.0,43.0,41.0,41.15,59792
106,ok,2012-05-02,41.9,41.9,39.4,39.85,55208
107,ok,2012-05-03,39.3,39.5,37.85,38.1,165324
108,ok,2012-05-06,36.1,39.7,36.1,39.0,79488
109,ok,2012-05-07,39.6,40.4,37.5,38.2,57389
110,ok,2012-05-08,38.0,38.9,36.8,37.4,34000
111,ok,2012-05-09,36.1,38.95,36.1,36.9,56038
112,ok,2012-05-10,38.2,38.8,36.3,37.5,80510
113,ok,2012-05-13,38.15,39.9,38.05,38.3,82430
114,ok,2012-05-14,38.35,39.65,37.5,38.75,47035
115,ok,2012-05-15,37.55,40.5,37.15,39.5,161379
116,ok,2012-05-16,39.45,40.7,38.25,38.35,55075
117,ok,2012-05-17,38.25,39.95,36.8,37.55,91086
118,ok,2012-05-20,38.15,38.6,36.1,37.15,54264
119,ok,2012-05-21,37.9,38.4,36.7,36.85,25272
120,ok,2012-05-22,36.7,36.85,35.45,35.9,56410
121,ok,2012-05-23,36.3,36.55,35.15,36.1,61636
122,ok,2012-05-24,36.5,37.7,35.7,37.25,96165
123,ok,2012-05-27,37.0,38.15,36.25,37.3,193001
124,ok,2012-05-28,37.25,37.45,36.5,36.65,97971
125,ok,2012-05-29,36.6,36.7,35.75,35.85,21093
126,ok,2012-05-30,35.9,36.15,35.1,35.65,56726
127,ok,2012-05-31,35.15,35.9,35.0,35.2,63374
128,ok,2012-06-03,35.0,35.75,35.0,35.15,64183
129,ok,2012-06-04,35.15,36.0,35.0,35.3,27838
130,ok,2012-06-05,35.9,36.5,35.05,35.65,79211
131,ok,2012-06-06,36.0,36.4,34.8,34.95,308596
132,ok,2012-06-07,35.95,36.5,34.05,35.95,121821
133,ok,2012-06-10,36.1,37.25,36.0,36.6,139433
134,ok,2012-06-11,35.9,36.75,35.6,36.55,34247
135,ok,2012-06-12,36.8,37.05,35.5,35.65,33524
136,ok,2012-06-13,35.95,36.45,35.5,35.8,9359
137,ok,2012-06-14,36.0,36.4,35.5,35.6,43674
138,ok,2012-06-17,35.1,36.4,35.1,35.4,49646
139,ok,2012-06-18,35.05,36.0,34.5,34.95,30417
140,ok,2012-06-19,36.4,36.4,34.2,34.6,63382
141,ok,2012-06-20,33.1,35.85,33.1,35.7,67858
142,ok,2012-06-21,36.5,36.95,35.8,36.6,75594
143,ok,2012-06-24,37.0,38.1,36.25,36.5,70528
144,ok,2012-06-25,36.2,38.25,36.2,37.5,95053
145,ok,2012-06-26,37.75,38.55,37.3,37.55,192331
146,ok,2012-06-27,36.2,38.8,36.2,38.5,134730
147,ok,2012-06-28,38.5,39.55,38.5,39.1,126165
148,ok,2012-07-01,38.1,41.8,38.1,40.2,93688
149,ok,2012-07-02,40.4,42.25,40.3,40.65,174527
150,ok,2012-07-03,39.2,41.65,39.2,40.65,94893
151,ok,2012-07-04,39.55,41.9,39.55,41.1,85537
152,ok,2012-07-05,42.9,45.5,39.9,43.3,395858
153,ok,2012-07-08,43.0,44.1,41.1,41.85,99201
154,ok,2012-07-09,41.1,42.4,40.0,41.4,158633
155,ok,2012-07-10,42.25,42.25,40.75,41.0,59635
156,ok,2012-07-11,40.8,40.95,38.3,40.0,91322
157,ok,2012-07-12,40.5,41.5,40.5,40.55,71464
158,ok,2012-07-15,40.65,41.5,39.85,40.05,48563
159,ok,2012-07-16,40.2,40.5,39.05,39.15,48460
160,ok,2012-07-17,41.2,41.2,38.85,39.3,57092
161,ok,2012-07-18,39.7,41.25,39.7,40.6,89784
162,ok,2012-07-19,42.4,42.4,40.65,40.85,82427
163,ok,2012-07-22,40.1,40.75,39.3,39.65,59194
164,ok,2012-07-23,39.7,40.35,39.1,39.6,16751
165,ok,2012-07-24,39.1,39.9,38.55,38.85,30304
166,ok,2012-07-25,39.5,39.5,36.85,37.3,68347
