,s,t,o,h,l,c,v
0,ok,2017-02-26,51.8,52.0,49.25,49.25,16358
1,ok,2017-02-27,46.8,49.0,46.8,46.8,25883
2,ok,2017-02-28,44.5,47.0,44.5,44.5,44854
3,ok,2017-03-01,42.3,45.4,42.3,42.3,67642
4,ok,2017-03-02,40.35,43.45,40.2,40.2,151189
5,ok,2017-03-05,40.2,42.2,39.0,42.2,50285
6,ok,2017-03-06,44.3,44.3,44.3,44.3,2596
7,ok,2017-03-07,46.5,46.5,46.5,46.5,13758
8,ok,2017-03-08,48.8,48.8,48.25,48.8,38169
9,ok,2017-03-09,51.2,51.2,51.2,51.2,2285
10,ok,2017-03-13,53.75,53.75,52.75,53.75,36125
11,ok,2017-03-14,56.4,56.4,54.0,56.4,28631
12,ok,2017-03-15,57.5,59.2,57.5,59.2,27979
13,ok,2017-03-16,62.15,62.15,61.6,62.15,8964
14,ok,2017-03-19,64.8,65.25,64.8,65.25,3407
15,ok,2017-03-20,68.5,68.5,68.5,68.5,3730
16,ok,2017-03-21,71.9,71.9,70.0,71.9,20072
17,ok,2017-03-22,75.45,75.45,73.0,75.45,33339
18,ok,2017-03-23,79.2,79.2,79.2,79.2,1815
19,ok,2017-03-26,83.15,83.15,75.25,75.8,102910
20,ok,2017-03-27,78.0,78.0,72.05,72.05,64877
21,ok,2017-03-28,68.55,70.0,68.45,68.5,85341
22,ok,2017-03-29,65.1,71.9,65.1,71.9,20256
23,ok,2017-03-30,73.9,75.45,70.0,73.9,36566
24,ok,2017-04-02,75.0,75.0,70.25,70.25,9450
25,ok,2017-04-04,66.75,69.75,66.75,67.45,24374
26,ok,2017-04-05,66.05,67.6,65.0,66.65,21091
27,ok,2017-04-06,64.2,68.0,64.2,66.05,14119
28,ok,2017-04-09,63.6,66.9,62.75,62.75,16982
29,ok,2017-04-10,64.95,64.95,59.65,60.3,48751
30,ok,2017-04-11,62.0,63.3,59.7,63.3,9857
31,ok,2017-04-12,66.2,66.45,65.5,66.45,30062
32,ok,2017-04-16,67.8,67.8,63.15,63.5,18218
33,ok,2017-04-17,65.0,66.35,61.0,61.3,18981
