,s,t,o,h,l,c,v
0,ok,2000-01-02,11.3,12.0,11.03,11.3,52400
1,ok,2000-01-03,11.25,11.5,10.5,11.08,39600
2,ok,2000-01-04,10.5,11.25,10.5,11.05,33600
3,ok,2000-01-05,11.0,11.23,10.4,10.65,31600
4,ok,2000-01-06,10.25,11.18,10.25,10.85,27600
5,ok,2000-01-09,10.4,11.0,10.4,10.5,41000
6,ok,2000-01-10,10.5,10.9,9.83,10.23,32800
7,ok,2000-01-11,10.5,10.5,10.15,10.15,4800
8,ok,2000-01-12,10.5,10.88,9.75,9.95,24600
9,ok,2000-01-13,9.63,9.93,9.58,9.93,12400
10,ok,2000-01-16,10.43,10.98,9.9,9.9,26400
11,ok,2000-01-17,9.5,10.45,9.5,9.93,11600
12,ok,2000-01-18,10.65,10.95,9.8,10.13,21200
13,ok,2000-01-19,10.25,10.3,9.63,9.63,9600
14,ok,2000-01-20,9.88,10.75,9.15,9.33,34800
15,ok,2000-01-23,9.3,9.3,8.8,8.8,4400
16,ok,2000-01-24,8.13,8.73,8.0,8.3,15600
17,ok,2000-01-26,9.98,9.98,7.98,7.98,32800
18,ok,2000-01-27,7.53,8.0,7.5,7.75,40000
19,ok,2000-01-30,7.5,7.83,7.5,7.5,9000
20,ok,2000-01-31,7.73,7.73,7.13,7.18,12400
21,ok,2000-02-01,6.8,7.38,6.5,6.53,41000
22,ok,2000-02-02,6.75,6.88,6.5,6.5,100000
23,ok,2000-02-03,6.63,6.63,6.0,6.0,65200
24,ok,2000-02-06,6.05,6.2,6.0,6.0,26600
25,ok,2000-02-07,5.88,6.0,5.63,5.75,57400
26,ok,2000-02-08,6.0,7.0,6.0,6.83,42200
27,ok,2000-02-09,6.38,6.88,6.38,6.63,30200
28,ok,2000-02-10,6.75,6.75,6.5,6.53,40800
29,ok,2000-02-13,6.55,6.55,5.95,6.48,29000
30,ok,2000-02-14,6.13,6.45,6.1,6.33,23000
31,ok,2000-02-15,6.25,6.5,6.25,6.5,25000
32,ok,2000-02-16,6.48,6.48,6.0,6.13,30400
33,ok,2000-02-17,6.38,6.48,6.0,6.35,24800
34,ok,2000-02-20,6.0,6.5,5.85,5.95,31600
35,ok,2000-02-21,6.35,6.38,5.0,5.5,38600
36,ok,2000-02-22,5.5,6.23,5.5,5.7,19800
37,ok,2000-02-23,5.55,5.68,5.0,5.48,28000
38,ok,2000-02-24,5.63,5.63,5.25,5.28,36200
39,ok,2000-02-27,5.85,5.88,5.28,5.7,29000
40,ok,2000-02-28,5.38,5.65,5.38,5.5,44600
41,ok,2000-02-29,5.8,6.13,5.55,5.55,24200
42,ok,2000-03-01,6.2,6.2,5.5,5.5,57600
43,ok,2000-03-02,5.38,5.5,5.25,5.5,10800
44,ok,2000-03-05,5.3,5.5,5.25,5.33,24200
45,ok,2000-03-06,5.0,5.25,4.9,5.0,17600
46,ok,2000-03-07,5.05,5.25,4.85,5.0,19400
47,ok,2000-03-08,5.1,5.25,5.0,5.25,33000
48,ok,2000-03-09,5.2,5.5,5.13,5.4,14000
49,ok,2000-03-12,5.03,5.38,5.0,5.3,39400
50,ok,2000-03-13,5.13,5.45,5.13,5.28,32400
51,ok,2000-03-14,5.25,5.75,5.25,5.75,4800
52,ok,2000-03-15,5.55,5.75,5.25,5.28,18600
53,ok,2000-03-20,5.0,5.25,4.75,5.1,36000
54,ok,2000-03-21,5.25,5.73,5.25,5.68,13600
55,ok,2000-03-22,5.78,5.85,5.75,5.78,172600
56,ok,2000-03-23,5.7,5.88,5.53,5.55,5200
57,ok,2000-03-26,5.5,5.93,5.5,5.78,19800
58,ok,2000-03-27,5.33,5.53,5.3,5.35,15600
59,ok,2000-03-28,5.68,5.7,5.33,5.35,5200
60,ok,2000-03-29,5.25,5.55,5.25,5.55,600
61,ok,2000-03-30,5.28,5.55,5.28,5.53,800
62,ok,2000-04-02,5.48,6.0,5.48,6.0,15600
63,ok,2000-04-03,6.25,6.25,5.25,5.28,24400
64,ok,2000-04-04,5.5,5.8,5.5,5.63,7200
65,ok,2000-04-05,5.85,6.0,5.78,5.83,2600
66,ok,2000-04-06,5.63,6.33,5.63,6.23,14400
67,ok,2000-04-09,6.25,6.25,6.03,6.1,17400
68,ok,2000-04-11,7.2,7.2,5.8,5.9,22000
69,ok,2000-04-12,6.28,6.3,5.93,5.95,9800
70,ok,2000-04-16,5.63,6.0,5.63,5.98,6200
71,ok,2000-04-17,5.75,6.0,5.75,5.98,16600
72,ok,2000-04-18,5.88,5.88,5.88,5.88,4000
73,ok,2000-04-19,5.5,5.88,5.5,5.88,2000
74,ok,2000-04-23,5.63,5.63,5.25,5.25,3600
75,ok,2000-04-24,5.25,5.63,5.15,5.15,4200
76,ok,2000-04-25,5.35,5.75,5.25,5.68,5000
77,ok,2000-04-26,5.45,6.03,5.45,6.0,22800
78,ok,2000-04-27,6.0,6.25,6.0,6.0,13600
79,ok,2000-05-01,5.55,6.25,5.5,5.85,29400
80,ok,2000-05-02,6.0,6.23,6.0,6.0,12600
81,ok,2000-05-03,6.1,6.1,6.0,6.05,4200
82,ok,2000-05-04,6.05,6.05,6.0,6.0,13600
83,ok,2000-05-07,6.0,6.15,5.75,6.0,21600
