,s,t,o,h,l,c,v
0,ok,2005-06-20,51.99,52.09,51.13,51.42,22149
1,ok,2005-06-21,52.33,53.1,51.37,51.71,28740
2,ok,2005-06-22,51.56,52.28,50.94,51.47,16276
3,ok,2005-06-23,57.61,57.61,51.85,54.25,206531
4,ok,2005-06-26,54.64,54.68,52.19,52.62,33333
5,ok,2005-06-27,54.4,54.4,50.22,50.84,24041
6,ok,2005-06-28,52.28,52.28,50.99,51.71,11932
7,ok,2005-06-29,53.2,53.39,51.61,51.99,19022
8,ok,2005-06-30,52.81,52.91,50.99,52.52,16574
9,ok,2005-07-03,52.81,54.16,52.19,52.96,162116
10,ok,2005-07-04,52.33,55.21,51.95,52.33,226552
11,ok,2005-07-05,53.77,54.54,52.96,53.39,86984
12,ok,2005-07-06,52.81,54.06,50.55,50.89,149103
13,ok,2005-07-07,52.52,53.24,51.75,52.19,331000
14,ok,2005-07-10,53.39,54.54,52.67,52.96,592377
15,ok,2005-07-11,53.29,56.22,53.29,55.21,696649
16,ok,2005-07-12,55.93,56.94,55.21,55.45,262492
17,ok,2005-07-13,56.36,57.32,54.92,55.36,483623
18,ok,2005-07-14,55.98,57.04,54.49,55.07,368139
19,ok,2005-07-17,57.61,57.61,55.21,56.22,405017
20,ok,2005-07-18,60.01,62.41,57.04,57.95,983433
21,ok,2005-07-19,62.89,62.89,56.41,56.94,402439
22,ok,2005-07-20,57.9,58.09,55.31,55.69,222102
23,ok,2005-07-21,56.94,56.94,55.31,55.98,274692
24,ok,2005-07-24,56.65,57.04,55.84,56.03,302453
25,ok,2005-07-25,56.56,56.56,54.06,54.64,252969
26,ok,2005-07-26,55.6,55.6,53.82,54.73,180462
27,ok,2005-07-28,54.68,55.45,54.2,54.73,190801
28,ok,2005-07-31,55.69,55.69,53.29,53.53,121580
29,ok,2005-08-01,54.68,54.68,53.77,54.16,123922
30,ok,2005-08-02,54.64,54.64,53.87,54.25,272619
31,ok,2005-08-03,54.68,55.45,53.96,54.49,285205
32,ok,2005-08-04,54.92,55.45,54.3,54.73,175390
33,ok,2005-08-07,55.69,55.69,54.44,54.88,222335
34,ok,2005-08-08,55.5,55.5,53.05,53.58,141855
35,ok,2005-08-09,54.35,54.59,53.77,54.01,197855
36,ok,2005-08-10,54.54,55.16,54.01,54.83,134311
37,ok,2005-08-11,56.6,56.8,55.12,56.08,215489
38,ok,2005-08-15,67.21,67.21,55.69,57.13,185725
39,ok,2005-08-16,58.38,60.44,58.14,59.0,1735354
40,ok,2005-08-17,60.01,60.49,58.38,58.57,968582
41,ok,2005-08-18,60.35,60.49,52.81,59.24,898122
42,ok,2005-08-21,60.2,61.07,59.05,59.58,3646187
43,ok,2005-08-22,60.4,65.05,60.01,60.78,1249538
44,ok,2005-08-23,61.45,62.65,60.11,61.07,915772
45,ok,2005-08-24,60.4,61.93,59.72,60.88,414198
46,ok,2005-08-25,67.21,67.21,60.92,61.64,540833
47,ok,2005-08-28,61.93,62.41,60.64,61.26,251521
48,ok,2005-08-29,62.41,63.37,60.4,60.92,424401
49,ok,2005-08-30,62.22,63.42,61.55,61.79,1423999
50,ok,2005-08-31,61.93,63.33,61.93,62.89,1837894
51,ok,2005-09-01,63.37,67.98,63.37,65.63,3226749
52,ok,2005-09-04,66.16,69.61,65.77,68.08,1887618
53,ok,2005-09-05,69.04,69.47,67.98,68.32,1485046
54,ok,2005-09-07,68.85,73.74,68.27,72.93,2068540
55,ok,2005-09-08,72.98,76.53,70.48,72.88,2945398
56,ok,2005-09-11,73.6,76.0,72.98,73.89,3350140
57,ok,2005-09-12,74.22,75.04,72.5,73.41,2033663
58,ok,2005-09-13,72.98,74.7,70.72,71.53,2126185
59,ok,2005-09-14,72.3,72.98,71.53,72.16,914192
60,ok,2005-09-15,72.93,73.7,71.44,72.06,1224568
61,ok,2005-09-18,73.46,74.13,72.06,72.83,1213939
62,ok,2005-09-19,73.89,76.82,70.67,70.96,565411
63,ok,2005-09-20,71.73,71.82,61.93,68.08,725731
64,ok,2005-09-21,68.08,68.08,59.1,60.97,409310
65,ok,2005-09-22,72.02,72.02,60.83,62.85,527025
66,ok,2005-09-25,63.81,67.17,63.71,66.35,624498
67,ok,2005-09-26,67.12,67.41,64.53,65.2,609928
68,ok,2005-09-27,76.82,76.82,64.62,65.92,357712
69,ok,2005-09-28,66.73,66.93,63.47,63.76,686818
70,ok,2005-09-29,63.85,64.09,62.46,63.37,329701
71,ok,2005-10-02,63.95,65.68,63.57,64.29,955683
72,ok,2005-10-03,64.53,65.97,64.53,65.2,752924
73,ok,2005-10-04,65.68,65.73,64.43,64.96,429836
74,ok,2005-10-05,64.53,66.45,62.51,64.72,316346
75,ok,2005-10-06,66.16,66.16,62.51,64.72,473628
76,ok,2005-10-09,65.49,65.49,63.18,63.71,396370
77,ok,2005-10-10,64.33,64.33,61.45,62.22,194149
78,ok,2005-10-12,72.02,72.02,60.49,60.92,150262
79,ok,2005-10-13,61.31,61.31,59.53,60.2,209342
80,ok,2005-10-16,61.93,61.93,58.33,59.68,213836
81,ok,2005-10-17,65.29,65.29,59.39,60.11,246480
