,s,t,o,h,l,c,v
0,ok,2000-01-02,9.38,10.04,9.22,9.83,69250
1,ok,2000-01-03,10.38,10.38,9.2,9.33,43250
2,ok,2000-01-04,9.6,9.6,8.65,9.14,26750
3,ok,2000-01-05,9.0,9.78,9.0,9.53,73500
4,ok,2000-01-06,9.34,9.34,8.77,8.79,35500
5,ok,2000-01-09,9.0,9.04,8.7,8.8,39750
6,ok,2000-01-10,8.44,8.86,8.44,8.54,68250
7,ok,2000-01-11,8.8,8.8,8.55,8.74,21250
8,ok,2000-01-12,8.8,8.9,8.6,8.6,12500
9,ok,2000-01-13,8.23,8.58,8.23,8.41,6750
10,ok,2000-01-16,8.57,8.7,8.43,8.58,55750
11,ok,2000-01-17,8.4,8.5,8.31,8.4,45500
12,ok,2000-01-18,8.74,8.98,8.51,8.72,42750
13,ok,2000-01-19,8.78,8.78,8.43,8.47,21500
14,ok,2000-01-20,8.42,8.66,8.41,8.47,14000
15,ok,2000-01-23,8.32,8.5,8.2,8.21,31750
16,ok,2000-01-24,8.2,8.6,8.2,8.23,37000
17,ok,2000-01-26,8.5,8.57,8.2,8.3,34250
18,ok,2000-01-27,8.88,8.88,8.51,8.75,116500
19,ok,2000-01-30,8.75,8.75,8.2,8.23,48750
20,ok,2000-01-31,7.92,8.2,7.8,7.87,64750
21,ok,2000-02-01,8.4,8.4,8.0,8.27,64250
22,ok,2000-02-02,8.4,8.5,8.24,8.41,41000
23,ok,2000-02-03,8.55,8.7,8.45,8.5,37000
24,ok,2000-02-06,8.58,8.58,8.2,8.26,29250
25,ok,2000-02-07,8.3,8.36,7.61,7.74,74000
26,ok,2000-02-08,8.35,8.35,8.0,8.13,23500
27,ok,2000-02-09,7.9,7.95,7.7,7.72,17500
28,ok,2000-02-10,7.7,7.99,7.7,7.84,15000
29,ok,2000-02-13,7.96,7.96,7.46,7.6,12250
30,ok,2000-02-14,7.46,7.7,7.3,7.41,34250
31,ok,2000-02-15,7.64,7.64,7.2,7.32,19500
32,ok,2000-02-16,7.06,7.38,7.05,7.25,14750
33,ok,2000-02-17,7.4,7.44,7.07,7.26,51000
34,ok,2000-02-20,7.04,7.05,6.81,6.96,42250
35,ok,2000-02-21,7.0,7.0,6.5,6.76,59500
36,ok,2000-02-22,6.73,7.18,6.73,7.1,16750
37,ok,2000-02-23,7.29,7.6,7.2,7.26,35750
38,ok,2000-02-24,7.0,7.0,6.95,6.95,1000
39,ok,2000-02-27,7.0,7.51,6.85,7.39,7750
40,ok,2000-02-28,7.4,7.55,6.8,6.95,81000
41,ok,2000-02-29,7.35,7.5,7.12,7.44,40500
42,ok,2000-03-01,7.21,8.03,7.21,7.43,57000
43,ok,2000-03-02,7.45,7.45,7.15,7.28,31500
44,ok,2000-03-05,7.4,7.87,7.08,7.84,162000
45,ok,2000-03-06,7.35,8.08,7.35,7.52,312000
46,ok,2000-03-07,7.86,7.86,7.66,7.75,236000
47,ok,2000-03-08,7.8,7.96,7.13,7.13,40750
48,ok,2000-03-09,6.75,7.09,6.6,6.65,48250
49,ok,2000-03-12,6.3,6.6,6.16,6.21,29000
50,ok,2000-03-13,6.5,6.71,6.0,6.69,72000
51,ok,2000-03-14,6.98,7.22,6.64,7.2,70750
52,ok,2000-03-15,7.0,7.2,6.9,7.07,43500
53,ok,2000-03-20,7.08,7.1,6.72,6.92,43250
54,ok,2000-03-21,6.63,6.8,6.42,6.5,47250
55,ok,2000-03-22,6.47,6.47,6.23,6.32,10750
56,ok,2000-03-23,6.4,6.48,6.25,6.45,10750
57,ok,2000-03-26,6.56,6.56,6.21,6.26,17750
58,ok,2000-03-27,6.38,6.58,6.31,6.52,25750
59,ok,2000-03-28,6.6,6.6,6.4,6.42,18000
60,ok,2000-03-29,6.3,6.4,6.22,6.4,20250
61,ok,2000-03-30,6.38,6.55,6.38,6.52,22250
62,ok,2000-04-02,6.5,6.5,6.1,6.25,47000
63,ok,2000-04-03,6.1,6.36,5.8,5.88,129500
64,ok,2000-04-04,6.0,6.35,6.0,6.09,22250
65,ok,2000-04-05,6.3,6.3,5.88,6.0,8000
66,ok,2000-04-06,5.86,6.3,5.86,6.23,12500
67,ok,2000-04-09,6.0,6.33,6.0,6.26,38750
68,ok,2000-04-11,6.37,6.37,6.24,6.24,3000
69,ok,2000-04-12,5.97,6.3,5.97,6.11,28250
70,ok,2000-04-16,6.17,6.17,6.17,6.17,500
71,ok,2000-04-17,6.11,6.12,6.11,6.11,16500
72,ok,2000-04-18,6.01,6.02,5.9,6.0,84000
73,ok,2000-04-19,5.8,6.0,5.68,5.68,11500
74,ok,2000-04-23,5.8,6.04,5.71,5.72,7250
75,ok,2000-04-24,5.6,5.98,5.42,5.79,24250
76,ok,2000-04-25,5.72,5.72,5.7,5.7,1000
77,ok,2000-04-26,5.98,6.0,5.4,5.41,17000
78,ok,2000-04-27,5.4,5.42,5.4,5.4,10500
79,ok,2000-05-01,5.4,5.6,5.05,5.29,20000
80,ok,2000-05-02,5.25,5.25,4.96,4.99,27000
81,ok,2000-05-03,5.16,5.38,4.86,4.96,25500
82,ok,2000-05-04,5.19,5.19,4.96,4.98,19500
83,ok,2000-05-07,5.0,5.2,5.0,5.2,1500
84,ok,2000-05-08,5.25,5.25,4.85,5.1,18000
85,ok,2000-05-09,5.35,5.36,5.1,5.15,11750
86,ok,2000-05-10,5.21,5.21,5.06,5.06,4000
87,ok,2000-05-11,5.2,5.3,5.2,5.24,5250
88,ok,2000-05-14,4.86,5.4,4.86,5.35,23000
89,ok,2000-05-15,5.39,5.6,5.3,5.59,18000
90,ok,2000-05-16,5.62,5.96,5.6,5.96,16500
91,ok,2000-05-17,6.19,6.29,5.81,6.05,14750
92,ok,2000-05-18,6.0,6.1,5.7,6.08,21250
93,ok,2000-05-21,5.68,5.98,5.68,5.92,8250
94,ok,2000-05-22,5.51,5.84,5.51,5.81,49000
95,ok,2000-05-23,5.8,6.0,5.6,5.88,37250
96,ok,2000-05-24,6.05,6.05,5.81,5.86,5000
97,ok,2000-05-25,5.9,5.93,5.9,5.9,10000
98,ok,2000-05-28,5.9,6.05,5.85,5.85,4000
99,ok,2000-05-29,6.03,6.31,5.86,6.23,22000
100,ok,2000-05-30,6.38,6.6,6.1,6.1,26250
101,ok,2000-05-31,6.04,6.4,6.04,6.25,11500
102,ok,2000-06-01,6.14,6.16,6.1,6.1,25500
103,ok,2000-06-04,6.48,6.48,6.3,6.3,10750
104,ok,2000-06-05,6.07,6.18,6.07,6.1,18500
105,ok,2000-06-06,6.38,6.38,6.05,6.27,9500
106,ok,2000-06-07,6.13,6.2,6.12,6.19,11000
107,ok,2000-06-08,6.4,6.4,5.86,6.0,14500
108,ok,2000-06-11,5.66,6.48,5.66,6.44,25500
109,ok,2000-06-12,6.6,6.78,6.3,6.47,16500
110,ok,2000-06-13,6.8,6.99,6.7,6.99,44750
111,ok,2000-06-14,7.54,7.54,7.01,7.36,55000
112,ok,2000-06-15,7.9,7.9,7.14,7.73,65500
113,ok,2000-06-18,8.0,8.26,7.7,7.71,64500
114,ok,2000-06-19,8.2,8.2,7.2,7.31,59500
115,ok,2000-06-20,7.9,7.9,7.04,7.25,59750
116,ok,2000-06-21,7.76,7.76,7.1,7.34,41000
117,ok,2000-06-22,7.59,7.59,7.0,7.0,25000
118,ok,2000-06-25,7.17,7.17,6.74,6.78,13500
119,ok,2000-06-26,7.3,7.31,6.34,6.4,67000
120,ok,2000-06-27,6.67,6.67,6.45,6.45,15000
121,ok,2000-06-28,6.68,6.96,6.6,6.89,57500
122,ok,2000-06-29,7.45,7.45,6.66,6.66,21500
123,ok,2000-07-02,7.08,7.08,6.8,6.84,11750
124,ok,2000-07-03,6.9,6.9,6.42,6.47,20000
125,ok,2000-07-04,6.8,6.8,6.6,6.6,17250
126,ok,2000-07-05,6.5,6.6,6.33,6.55,31750
127,ok,2000-07-06,6.34,6.4,6.21,6.39,16000
128,ok,2000-07-09,6.02,6.39,5.93,6.21,32250
129,ok,2000-07-10,6.04,6.29,6.02,6.08,31000
130,ok,2000-07-11,6.57,6.57,6.57,6.57,23750
131,ok,2000-07-12,6.96,7.1,6.6,6.84,102000
132,ok,2000-07-13,6.65,6.75,6.6,6.68,51750
133,ok,2000-07-16,6.59,6.65,6.46,6.61,34890
134,ok,2000-07-17,6.52,6.6,6.3,6.32,59250
135,ok,2000-07-18,6.4,6.54,6.35,6.4,16795
136,ok,2000-07-19,6.42,6.55,6.3,6.49,9755
137,ok,2000-07-20,6.4,6.54,6.4,6.49,3850
138,ok,2000-07-23,6.58,6.64,6.41,6.41,28245
139,ok,2000-07-24,6.8,6.92,6.4,6.57,11755
140,ok,2000-07-25,6.79,6.79,6.42,6.46,10250
141,ok,2000-07-26,6.57,6.65,6.5,6.62,19795
142,ok,2000-07-27,6.6,6.6,6.5,6.5,20250
143,ok,2000-07-30,6.49,6.56,6.45,6.45,13900
144,ok,2000-07-31,6.42,6.42,6.27,6.35,12655
145,ok,2000-08-01,6.54,6.55,6.3,6.4,10350
146,ok,2000-08-02,6.25,6.42,6.25,6.27,8750
147,ok,2000-08-03,6.31,6.41,6.28,6.41,9250
148,ok,2000-08-06,6.36,6.46,6.28,6.39,21750
149,ok,2000-08-07,6.5,6.5,6.32,6.38,28250
150,ok,2000-08-08,6.8,6.8,6.12,6.33,6500
151,ok,2000-08-09,6.82,6.82,6.4,6.4,14140
152,ok,2000-08-10,6.78,6.78,6.31,6.45,7750
153,ok,2000-08-13,6.1,6.5,6.1,6.42,53295
154,ok,2000-08-15,6.9,6.9,6.4,6.45,4000
155,ok,2000-08-16,6.94,6.94,6.34,6.34,5000
156,ok,2000-08-17,6.85,6.85,5.9,6.19,17800
