,s,t,o,h,l,c,v
0,ok,2006-10-17,31.2,31.2,28.52,28.93,25100
1,ok,2006-10-18,31.2,31.2,28.81,28.83,2450
2,ok,2006-10-19,29.27,29.6,29.08,29.39,22725
3,ok,2006-10-20,30.88,30.88,29.61,30.08,17300
4,ok,2006-10-22,30.6,30.6,29.04,29.41,4975
5,ok,2006-10-25,29.44,30.0,29.04,29.16,4950
6,ok,2006-10-26,29.96,30.0,29.32,29.41,2125
7,ok,2006-10-29,30.0,32.1,30.0,31.71,521525
8,ok,2006-10-30,31.64,32.0,30.8,30.85,170175
9,ok,2006-10-31,31.64,33.92,29.68,30.89,28475
10,ok,2006-11-01,31.52,31.52,30.28,30.66,47750
11,ok,2006-11-02,29.7,30.68,29.7,30.2,33950
12,ok,2006-11-05,29.76,31.56,29.76,30.82,58925
13,ok,2006-11-06,31.16,32.84,31.08,32.09,259775
14,ok,2006-11-07,31.2,32.0,30.92,31.45,126575
15,ok,2006-11-08,34.0,34.0,31.0,32.71,584875
16,ok,2006-11-09,32.8,35.36,32.8,34.08,441525
17,ok,2006-11-12,32.41,34.8,32.41,33.3,95000
18,ok,2006-11-13,32.2,33.72,31.8,31.81,69700
19,ok,2006-11-14,32.04,33.52,31.8,33.01,205925
20,ok,2006-11-15,36.0,36.0,31.88,32.07,176775
21,ok,2006-11-16,32.12,32.6,31.4,32.11,120925
22,ok,2006-11-19,32.68,32.68,30.6,31.53,45875
23,ok,2006-11-20,31.4,32.31,31.4,32.24,5875
24,ok,2006-11-21,32.24,32.72,32.17,32.41,47825
25,ok,2006-11-22,35.96,35.96,31.64,32.09,9125
26,ok,2006-11-23,31.68,32.0,30.84,30.99,55950
27,ok,2006-11-26,33.56,33.56,30.4,30.8,14600
28,ok,2006-11-27,31.6,31.6,30.6,31.08,20025
29,ok,2006-11-28,32.8,32.8,30.6,30.76,8200
30,ok,2006-11-29,31.2,31.2,30.2,30.35,12850
31,ok,2006-11-30,31.92,32.0,30.44,30.8,23450
32,ok,2006-12-03,30.8,30.8,30.04,30.1,34575
33,ok,2006-12-04,30.96,32.6,30.96,31.35,66700
34,ok,2006-12-05,31.6,31.6,30.24,30.39,13925
35,ok,2006-12-06,29.2,33.92,29.2,32.63,282825
36,ok,2006-12-07,32.76,32.76,31.21,31.44,58675
37,ok,2006-12-10,31.2,31.64,30.0,30.63,48575
38,ok,2006-12-11,30.4,31.8,29.4,30.01,75700
39,ok,2006-12-12,30.0,31.19,29.21,30.82,76475
40,ok,2006-12-13,31.0,32.2,31.0,31.93,20550
41,ok,2006-12-14,33.0,33.0,32.0,32.35,106925
42,ok,2006-12-17,32.0,32.28,31.68,32.04,6700
43,ok,2006-12-18,32.96,32.96,30.88,31.0,20050
44,ok,2006-12-19,33.98,33.98,31.24,31.5,49175
45,ok,2006-12-20,29.34,33.04,29.34,32.51,186675
46,ok,2006-12-21,32.8,33.56,32.0,32.5,101350
47,ok,2006-12-25,33.92,33.92,32.8,32.83,55950
48,ok,2006-12-26,31.2,33.0,31.2,31.81,55450
49,ok,2006-12-27,33.6,33.6,31.4,33.03,205475
50,ok,2006-12-28,31.0,33.0,31.0,32.35,36350
51,ok,2007-01-01,31.21,33.15,31.21,33.04,41100
52,ok,2007-01-02,35.96,35.96,33.0,33.36,110625
