,s,t,o,h,l,c,v
0,ok,2008-10-07,11.8,21.28,11.8,21.28,1612
1,ok,2008-10-09,25.55,25.55,20.0,25.55,6124
2,ok,2008-10-12,30.68,30.68,30.68,30.68,210
3,ok,2008-10-13,36.83,36.83,36.83,36.83,2
4,ok,2008-10-14,44.2,44.2,44.2,44.2,2
5,ok,2008-10-15,53.05,53.05,53.05,53.05,2
6,ok,2008-10-16,58.38,58.38,58.38,58.38,22
7,ok,2008-10-19,64.23,64.23,55.0,63.5,1438
8,ok,2008-10-20,69.5,69.85,69.5,69.85,122
9,ok,2008-10-21,76.85,76.85,76.85,76.85,72
10,ok,2008-10-22,84.55,84.55,84.55,84.55,80
11,ok,2008-10-23,85.0,88.75,85.0,88.75,556
12,ok,2008-10-26,88.5,88.5,84.35,84.35,96
13,ok,2008-10-27,84.35,84.35,84.35,84.35,20
14,ok,2008-10-30,80.5,80.5,80.5,80.5,10
15,ok,2008-11-02,76.5,76.5,76.5,76.5,40
16,ok,2008-11-03,72.7,72.7,72.7,72.7,116
17,ok,2008-11-04,69.1,69.1,69.1,69.1,10
18,ok,2008-11-05,65.65,65.65,65.65,65.65,15530
19,ok,2008-11-06,62.4,62.4,62.4,62.4,10
20,ok,2008-11-09,59.3,59.3,59.3,59.3,20324
21,ok,2008-11-10,56.35,62.28,56.35,56.58,654
22,ok,2008-11-11,53.88,59.4,53.75,59.4,1940
23,ok,2008-11-13,59.23,59.23,56.5,56.5,254
24,ok,2008-11-17,53.7,53.7,53.7,53.7,200
25,ok,2008-11-18,51.05,51.05,51.05,51.05,2
26,ok,2008-11-19,48.6,48.6,48.6,48.6,2
27,ok,2008-11-20,48.5,48.5,46.18,46.18,240
28,ok,2008-11-24,43.88,43.88,43.88,43.88,348
29,ok,2008-11-25,41.7,41.7,41.7,41.7,40
30,ok,2008-11-27,41.7,41.7,39.65,39.65,452
31,ok,2008-11-30,37.68,37.68,37.68,37.68,90
32,ok,2008-12-01,36.0,36.0,36.0,36.0,100
33,ok,2008-12-02,35.0,36.0,35.0,35.0,2112
34,ok,2008-12-03,33.45,33.45,33.25,33.25,1210
35,ok,2008-12-04,33.25,33.5,31.6,31.7,1458
