,s,t,o,h,l,c,v
0,ok,2013-11-10,120.65,120.65,120.65,120.65,3
1,ok,2013-11-11,114.65,114.65,114.65,114.65,1
2,ok,2013-11-12,108.95,108.95,108.95,108.95,1
3,ok,2013-11-13,103.55,103.55,103.55,103.55,303
4,ok,2013-11-18,98.4,98.4,98.4,98.4,133
5,ok,2013-11-19,93.5,93.5,93.5,93.5,100
6,ok,2013-11-20,88.85,88.85,88.85,88.85,4
7,ok,2013-11-21,84.45,84.45,84.45,84.45,75
8,ok,2013-11-24,80.25,80.25,80.25,80.25,14
9,ok,2013-11-25,76.0,76.0,67.25,67.5,7094
10,ok,2013-11-26,54.05,69.9,54.0,60.2,19678
11,ok,2013-11-27,60.0,62.1,56.3,56.65,4234
12,ok,2013-11-28,54.0,58.0,54.0,55.75,3273
13,ok,2013-12-01,54.65,61.3,54.65,61.3,10465
14,ok,2013-12-02,63.0,67.4,63.0,67.4,6323
15,ok,2013-12-03,74.1,74.1,74.1,74.1,3190
16,ok,2013-12-04,77.8,77.8,74.1,77.8,11932
17,ok,2013-12-05,81.6,81.65,74.5,75.3,10899
18,ok,2013-12-08,72.05,78.2,71.55,71.55,2654
19,ok,2013-12-09,71.5,71.5,68.1,68.15,2632
20,ok,2013-12-10,67.0,67.0,64.75,65.0,2016
21,ok,2013-12-11,65.0,66.0,63.2,64.7,10218
22,ok,2013-12-12,63.0,64.7,62.0,62.25,490
23,ok,2013-12-15,62.5,62.5,59.15,61.95,836
24,ok,2013-12-16,59.0,61.95,59.0,59.5,862
25,ok,2013-12-17,58.0,60.95,58.0,60.1,951
26,ok,2013-12-18,57.1,60.95,57.1,59.0,928
27,ok,2013-12-19,57.1,60.0,56.05,58.1,2837
28,ok,2013-12-22,58.1,61.0,58.0,61.0,2218
29,ok,2013-12-23,64.0,64.0,60.75,61.55,948
30,ok,2013-12-25,60.0,63.4,60.0,62.25,2064
31,ok,2013-12-26,60.0,65.0,60.0,64.05,4213
32,ok,2013-12-29,64.05,66.5,61.25,65.75,1506
33,ok,2013-12-30,64.1,67.45,64.05,65.1,3904
34,ok,2013-12-31,66.4,66.4,63.15,64.2,1613
35,ok,2014-01-01,63.35,65.0,61.25,63.7,3924
36,ok,2014-01-02,61.0,62.95,60.6,62.65,815
37,ok,2014-01-05,60.6,63.7,60.05,62.15,1459
38,ok,2014-01-06,60.25,62.2,60.25,61.0,746
39,ok,2014-01-07,61.0,63.75,61.0,62.75,684
40,ok,2014-01-08,61.0,63.45,61.0,61.5,842
41,ok,2014-01-09,60.5,61.85,60.0,60.15,1556
42,ok,2014-01-12,60.0,63.0,58.5,60.35,2287
43,ok,2014-01-13,59.1,60.85,58.7,58.95,447
44,ok,2014-01-14,58.1,59.95,57.25,58.45,2553
45,ok,2014-01-15,57.25,59.95,57.25,57.9,644
46,ok,2014-01-16,57.25,58.05,57.0,57.5,747
47,ok,2014-01-19,57.5,58.0,55.05,57.95,655
48,ok,2014-01-20,54.0,59.0,54.0,56.2,758
49,ok,2014-01-21,55.1,57.85,54.35,55.45,714
50,ok,2014-01-22,57.0,59.0,55.05,56.3,1031
51,ok,2014-01-23,54.4,58.0,54.4,55.0,471
52,ok,2014-01-26,55.0,56.5,53.25,53.3,189
53,ok,2014-01-27,50.0,54.9,50.0,53.9,905
54,ok,2014-01-28,50.2,53.2,49.05,50.4,2740
55,ok,2014-01-29,47.2,49.65,47.0,47.65,854
56,ok,2014-01-30,46.0,49.85,46.0,46.9,4702
57,ok,2014-02-02,46.05,49.15,46.05,47.9,2328
58,ok,2014-02-03,46.05,49.35,46.05,49.0,2323
59,ok,2014-02-04,49.0,50.6,48.2,50.3,629
60,ok,2014-02-05,48.7,49.9,48.7,49.15,764
61,ok,2014-02-06,48.05,50.5,48.05,48.75,2245
62,ok,2014-02-09,48.05,48.5,48.05,48.5,60
63,ok,2014-02-10,46.5,52.75,46.5,49.0,1691
64,ok,2014-02-11,46.05,52.8,46.05,48.85,1330
65,ok,2014-02-12,52.65,52.65,47.5,48.0,971
66,ok,2014-02-13,47.3,47.3,43.3,44.4,3978
67,ok,2014-02-16,43.3,45.9,40.45,42.15,5939
68,ok,2014-02-17,40.3,44.7,40.3,43.0,3292
69,ok,2014-02-18,41.45,45.75,41.45,43.35,1640
70,ok,2014-02-19,43.35,43.35,40.7,41.05,2730
71,ok,2014-02-20,40.75,44.7,40.3,42.25,1662
72,ok,2014-02-23,44.0,44.0,42.05,42.65,538
73,ok,2014-02-24,46.0,46.0,41.25,42.45,583
74,ok,2014-02-25,45.0,45.0,41.2,41.85,550
75,ok,2014-02-27,42.0,45.0,42.0,43.4,2150
76,ok,2014-03-02,42.0,44.9,42.0,42.6,1022
77,ok,2014-03-03,41.95,44.4,40.3,44.1,3245
78,ok,2014-03-04,41.05,47.0,41.05,44.45,2163
79,ok,2014-03-05,43.15,44.95,42.3,44.1,4184
80,ok,2014-03-06,42.1,48.2,42.1,44.3,3662
81,ok,2014-03-09,52.0,53.15,42.65,51.55,6318
82,ok,2014-03-10,51.0,57.5,50.0,52.6,10696
83,ok,2014-03-11,50.5,56.0,50.0,53.95,11259
84,ok,2014-03-12,52.0,57.5,50.7,53.35,14061
85,ok,2014-03-13,51.6,58.0,51.0,52.3,5594
86,ok,2014-03-17,57.85,57.85,52.55,56.4,11975
87,ok,2014-03-18,57.5,62.4,55.2,59.75,10472
88,ok,2014-03-19,64.0,64.0,59.0,62.05,6832
89,ok,2014-03-20,63.95,69.0,59.7,62.5,4551
90,ok,2014-03-21,66.0,74.0,64.0,70.6,3804
91,ok,2014-03-23,74.95,76.0,69.5,72.4,6234
92,ok,2014-03-24,78.0,78.0,70.0,76.5,9696
93,ok,2014-03-25,74.5,81.0,71.15,74.8,23345
94,ok,2014-03-26,76.8,80.0,74.35,77.85,4301
95,ok,2014-03-27,84.95,84.95,77.6,83.2,6832
96,ok,2014-03-30,85.0,91.5,82.0,88.85,11057
97,ok,2014-03-31,94.0,96.9,87.9,91.85,13732
98,ok,2014-04-01,93.55,96.7,87.65,91.75,8453
99,ok,2014-04-02,91.75,100.0,87.2,97.55,23551
100,ok,2014-04-03,95.0,107.0,93.0,97.95,21540
101,ok,2014-04-06,95.0,102.0,92.05,94.6,8864
102,ok,2014-04-08,94.6,99.6,90.1,95.0,8360
103,ok,2014-04-09,99.0,99.0,91.0,93.9,5370
104,ok,2014-04-10,98.0,98.0,86.8,87.15,8131
105,ok,2014-04-14,93.0,93.0,79.0,85.65,7338
106,ok,2014-04-15,80.5,88.95,80.5,82.95,5213
107,ok,2014-04-16,83.9,88.8,81.05,82.95,5617
108,ok,2014-04-20,81.4,83.0,78.8,80.8,2007
109,ok,2014-04-21,80.0,80.8,73.15,76.75,5462
110,ok,2014-04-22,76.75,76.75,70.0,70.8,10670
111,ok,2014-04-24,68.7,74.45,68.15,70.0,2985
112,ok,2014-04-27,67.3,68.05,65.3,66.2,5752
113,ok,2014-04-28,63.0,64.25,62.9,62.9,8053
114,ok,2014-04-29,61.05,61.9,59.8,59.8,16839
115,ok,2014-05-01,57.0,62.35,56.85,57.35,9391
116,ok,2014-05-04,55.0,60.2,55.0,59.55,3623
117,ok,2014-05-05,61.5,62.5,58.75,62.5,4439
118,ok,2014-05-06,65.5,65.6,61.15,65.5,7751
119,ok,2014-05-07,62.85,67.0,62.85,63.5,1268
120,ok,2014-05-08,62.9,66.65,61.1,64.7,2793
121,ok,2014-05-11,62.0,67.0,62.0,62.85,1548
122,ok,2014-05-12,65.0,65.6,60.5,60.55,2172
123,ok,2014-05-13,58.0,63.55,57.6,63.4,2224
124,ok,2014-05-14,60.55,66.55,60.55,66.5,11391
125,ok,2014-05-15,64.0,66.0,63.2,65.0,2107
126,ok,2014-05-18,65.0,68.25,62.2,68.25,3027
127,ok,2014-05-19,69.1,71.65,68.4,71.65,2401
128,ok,2014-05-20,75.0,75.2,71.95,75.2,5948
129,ok,2014-05-21,78.9,78.95,75.35,78.9,12836
130,ok,2014-05-22,82.8,82.8,79.75,82.8,23748
131,ok,2014-05-25,86.9,86.9,86.9,86.9,5608
132,ok,2014-05-26,91.2,91.2,82.7,86.1,16820
133,ok,2014-05-27,83.1,90.4,83.1,86.8,4646
134,ok,2014-05-28,82.55,90.95,82.55,88.0,1862
135,ok,2014-05-29,88.0,91.9,86.2,89.5,4434
136,ok,2014-06-01,90.25,93.95,87.0,91.35,28525
137,ok,2014-06-02,87.5,95.45,87.5,92.05,12076
