,s,t,o,h,l,c,v
0,ok,2003-11-16,82.0,92.0,82.0,86.12,312200
1,ok,2003-11-17,87.0,87.98,79.6,81.45,292720
2,ok,2003-11-18,79.94,82.0,76.4,79.83,419500
3,ok,2003-11-19,80.0,80.6,70.73,72.45,324020
4,ok,2003-11-20,72.0,73.8,66.42,72.53,894585
5,ok,2003-11-23,73.0,80.8,72.42,79.25,435160
6,ok,2003-11-24,81.2,83.0,78.41,79.22,273785
7,ok,2003-11-26,81.6,81.6,75.6,76.16,152960
8,ok,2003-11-27,78.8,78.8,74.26,77.37,370300
9,ok,2003-11-30,76.5,77.59,74.02,74.79,295080
10,ok,2003-12-01,76.5,78.8,74.6,74.8,264595
11,ok,2003-12-02,78.0,80.8,77.2,77.87,752710
12,ok,2003-12-03,78.24,80.57,77.6,78.26,293175
13,ok,2003-12-04,78.2,79.48,74.5,75.07,178865
14,ok,2003-12-07,75.66,78.0,75.6,77.45,193835
15,ok,2003-12-08,78.2,82.88,77.95,80.19,407960
16,ok,2003-12-09,80.8,83.0,80.6,81.7,374615
17,ok,2003-12-10,82.8,83.56,80.8,82.47,242340
18,ok,2003-12-11,83.98,84.0,81.0,82.7,228025
19,ok,2003-12-14,83.76,93.98,83.4,91.82,1157790
20,ok,2003-12-15,93.0,94.36,87.06,88.89,827330
21,ok,2003-12-16,90.8,91.99,89.25,90.28,315420
22,ok,2003-12-17,90.6,93.8,90.25,91.27,329280
23,ok,2003-12-18,92.0,92.28,90.2,90.29,163960
24,ok,2003-12-21,91.58,95.8,91.02,94.75,448500
25,ok,2003-12-22,96.0,97.98,92.2,93.26,273170
26,ok,2003-12-23,93.42,94.8,92.8,93.61,160250
27,ok,2003-12-25,94.8,97.0,93.9,95.72,276935
28,ok,2003-12-28,98.2,100.8,96.8,98.64,452765
29,ok,2003-12-29,99.96,99.96,95.2,96.3,189045
30,ok,2003-12-30,97.6,99.39,96.0,97.08,259045
31,ok,2003-12-31,97.21,100.6,97.21,98.7,548275
32,ok,2004-01-01,100.0,100.92,98.22,98.41,322515
33,ok,2004-01-04,100.0,100.4,95.2,95.94,371065
34,ok,2004-01-05,96.2,96.79,92.2,92.96,137375
35,ok,2004-01-06,92.6,99.0,91.0,97.36,365515
36,ok,2004-01-07,99.0,101.0,97.0,97.23,389040
37,ok,2004-01-08,101.0,101.0,95.01,97.42,365880
38,ok,2004-01-11,98.0,103.0,98.0,100.85,941375
39,ok,2004-01-12,103.0,105.0,101.8,102.58,670035
40,ok,2004-01-13,104.0,109.6,104.0,108.54,1102865
41,ok,2004-01-14,107.6,112.69,104.0,105.78,795195
42,ok,2004-01-15,107.0,107.0,99.0,101.01,546515
