,s,t,o,h,l,c,v
0,ok,2016-01-27,36.0,37.8,34.2,34.2,382556
1,ok,2016-01-28,34.2,35.9,32.5,35.0,299059
2,ok,2016-01-31,35.1,35.95,33.25,33.25,51353
3,ok,2016-02-01,33.0,33.0,31.6,31.6,64036
4,ok,2016-02-02,30.1,32.0,30.05,30.1,214776
5,ok,2016-02-03,29.15,31.4,29.15,30.6,49038
6,ok,2016-02-04,29.6,32.1,29.6,32.1,63682
7,ok,2016-02-07,33.0,33.65,30.5,30.65,211190
8,ok,2016-02-08,30.9,30.95,29.55,30.0,45384
9,ok,2016-02-09,29.4,31.5,29.0,29.0,145382
10,ok,2016-02-10,30.5,33.4,29.3,30.0,311422
11,ok,2016-02-11,30.0,32.0,28.15,30.05,159171
12,ok,2016-02-14,30.0,32.5,28.4,29.0,343098
13,ok,2016-02-15,29.0,30.8,27.3,27.85,152493
14,ok,2016-02-16,27.95,30.05,27.3,28.2,286809
15,ok,2016-02-17,28.95,30.4,28.75,29.05,109194
16,ok,2016-02-18,29.6,30.45,28.5,29.2,249296
17,ok,2016-02-21,28.9,34.85,28.9,32.1,770936
18,ok,2016-02-22,32.35,32.35,29.45,29.9,147331
19,ok,2016-02-23,30.45,32.2,28.75,29.0,281224
20,ok,2016-02-24,29.25,31.05,28.4,28.95,233046
21,ok,2016-02-25,29.75,32.0,28.85,31.0,622003
22,ok,2016-02-28,30.2,32.5,28.75,29.0,279123
23,ok,2016-02-29,29.8,30.25,28.5,28.95,329788
24,ok,2016-03-01,29.6,30.05,28.8,29.35,124436
25,ok,2016-03-02,29.5,30.4,28.9,29.0,192320
26,ok,2016-03-03,29.6,29.65,28.7,29.1,104903
27,ok,2016-03-07,29.15,30.0,28.75,28.9,174807
28,ok,2016-03-08,28.9,29.6,28.85,29.0,61441
29,ok,2016-03-09,29.3,29.35,28.75,28.8,43663
30,ok,2016-03-10,28.8,29.2,28.5,28.7,52975
31,ok,2016-03-13,29.0,29.5,28.6,28.7,29395
32,ok,2016-03-14,28.9,28.9,27.8,28.1,54801
33,ok,2016-03-15,28.1,30.0,27.8,28.5,321424
34,ok,2016-03-16,28.5,29.6,27.9,28.05,145846
35,ok,2016-03-17,28.5,28.6,27.4,27.95,109376
36,ok,2016-03-20,27.4,28.4,27.4,28.0,74952
37,ok,2016-03-21,28.0,28.0,27.1,27.65,107535
38,ok,2016-03-22,27.4,28.0,27.3,27.4,109826
39,ok,2016-03-27,28.5,28.5,24.7,25.75,179725
40,ok,2016-03-28,26.35,27.5,25.25,25.95,129072
41,ok,2016-03-29,26.25,27.95,26.25,26.5,112626
42,ok,2016-03-30,26.05,27.2,26.0,26.45,34209
43,ok,2016-03-31,26.9,27.9,26.3,26.5,132296
44,ok,2016-04-03,27.0,28.7,26.6,28.3,194194
45,ok,2016-04-04,28.1,29.5,27.1,27.45,174940
46,ok,2016-04-05,27.5,28.75,27.5,28.35,191875
47,ok,2016-04-06,28.1,31.7,28.1,30.8,589452
48,ok,2016-04-07,30.0,31.35,29.6,30.8,213509
49,ok,2016-04-10,30.05,32.5,30.05,32.05,190424
50,ok,2016-04-11,32.45,33.45,31.6,31.8,259392
51,ok,2016-04-12,31.0,32.5,31.0,31.55,36109
52,ok,2016-04-17,31.5,32.5,31.15,31.9,55320
53,ok,2016-04-19,32.2,34.5,32.0,33.75,352590
54,ok,2016-04-20,33.85,35.9,33.35,35.15,257216
55,ok,2016-04-21,35.2,37.65,34.6,36.95,423892
56,ok,2016-04-24,36.4,37.95,36.1,36.5,95550
57,ok,2016-04-25,36.2,39.8,36.0,39.4,766716
58,ok,2016-04-26,39.5,41.75,34.1,35.6,522382
59,ok,2016-04-27,35.65,36.5,34.0,34.3,138254
60,ok,2016-04-28,34.0,35.55,33.7,34.75,45594
61,ok,2016-05-01,34.2,34.95,33.5,34.45,21400
62,ok,2016-05-02,34.5,35.35,34.1,34.35,9691
63,ok,2016-05-03,34.5,37.15,33.5,36.25,289227
64,ok,2016-05-04,36.25,37.0,34.55,34.95,196727
65,ok,2016-05-05,34.6,35.45,34.0,34.15,82089
66,ok,2016-05-08,35.0,35.0,34.2,34.85,46251
67,ok,2016-05-09,34.5,35.6,34.4,35.0,106392
68,ok,2016-05-10,34.3,35.6,34.05,35.0,24219
69,ok,2016-05-11,34.95,35.35,34.5,35.05,14605
70,ok,2016-05-12,35.0,36.7,34.95,35.25,66822
71,ok,2016-05-15,35.0,36.9,34.55,35.95,102951
72,ok,2016-05-16,35.95,36.7,35.2,35.7,184544
73,ok,2016-05-17,36.1,38.5,36.1,38.25,158562
74,ok,2016-05-18,37.4,40.35,37.4,38.6,176341
75,ok,2016-05-19,38.5,44.4,36.8,39.0,1526938
76,ok,2016-05-22,39.4,41.3,38.6,40.1,146928
77,ok,2016-05-23,40.7,41.25,38.3,38.8,96514
78,ok,2016-05-24,38.25,41.0,38.0,40.05,184255
79,ok,2016-05-25,40.5,43.4,39.3,42.7,1557263
80,ok,2016-05-26,42.75,45.25,41.35,42.0,642144
81,ok,2016-05-29,42.95,44.5,40.7,41.0,1299300
82,ok,2016-05-30,40.65,42.0,39.5,40.4,179338
83,ok,2016-05-31,39.5,40.8,39.1,39.5,132917
84,ok,2016-06-01,39.2,39.75,38.1,38.7,151203
85,ok,2016-06-02,39.05,40.0,37.8,38.0,124836
86,ok,2016-06-05,38.45,38.85,35.5,35.95,339102
87,ok,2016-06-06,35.85,36.65,35.05,35.7,52435
88,ok,2016-06-07,35.85,36.9,34.75,35.6,238238
89,ok,2016-06-08,35.5,36.2,35.0,35.95,64751
90,ok,2016-06-09,36.05,38.1,35.9,36.75,268546
91,ok,2016-06-12,36.0,37.35,35.8,35.95,92177
92,ok,2016-06-13,36.95,37.15,36.5,36.75,55384
93,ok,2016-06-14,37.7,37.7,36.1,37.0,183717
94,ok,2016-06-15,37.7,41.2,36.9,40.5,651700
95,ok,2016-06-16,41.35,41.35,38.9,39.0,53453
96,ok,2016-06-19,39.45,41.45,38.9,40.6,231383
97,ok,2016-06-20,41.4,44.0,39.6,39.95,695519
98,ok,2016-06-21,40.0,41.3,38.35,38.9,156248
99,ok,2016-06-22,38.5,39.3,38.2,39.0,139455
100,ok,2016-06-23,37.3,38.8,37.25,38.0,191612
101,ok,2016-06-26,38.25,39.5,38.25,38.75,24326
102,ok,2016-06-27,38.75,39.0,38.0,38.6,87667
103,ok,2016-06-28,39.3,40.0,38.6,39.3,108135
104,ok,2016-06-29,39.35,39.7,38.75,38.95,70306
105,ok,2016-06-30,39.5,39.7,38.7,38.95,75569
106,ok,2016-07-03,39.0,44.6,39.0,44.25,914608
107,ok,2016-07-04,44.5,45.85,43.2,44.25,403733
108,ok,2016-07-06,44.4,46.4,43.25,45.8,296497
109,ok,2016-07-07,46.6,47.4,45.85,46.7,350683
110,ok,2016-07-10,47.4,50.0,46.85,47.9,367531
111,ok,2016-07-11,48.8,48.8,45.6,46.2,127798
112,ok,2016-07-12,47.75,47.95,44.2,44.8,113739
113,ok,2016-07-13,45.8,45.8,44.25,44.6,72295
114,ok,2016-07-14,44.7,46.0,43.6,43.85,59170
115,ok,2016-07-17,43.85,52.6,43.85,51.75,2188938
116,ok,2016-07-18,50.8,53.7,49.2,49.75,376298
117,ok,2016-07-19,50.45,54.5,48.6,51.2,977593
118,ok,2016-07-20,51.0,53.9,51.0,52.75,330036
119,ok,2016-07-21,52.8,53.15,51.05,51.4,114780
120,ok,2016-07-24,51.85,59.35,51.2,57.3,928657
121,ok,2016-07-25,56.1,64.6,55.5,56.25,1110165
122,ok,2016-07-26,57.75,58.0,55.0,56.25,328854
123,ok,2016-07-27,57.35,58.7,53.4,54.25,516274
124,ok,2016-07-28,55.7,56.5,54.0,54.45,181539
125,ok,2016-07-31,55.35,58.3,54.7,56.75,301886
126,ok,2016-08-01,58.1,65.0,58.0,63.1,1889574
127,ok,2016-08-02,62.2,70.4,62.2,66.3,1628254
128,ok,2016-08-03,67.1,68.45,66.3,66.75,451815
129,ok,2016-08-04,67.55,70.9,66.75,67.9,722491
130,ok,2016-08-07,67.8,74.4,66.4,70.85,833153
131,ok,2016-08-08,71.95,75.4,69.1,71.0,1047826
132,ok,2016-08-09,71.55,76.6,69.8,73.25,1040654
133,ok,2016-08-10,73.5,75.8,72.6,74.5,597426
134,ok,2016-08-11,75.05,76.35,68.25,71.0,932601
