,s,t,o,h,l,c,v
0,ok,2000-01-02,6.68,7.09,6.68,7.06,62700
1,ok,2000-01-03,6.8,6.9,6.62,6.63,143650
2,ok,2000-01-04,6.63,6.86,6.63,6.65,52380
3,ok,2000-01-05,6.63,6.8,6.62,6.7,59525
4,ok,2000-01-06,6.63,6.71,6.62,6.63,26985
5,ok,2000-01-09,6.77,6.77,6.36,6.43,65875
6,ok,2000-01-10,6.43,6.53,6.24,6.28,128570
7,ok,2000-01-11,6.52,6.53,6.44,6.47,23810
8,ok,2000-01-12,6.53,6.61,6.37,6.46,46030
9,ok,2000-01-13,6.55,6.55,6.43,6.49,18255
10,ok,2000-01-16,6.39,6.46,6.38,6.41,19050
11,ok,2000-01-17,6.3,6.39,6.22,6.31,65875
12,ok,2000-01-18,6.41,6.49,6.28,6.32,103970
13,ok,2000-01-19,6.44,6.46,6.24,6.3,42855
14,ok,2000-01-20,6.42,6.43,6.24,6.33,46825
15,ok,2000-01-23,6.24,6.24,6.08,6.1,61905
16,ok,2000-01-24,6.11,6.11,5.8,5.88,126190
17,ok,2000-01-26,6.23,6.23,5.99,6.07,42065
18,ok,2000-01-27,5.99,6.07,5.91,6.07,38890
19,ok,2000-01-30,5.81,5.98,5.81,5.91,29365
20,ok,2000-01-31,5.86,6.02,5.45,5.54,126190
21,ok,2000-02-01,5.67,5.88,5.67,5.82,53970
22,ok,2000-02-02,5.86,5.87,5.72,5.75,114285
23,ok,2000-02-03,5.78,5.8,5.36,5.53,142065
24,ok,2000-02-06,5.39,5.54,5.37,5.47,36510
25,ok,2000-02-07,5.58,5.6,5.29,5.36,136510
26,ok,2000-02-08,5.15,5.53,5.15,5.53,40475
27,ok,2000-02-09,5.3,5.47,5.3,5.38,65875
28,ok,2000-02-10,5.36,5.48,5.21,5.48,36510
29,ok,2000-02-13,5.36,5.46,5.36,5.37,40475
30,ok,2000-02-14,5.18,5.54,5.17,5.49,96030
31,ok,2000-02-15,5.6,5.73,5.48,5.52,35715
32,ok,2000-02-16,5.45,5.54,5.43,5.44,20635
33,ok,2000-02-17,5.3,5.36,5.24,5.36,13490
34,ok,2000-02-20,5.54,5.54,5.17,5.2,29365
35,ok,2000-02-21,5.26,5.26,5.04,5.07,44445
36,ok,2000-02-22,5.42,5.42,4.98,5.26,46030
37,ok,2000-02-23,5.34,5.34,5.11,5.17,24605
38,ok,2000-02-24,5.28,5.28,5.1,5.15,8730
39,ok,2000-02-27,4.86,5.17,4.85,5.13,61110
40,ok,2000-02-28,5.05,5.36,5.05,5.14,69050
41,ok,2000-02-29,5.29,5.32,5.26,5.29,15875
42,ok,2000-03-01,5.36,5.36,5.04,5.04,25395
