,s,t,o,h,l,c,v
0,ok,2007-12-18,44.75,44.75,37.06,39.71,102730800
1,ok,2007-12-19,39.25,39.82,38.5,39.09,13877760
2,ok,2007-12-23,39.5,41.7,39.32,40.56,11964180
3,ok,2007-12-25,42.1,42.1,40.26,40.8,4938260
4,ok,2007-12-26,41.0,42.75,40.65,41.52,7934060
5,ok,2007-12-27,41.25,43.0,41.25,42.81,5699620
6,ok,2007-12-30,42.0,43.45,42.0,43.15,3136960
7,ok,2007-12-31,42.9,43.72,42.9,43.15,1494560
8,ok,2008-01-01,43.1,48.01,42.63,44.81,5928800
9,ok,2008-01-02,44.5,45.97,43.0,43.06,1657320
10,ok,2008-01-03,43.45,44.5,43.18,43.84,2066720
11,ok,2008-01-06,43.55,43.95,43.0,43.68,896820
12,ok,2008-01-07,43.75,44.5,42.5,42.83,978600
13,ok,2008-01-08,42.5,43.4,42.45,43.07,853640
14,ok,2008-01-09,43.25,43.35,42.75,43.0,1415400
15,ok,2008-01-10,43.25,43.3,42.6,43.02,902860
16,ok,2008-01-13,43.0,43.75,43.0,43.01,223460
17,ok,2008-01-14,43.05,43.25,43.0,43.05,217380
18,ok,2008-01-15,43.0,44.25,42.76,43.7,404600
19,ok,2008-01-16,44.25,45.49,43.7,45.03,479360
20,ok,2008-01-17,44.7,46.5,44.0,45.16,1239220
21,ok,2008-01-20,43.05,44.05,39.5,40.39,282820
22,ok,2008-01-21,35.1,37.5,32.45,35.75,138740
23,ok,2008-01-22,38.05,42.45,37.5,40.66,172420
24,ok,2008-01-23,35.1,40.0,35.1,39.08,148040
25,ok,2008-01-24,37.5,39.75,36.5,38.17,109460
26,ok,2008-01-27,35.65,40.05,35.65,39.99,73820
27,ok,2008-01-28,40.05,40.75,37.05,38.32,22140
28,ok,2008-01-29,38.15,39.25,38.1,38.84,43880
29,ok,2008-01-30,37.41,40.25,37.41,39.85,286280
30,ok,2008-01-31,35.25,40.1,35.25,39.71,44640
31,ok,2008-02-03,39.01,40.5,39.01,39.74,216500
32,ok,2008-02-04,39.5,40.25,38.8,40.01,54280
33,ok,2008-02-05,38.0,40.3,38.0,40.01,1579660
34,ok,2008-02-06,41.0,41.0,38.0,38.64,48240
35,ok,2008-02-07,38.17,39.5,31.9,36.49,102400
36,ok,2008-02-10,36.75,37.4,32.6,33.53,300600
37,ok,2008-02-11,34.25,35.75,33.5,35.09,72540
38,ok,2008-02-12,34.83,35.5,34.0,34.46,33920
39,ok,2008-02-13,37.4,37.4,33.0,35.36,382280
40,ok,2008-02-14,32.63,35.4,32.6,34.95,23900
41,ok,2008-02-17,35.0,35.2,32.5,34.99,41360
42,ok,2008-02-18,34.8,35.35,34.57,35.13,26600
43,ok,2008-02-19,34.52,35.0,33.5,33.72,29320
44,ok,2008-02-20,35.2,36.8,34.95,36.33,640160
45,ok,2008-02-21,35.06,37.0,35.06,36.37,75060
46,ok,2008-02-24,36.0,36.5,35.25,36.26,33500
47,ok,2008-02-25,35.75,37.95,35.55,37.56,98840
48,ok,2008-02-26,37.62,37.62,36.0,36.07,49100
49,ok,2008-02-27,35.13,37.75,35.13,37.53,170400
50,ok,2008-02-28,36.3,38.0,36.3,37.77,81920
51,ok,2008-03-02,36.0,37.5,35.75,37.0,108120
52,ok,2008-03-03,35.76,38.0,34.9,35.04,1117920
53,ok,2008-03-04,34.75,36.95,34.55,35.36,42660
54,ok,2008-03-06,35.0,35.0,34.15,34.72,75280
55,ok,2008-03-09,33.0,33.75,32.25,33.2,140660
56,ok,2008-03-10,33.0,34.4,32.63,33.81,64960
57,ok,2008-03-11,34.9,35.0,32.65,33.02,17020
58,ok,2008-03-12,31.25,33.0,31.25,32.52,84480
59,ok,2008-03-13,31.13,32.98,31.0,32.53,43320
60,ok,2008-03-16,30.91,32.5,27.07,28.22,795260
61,ok,2008-03-17,28.35,29.5,25.0,29.26,483300
62,ok,2008-03-18,27.05,31.2,27.05,30.75,306720
63,ok,2008-03-23,30.25,30.5,28.15,30.08,203920
64,ok,2008-03-24,31.2,34.0,29.26,33.51,199340
65,ok,2008-03-25,31.75,35.0,30.28,34.42,353560
66,ok,2008-03-26,33.75,38.75,32.05,37.5,871540
67,ok,2008-03-27,35.01,37.75,35.01,37.5,453760
68,ok,2008-03-30,35.62,40.0,35.0,39.27,438880
69,ok,2008-03-31,38.99,38.99,36.0,38.39,113780
70,ok,2008-04-01,39.0,39.0,35.1,35.78,20960
71,ok,2008-04-02,35.5,36.2,34.25,34.29,15520
72,ok,2008-04-03,34.88,35.0,32.56,32.87,16580
73,ok,2008-04-06,30.6,34.0,30.6,32.51,139140
74,ok,2008-04-07,32.5,33.46,32.5,32.52,23260
75,ok,2008-04-08,31.56,32.9,31.56,32.56,5880
76,ok,2008-04-09,32.61,33.05,32.5,32.75,5540
77,ok,2008-04-10,33.25,33.65,32.62,32.94,16200
78,ok,2008-04-14,34.4,34.4,32.65,33.51,7280
79,ok,2008-04-15,34.5,34.7,33.56,33.6,5500
80,ok,2008-04-16,34.5,34.5,33.0,33.07,12780
81,ok,2008-04-20,34.5,34.5,33.0,33.5,5160
82,ok,2008-04-21,33.75,33.75,33.05,33.25,10000
