,s,t,o,h,l,c,v
0,ok,2000-01-02,12.14,12.14,12.14,12.14,215000
1,ok,2000-01-03,13.1,13.11,11.6,12.96,849000
2,ok,2000-01-04,12.8,12.8,11.93,11.93,539000
3,ok,2000-01-05,12.1,12.1,10.98,10.98,394000
4,ok,2000-01-06,10.81,10.81,10.11,10.21,182000
5,ok,2000-01-09,10.8,11.03,10.8,11.03,208000
6,ok,2000-01-10,11.9,11.91,10.2,10.61,802000
7,ok,2000-01-11,10.3,11.46,10.3,11.0,354000
8,ok,2000-01-12,11.38,11.4,10.61,10.74,250000
9,ok,2000-01-13,10.9,11.1,10.5,10.61,247000
10,ok,2000-01-16,11.1,11.46,11.0,11.43,360000
11,ok,2000-01-17,11.0,11.5,10.89,11.06,323000
12,ok,2000-01-18,11.77,11.9,11.3,11.5,262000
13,ok,2000-01-19,11.65,11.74,10.9,10.98,181000
14,ok,2000-01-20,10.85,11.4,10.53,10.86,213000
15,ok,2000-01-23,10.99,10.99,10.0,10.0,194000
16,ok,2000-01-24,9.21,10.8,9.2,10.8,1010000
17,ok,2000-01-26,11.66,11.66,11.31,11.66,670000
18,ok,2000-01-27,12.55,12.55,11.31,11.49,443000
19,ok,2000-01-30,11.6,11.75,11.0,11.12,368000
20,ok,2000-01-31,10.9,11.2,10.4,10.62,389000
21,ok,2000-02-01,11.34,11.34,10.75,10.85,137000
22,ok,2000-02-02,10.8,10.8,10.13,10.23,127000
23,ok,2000-02-03,10.0,10.2,9.81,9.88,192000
24,ok,2000-02-06,9.6,10.5,9.6,10.32,180000
25,ok,2000-02-07,10.21,10.21,9.5,9.5,255000
26,ok,2000-02-08,10.0,10.0,8.83,8.99,391000
27,ok,2000-02-09,9.1,9.1,8.61,8.7,193000
28,ok,2000-02-10,8.8,9.0,8.45,8.69,136000
29,ok,2000-02-13,8.9,9.24,8.0,8.13,259000
30,ok,2000-02-14,8.1,8.4,7.6,7.77,497000
31,ok,2000-02-15,8.39,8.39,8.39,8.39,286000
32,ok,2000-02-16,9.0,9.07,8.8,9.07,179000
33,ok,2000-02-17,9.59,9.79,9.2,9.51,337000
34,ok,2000-02-20,9.59,9.79,9.0,9.36,299000
35,ok,2000-02-21,9.1,9.29,8.62,8.67,275000
36,ok,2000-02-22,9.2,9.2,8.35,8.5,164000
37,ok,2000-02-23,8.4,8.4,8.0,8.22,123000
38,ok,2000-02-24,8.23,8.6,8.23,8.28,107000
39,ok,2000-02-27,8.47,8.54,8.31,8.46,186000
40,ok,2000-02-28,8.7,9.14,8.7,8.82,418000
41,ok,2000-02-29,8.8,9.52,8.8,9.4,379000
42,ok,2000-03-01,9.9,9.9,8.81,9.21,348000
43,ok,2000-03-02,9.3,9.3,8.75,8.93,127000
44,ok,2000-03-05,9.2,9.2,8.7,8.86,119000
45,ok,2000-03-06,8.65,9.0,8.16,8.18,216000
46,ok,2000-03-07,8.33,8.33,7.76,7.76,75000
47,ok,2000-03-08,7.81,7.81,7.14,7.16,82000
48,ok,2000-03-09,6.91,7.13,6.6,6.74,171000
49,ok,2000-03-12,6.75,6.99,6.6,6.88,81000
50,ok,2000-03-13,7.0,7.0,6.33,6.33,65000
51,ok,2000-03-14,6.01,6.6,5.83,6.42,508000
52,ok,2000-03-15,6.31,6.5,6.26,6.38,53000
53,ok,2000-03-20,6.55,6.87,6.01,6.3,322000
54,ok,2000-03-21,6.11,6.38,6.11,6.27,63000
55,ok,2000-03-22,6.2,6.24,6.0,6.02,49000
56,ok,2000-03-23,6.1,6.2,6.0,6.1,52000
57,ok,2000-03-26,6.2,6.44,6.11,6.33,95000
58,ok,2000-03-27,6.5,6.84,6.48,6.84,140000
59,ok,2000-03-28,7.39,7.39,7.25,7.34,356000
60,ok,2000-03-29,7.93,7.93,6.79,6.92,194000
61,ok,2000-03-30,6.5,7.38,6.5,7.27,110000
62,ok,2000-04-02,7.6,7.85,7.5,7.54,266000
63,ok,2000-04-03,7.01,7.01,6.94,6.94,61000
64,ok,2000-04-04,6.6,6.98,6.46,6.6,73000
65,ok,2000-04-05,6.69,6.69,6.08,6.19,76000
66,ok,2000-04-06,6.54,6.69,6.4,6.69,125000
67,ok,2000-04-09,7.2,7.2,7.03,7.08,69000
68,ok,2000-04-11,6.8,7.05,6.7,6.78,66000
69,ok,2000-04-12,6.41,6.54,6.25,6.26,125000
70,ok,2000-04-16,5.81,5.94,5.76,5.76,53000
71,ok,2000-04-17,5.5,5.9,5.5,5.64,115000
72,ok,2000-04-18,5.78,5.85,5.52,5.69,84000
73,ok,2000-04-19,5.55,5.55,5.24,5.33,91000
74,ok,2000-04-23,5.11,5.17,4.91,4.97,62000
75,ok,2000-04-24,4.63,4.63,4.58,4.58,54000
76,ok,2000-04-25,4.7,4.95,4.6,4.8,335000
77,ok,2000-04-26,4.85,4.85,4.42,4.44,102000
78,ok,2000-04-27,4.21,4.5,4.09,4.09,58000
79,ok,2000-05-01,4.0,4.0,3.77,3.77,196000
80,ok,2000-05-02,3.6,3.77,3.5,3.6,72000
81,ok,2000-05-03,3.69,3.89,3.65,3.89,23000
82,ok,2000-05-04,4.15,4.2,4.0,4.2,46000
83,ok,2000-05-07,4.3,4.54,4.3,4.54,16000
84,ok,2000-05-08,4.6,4.89,4.43,4.86,91000
85,ok,2000-05-09,4.8,5.25,4.8,5.06,80000
86,ok,2000-05-10,4.73,4.84,4.66,4.66,46000
87,ok,2000-05-11,4.5,4.58,4.3,4.32,44000
88,ok,2000-05-14,4.0,4.31,4.0,4.23,52000
89,ok,2000-05-15,4.2,4.23,4.0,4.12,64000
90,ok,2000-05-16,4.4,4.44,4.3,4.38,53000
91,ok,2000-05-17,4.28,4.3,4.04,4.07,29000
92,ok,2000-05-18,4.15,4.2,3.84,4.08,78000
93,ok,2000-05-21,4.18,4.2,3.76,3.76,90000
94,ok,2000-05-22,3.75,4.0,3.66,3.88,93000
95,ok,2000-05-23,3.9,4.19,3.9,4.19,44000
96,ok,2000-05-24,4.2,4.4,4.2,4.3,50000
97,ok,2000-05-25,4.2,4.25,4.07,4.19,113000
98,ok,2000-05-28,4.11,4.3,4.11,4.23,72000
99,ok,2000-05-29,4.3,4.35,4.11,4.26,134000
100,ok,2000-05-30,4.42,4.59,4.3,4.38,110000
