,s,t,o,h,l,c,v
0,ok,2000-01-02,4.18,4.23,4.11,4.22,19000
1,ok,2000-01-03,4.5,4.5,4.0,4.07,25000
2,ok,2000-01-04,4.1,4.1,4.01,4.05,12000
3,ok,2000-01-05,4.05,4.15,4.05,4.15,9000
4,ok,2000-01-06,4.01,4.06,3.91,4.0,23000
5,ok,2000-01-09,3.9,3.98,3.9,3.98,6000
6,ok,2000-01-10,3.9,4.0,3.85,3.91,40000
7,ok,2000-01-11,4.0,4.03,4.0,4.03,5000
8,ok,2000-01-12,4.01,4.01,3.95,3.96,6000
9,ok,2000-01-13,3.88,3.95,3.88,3.92,5000
10,ok,2000-01-16,3.83,3.89,3.75,3.78,15000
11,ok,2000-01-17,3.6,3.78,3.6,3.7,49000
12,ok,2000-01-18,3.84,3.85,3.78,3.82,14000
13,ok,2000-01-19,3.66,3.8,3.66,3.8,11000
14,ok,2000-01-20,3.63,3.85,3.63,3.85,11000
15,ok,2000-01-23,3.6,3.75,3.55,3.75,36000
16,ok,2000-01-24,3.7,3.73,3.66,3.72,49000
17,ok,2000-01-26,3.89,3.89,3.75,3.77,13000
18,ok,2000-01-27,3.79,3.85,3.72,3.85,19000
19,ok,2000-01-30,3.85,3.85,3.55,3.55,16000
20,ok,2000-01-31,3.55,3.65,3.54,3.58,7000
21,ok,2000-02-01,3.61,3.7,3.61,3.68,7000
22,ok,2000-02-02,3.6,3.65,3.6,3.65,12000
23,ok,2000-02-03,3.65,3.67,3.57,3.58,14000
24,ok,2000-02-06,3.61,3.61,3.51,3.56,18000
25,ok,2000-02-07,3.6,3.65,3.43,3.49,53000
26,ok,2000-02-08,3.59,3.59,3.45,3.46,12000
27,ok,2000-02-09,3.5,3.5,3.45,3.45,17000
28,ok,2000-02-10,3.46,3.46,3.4,3.46,21000
29,ok,2000-02-13,3.5,3.5,3.2,3.22,27000
30,ok,2000-02-14,2.98,3.3,2.98,3.25,20000
31,ok,2000-02-15,3.4,3.4,3.15,3.19,25000
32,ok,2000-02-16,3.24,3.4,3.18,3.4,36000
33,ok,2000-02-17,3.38,3.38,3.33,3.38,13000
34,ok,2000-02-20,3.28,3.39,3.22,3.39,21000
35,ok,2000-02-21,3.31,3.4,3.16,3.34,42000
36,ok,2000-02-22,3.4,3.4,3.24,3.24,9000
37,ok,2000-02-23,3.22,3.4,3.22,3.28,7000
38,ok,2000-02-24,3.2,3.25,3.16,3.25,3000
39,ok,2000-02-27,3.2,3.51,3.2,3.51,21000
40,ok,2000-02-28,3.75,3.8,3.41,3.43,85000
41,ok,2000-02-29,3.55,3.65,3.55,3.6,26000
42,ok,2000-03-01,3.48,3.5,3.4,3.4,12000
43,ok,2000-03-02,3.17,3.38,3.17,3.25,7000
44,ok,2000-03-05,3.31,3.34,3.25,3.25,17000
45,ok,2000-03-06,3.2,3.3,3.2,3.23,19000
46,ok,2000-03-07,3.35,3.35,3.21,3.29,6000
47,ok,2000-03-08,3.12,3.28,3.12,3.2,11000
48,ok,2000-03-09,3.25,3.25,3.2,3.25,4000
49,ok,2000-03-12,3.35,3.35,3.11,3.12,45000
50,ok,2000-03-13,3.06,3.18,2.9,3.01,65000
51,ok,2000-03-14,3.24,3.25,3.24,3.25,5000
52,ok,2000-03-15,3.3,3.4,3.21,3.24,19000
53,ok,2000-03-20,3.01,3.32,3.01,3.21,47000
54,ok,2000-03-21,3.2,3.2,3.2,3.2,2000
55,ok,2000-03-22,3.46,3.46,3.35,3.35,58000
56,ok,2000-03-23,3.5,3.5,3.36,3.42,25000
57,ok,2000-03-26,3.38,3.4,3.35,3.35,9000
58,ok,2000-03-27,3.35,3.44,3.31,3.43,19000
59,ok,2000-03-28,3.41,3.41,3.18,3.29,11000
60,ok,2000-03-29,3.24,3.38,3.24,3.24,8000
61,ok,2000-03-30,3.39,3.4,3.3,3.37,15000
62,ok,2000-04-02,3.33,3.33,3.33,3.33,1000
63,ok,2000-04-03,3.08,3.19,3.08,3.14,25000
64,ok,2000-04-05,3.11,3.11,3.11,3.11,1000
65,ok,2000-04-06,3.06,3.2,3.06,3.16,7000
66,ok,2000-04-09,3.11,3.2,3.1,3.15,8000
67,ok,2000-04-11,3.15,3.2,3.15,3.2,3000
68,ok,2000-04-12,3.11,3.11,2.96,3.04,16000
69,ok,2000-04-16,2.8,3.1,2.8,2.93,21000
70,ok,2000-04-17,2.73,3.08,2.73,3.0,21000
71,ok,2000-04-19,2.76,2.76,2.76,2.76,1000
72,ok,2000-04-23,2.66,2.66,2.63,2.64,6000
73,ok,2000-04-24,2.65,2.85,2.65,2.85,9000
74,ok,2000-04-25,3.01,3.08,3.01,3.08,16000
75,ok,2000-04-26,3.3,3.33,3.19,3.33,25000
76,ok,2000-04-27,3.06,3.4,3.06,3.26,15000
77,ok,2000-05-01,3.01,3.15,3.0,3.09,13000
78,ok,2000-05-02,3.1,3.25,3.1,3.25,21000
79,ok,2000-05-03,3.38,3.39,3.04,3.13,39000
80,ok,2000-05-04,3.1,3.11,2.9,3.0,49000
81,ok,2000-05-07,3.05,3.05,3.05,3.05,5000
82,ok,2000-05-08,3.0,3.29,2.97,3.18,21000
83,ok,2000-05-09,3.1,3.1,3.1,3.1,1000
84,ok,2000-05-10,2.91,2.91,2.91,2.91,1000
85,ok,2000-05-14,3.0,3.0,2.9,2.9,7000
86,ok,2000-05-15,2.9,2.98,2.9,2.94,8000
87,ok,2000-05-16,3.1,3.1,3.05,3.05,2000
88,ok,2000-05-17,3.09,3.1,3.0,3.0,12000
89,ok,2000-05-18,3.0,3.05,3.0,3.05,6000
