,s,t,o,h,l,c,v
0,ok,2007-12-23,282.7,282.7,255.6,264.75,1730
1,ok,2007-12-25,271.7,271.7,262.0,266.1,722
2,ok,2007-12-26,265.0,279.95,264.0,276.45,1246
3,ok,2007-12-27,280.0,282.0,262.0,269.1,260
4,ok,2007-12-30,284.0,284.0,271.0,272.05,500
5,ok,2007-12-31,281.75,281.75,270.0,270.0,170
6,ok,2008-01-01,306.9,306.9,270.0,273.05,889
7,ok,2008-01-02,284.0,285.0,271.0,271.85,270
8,ok,2008-01-03,285.0,285.0,270.0,272.8,665
9,ok,2008-01-06,284.95,285.0,266.0,274.9,463
10,ok,2008-01-07,284.9,284.9,265.5,272.75,206
11,ok,2008-01-08,284.0,284.0,240.05,255.05,698
12,ok,2008-01-09,280.0,280.0,240.15,255.75,1318
13,ok,2008-01-10,268.9,269.9,230.0,248.1,485
14,ok,2008-01-13,251.0,264.95,251.0,264.95,75
15,ok,2008-01-14,294.95,298.0,252.0,255.25,273
16,ok,2008-01-15,255.0,256.0,245.1,250.15,241
17,ok,2008-01-16,231.5,268.5,231.5,252.0,129
18,ok,2008-01-17,265.0,265.0,248.0,248.0,311
19,ok,2008-01-20,212.0,265.0,212.0,227.0,203
20,ok,2008-01-21,201.0,220.0,182.0,210.25,189
21,ok,2008-01-22,237.0,240.0,210.0,210.0,285
22,ok,2008-01-23,239.8,240.0,201.0,217.0,167
23,ok,2008-01-24,220.0,250.0,217.0,249.85,290
24,ok,2008-01-27,203.0,244.0,203.0,225.85,172
25,ok,2008-01-28,183.1,270.0,183.1,242.4,231
26,ok,2008-01-29,220.1,220.1,220.1,220.1,100
27,ok,2008-01-30,220.1,220.1,219.0,220.0,156
28,ok,2008-01-31,201.2,239.0,201.2,206.2,20
29,ok,2008-02-03,210.2,217.55,210.0,217.55,200
30,ok,2008-02-04,212.75,230.95,212.75,230.6,32
31,ok,2008-02-05,215.0,234.5,215.0,234.5,177
32,ok,2008-02-06,223.0,235.0,216.6,216.6,155
33,ok,2008-02-10,216.0,220.0,193.0,220.0,85
34,ok,2008-02-11,200.05,214.95,200.05,210.1,57
35,ok,2008-02-12,191.2,209.8,191.2,195.0,154
36,ok,2008-02-13,219.5,219.5,201.05,204.95,107
37,ok,2008-02-14,239.0,239.0,175.0,206.0,822
38,ok,2008-02-17,201.0,201.0,201.0,201.0,1
39,ok,2008-02-18,205.05,206.05,205.05,206.05,100
40,ok,2008-02-19,198.0,200.5,198.0,200.5,20
41,ok,2008-02-21,228.0,228.0,200.0,214.5,151
