,s,t,o,h,l,c,v
0,ok,2000-01-02,7.42,7.5,6.68,6.68,35104
1,ok,2000-01-03,6.17,6.68,6.17,6.68,16202
2,ok,2000-01-04,6.42,6.42,6.42,6.42,300
3,ok,2000-01-05,6.5,6.67,6.5,6.58,1200
4,ok,2000-01-06,6.18,6.67,6.18,6.67,1500
5,ok,2000-01-09,6.38,6.67,6.37,6.38,27603
6,ok,2000-01-10,6.37,6.67,6.37,6.67,2700
7,ok,2000-01-11,6.5,6.5,6.5,6.5,1800
8,ok,2000-01-12,6.5,6.5,6.5,6.5,1500
9,ok,2000-01-16,6.5,6.65,6.5,6.65,5401
10,ok,2000-01-18,6.5,6.52,6.5,6.52,2700
11,ok,2000-01-19,6.52,6.52,6.5,6.5,900
12,ok,2000-01-20,6.53,7.0,6.53,7.0,2400
13,ok,2000-01-23,6.53,6.53,6.53,6.53,600
14,ok,2000-01-24,6.57,6.57,6.57,6.57,1500
15,ok,2000-01-26,7.27,7.27,6.83,6.83,900
16,ok,2000-01-27,6.6,7.27,6.6,6.6,1800
17,ok,2000-01-30,7.67,7.67,7.0,7.0,2400
18,ok,2000-01-31,6.67,6.83,6.52,6.52,1800
19,ok,2000-02-01,6.52,6.83,6.52,6.83,14401
20,ok,2000-02-02,7.17,7.3,6.83,6.87,1800
21,ok,2000-02-03,6.67,6.67,6.33,6.5,3900
22,ok,2000-02-06,7.0,7.0,6.53,6.53,5701
23,ok,2000-02-08,6.67,6.85,6.67,6.85,3300
24,ok,2000-02-10,6.67,6.67,6.63,6.63,3300
25,ok,2000-02-14,6.67,6.67,6.67,6.67,300
26,ok,2000-02-15,6.92,6.92,6.92,6.92,300
27,ok,2000-02-16,6.83,6.83,6.58,6.58,1800
28,ok,2000-02-17,6.58,6.58,6.58,6.58,1200
29,ok,2000-02-20,6.18,6.18,6.18,6.18,600
30,ok,2000-02-21,6.33,6.67,6.33,6.67,2400
31,ok,2000-02-22,7.0,7.0,6.33,6.33,900
32,ok,2000-02-24,6.67,6.67,6.67,6.67,300
33,ok,2000-02-27,6.6,6.6,6.6,6.6,300
34,ok,2000-02-28,6.67,6.67,6.67,6.67,300
35,ok,2000-02-29,7.2,7.2,6.33,6.67,1800
36,ok,2000-03-01,6.13,6.13,6.13,6.13,600
37,ok,2000-03-02,6.65,6.67,6.65,6.67,1500
38,ok,2000-03-05,6.13,6.13,6.13,6.13,300
39,ok,2000-03-07,5.0,6.33,5.0,6.33,2400
40,ok,2000-03-13,5.0,5.0,5.0,5.0,1200
41,ok,2000-03-15,5.33,5.33,5.0,5.17,3000
42,ok,2000-03-20,5.67,5.8,5.67,5.8,3000
43,ok,2000-03-21,6.13,6.13,6.13,6.13,600
44,ok,2000-03-22,5.33,5.33,5.33,5.33,300
45,ok,2000-05-29,3.87,3.87,3.87,3.87,2100
46,ok,2000-05-31,4.83,4.83,4.83,4.83,300
47,ok,2000-06-01,5.9,5.92,5.9,5.92,600
48,ok,2000-06-07,6.92,6.92,6.0,6.03,3600
49,ok,2000-06-08,6.5,7.55,6.5,7.55,5701
50,ok,2000-06-11,7.33,8.17,7.33,8.17,50705
51,ok,2000-06-12,8.6,8.6,7.52,7.52,34803
52,ok,2000-06-13,7.57,8.1,6.92,8.05,39604
53,ok,2000-06-14,8.0,8.0,7.75,8.0,11101
54,ok,2000-06-15,7.37,8.0,7.37,7.97,3300
