,s,t,o,h,l,c,v
0,ok,2000-01-02,4.2,4.23,3.93,4.05,680000
1,ok,2000-01-03,4.22,4.22,3.96,3.99,250000
2,ok,2000-01-04,3.96,4.05,3.91,3.96,55000
3,ok,2000-01-05,3.9,4.23,3.9,4.18,110000
4,ok,2000-01-06,4.23,4.32,4.09,4.12,75000
5,ok,2000-01-09,4.11,4.26,4.08,4.16,246660
6,ok,2000-01-10,4.04,4.21,4.04,4.06,206660
7,ok,2000-01-11,4.12,4.13,4.08,4.12,26660
8,ok,2000-01-12,4.22,4.26,4.13,4.2,93340
9,ok,2000-01-13,4.14,4.2,4.1,4.14,41660
10,ok,2000-01-16,4.19,4.22,4.09,4.15,43340
11,ok,2000-01-17,4.24,4.28,4.19,4.2,98340
12,ok,2000-01-18,4.2,4.23,4.05,4.09,496660
13,ok,2000-01-19,4.15,4.2,4.08,4.08,411660
14,ok,2000-01-20,4.05,4.14,4.02,4.14,33340
15,ok,2000-01-23,4.14,4.26,4.09,4.14,85000
16,ok,2000-01-24,4.2,4.22,4.11,4.13,300000
17,ok,2000-01-26,4.27,4.47,4.26,4.47,221660
18,ok,2000-01-27,4.47,4.74,4.32,4.37,323340
19,ok,2000-01-30,4.29,4.72,4.27,4.51,503340
20,ok,2000-01-31,4.37,4.41,4.17,4.23,326660
21,ok,2000-02-01,4.57,4.57,4.57,4.57,25000
22,ok,2000-02-02,4.94,4.94,4.8,4.94,343340
23,ok,2000-02-03,4.95,5.28,4.86,4.98,383340
24,ok,2000-02-06,5.19,5.37,5.01,5.14,596660
25,ok,2000-02-07,5.24,5.55,4.95,4.97,333340
26,ok,2000-02-08,4.95,5.1,4.88,4.88,178340
27,ok,2000-02-09,4.8,4.85,4.68,4.78,143340
28,ok,2000-02-10,4.89,4.89,4.71,4.77,43340
29,ok,2000-02-13,4.71,4.73,4.41,4.44,155000
30,ok,2000-02-14,4.38,4.41,4.29,4.38,170000
31,ok,2000-02-15,4.47,4.5,4.32,4.35,271660
32,ok,2000-02-16,4.35,4.44,4.2,4.26,158340
33,ok,2000-02-17,4.26,4.41,4.23,4.33,125000
34,ok,2000-02-20,4.31,4.5,4.23,4.32,221660
35,ok,2000-02-21,4.28,4.41,4.24,4.26,645000
36,ok,2000-02-22,4.35,4.44,4.34,4.44,43340
37,ok,2000-02-23,4.47,4.5,4.38,4.46,61660
38,ok,2000-02-24,4.44,4.49,4.38,4.38,43340
39,ok,2000-02-27,4.46,4.49,4.35,4.45,66660
40,ok,2000-02-28,4.8,4.8,4.26,4.28,200000
41,ok,2000-02-29,4.2,4.62,4.2,4.58,190000
42,ok,2000-03-01,4.56,4.68,4.5,4.65,451660
43,ok,2000-03-02,4.32,4.5,4.32,4.38,38340
44,ok,2000-03-05,4.08,4.53,4.08,4.44,236660
45,ok,2000-03-06,4.43,4.43,4.2,4.22,178340
46,ok,2000-03-07,4.08,4.14,3.88,4.02,305000
47,ok,2000-03-08,3.78,3.99,3.78,3.99,65000
48,ok,2000-03-09,4.02,4.29,4.02,4.05,278340
49,ok,2000-03-12,3.99,4.21,3.9,4.2,413340
50,ok,2000-03-13,4.14,4.14,3.86,3.88,383340
51,ok,2000-03-14,4.05,4.19,4.05,4.17,130000
